kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A12287204,1138010100,976,20030710.0,개별난방,아파트,단일계약,29.0,282.0,779.0
A12287203,1138010100,464,20030710.0,개별난방,아파트,단일계약,6.0,32.0,131.0
A12287202,1138010100,280,20030725.0,개별난방,아파트,단일계약,10.0,18.0,289.0
A12209001,1138010100,196,20000316.0,개별난방,아파트,종합계약,8.0,50.0,176.0
A10024828,1138010100,1192,20211209.0,개별난방,아파트,단일계약,34.0,12.0,1356.0
A10024086,1138010100,644,20211029.0,개별난방,아파트,종합계약,17.0,0.0,785.0
A12283603,1138010200,370,19930928.0,개별난방,아파트,종합계약,10.0,115.0,157.0
A12283602,1138010200,341,20020930.0,개별난방,아파트,단일계약,7.0,79.0,237.0
A12283601,1138010200,192,20010524.0,개별난방,아파트,종합계약,8.0,67.0,199.0
A10027816,1138010200,1230,20150722.0,개별난방,아파트,단일계약,42.0,0.0,1532.0
A10025836,1138010200,952,20181010.0,개별난방,아파트,종합계약,29.0,0.0,1056.0
A10025846,1138010200,1305,20181227.0,개별난방,아파트,단일계약,54.0,0.0,1395.0
A10024774,1138010200,111,20011104.0,개별난방,아파트,종합계약,4.0,63.0,97.0
A12284701,1138010300,198,20000902.0,개별난방,아파트,단일계약,8.0,0.0,212.0
A12285703,1138010300,1340,19881013.0,중앙난방,아파트,단일계약,23.0,578.0,212.0
A12204002,1138010300,256,20040630.0,개별난방,아파트,종합계약,7.0,14.0,263.0
A12204004,1138010300,1185,20100825.0,개별난방,아파트,단일계약,43.0,17.0,1220.0
A12204006,1138010300,488,20130926.0,개별난방,아파트,단일계약,19.0,0.0,593.0
A12204001,1138010300,155,20060901.0,개별난방,아파트,단일계약,6.0,37.0,114.0
A12204003,1138010300,603,20090716.0,개별난방,아파트,종합계약,31.0,3.0,677.0
A12204102,1138010300,662,20040529.0,개별난방,아파트,종합계약,26.0,109.0,660.0
A12275201,1138010300,647,20100830.0,개별난방,아파트,종합계약,24.0,0.0,755.0
A12275202,1138010300,882,20110729.0,개별난방,아파트,종합계약,35.0,1236.0,0.0
A10028056,1138010300,188,20110729.0,개별난방,아파트,단일계약,2.0,0.0,192.0
A12204005,1138010300,135,20100830.0,개별난방,아파트,,0.0,,
A10026061,1138010300,103,19920328.0,개별난방,아파트,종합계약,3.0,39.0,35.0
A10027568,1138010300,100,20050904.0,개별난방,아파트,단일계약,1.0,0.0,70.0
A10027569,1138010300,147,20100825.0,개별난방,아파트,,,,
A10024026,1138010300,201,20210430.0,개별난방,아파트,종합계약,3.0,6.0,120.0
A10024198,1138010300,100,20181129.0,개별난방,아파트,,,,
