kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13407204,1174010100,570,19860208.0,중앙난방,아파트,종합계약,19.0,355.0,0.0
A13407104,1174010100,2400,19831217.0,중앙난방,아파트,단일계약,49.0,2300.0,0.0
A13478601,1174010100,524,19860207.0,중앙난방,아파트,종합계약,18.0,462.0,0.0
A13407002,1174010100,768,19841016.0,개별난방,아파트,단일계약,18.0,654.0,0.0
A13482706,1174010100,1320,19851125.0,중앙난방,아파트,단일계약,22.0,1104.0,0.0
A13482801,1174010100,226,19881004.0,개별난방,아파트,종합계약,4.0,49.0,32.0
A13407201,1174010100,152,19860630.0,개별난방,아파트,단일계약,5.0,155.0,0.0
A13407202,1174010100,306,19920630.0,개별난방,아파트,단일계약,9.0,76.0,145.0
A13482603,1174010100,540,19860510.0,중앙난방,아파트,단일계약,18.0,356.0,0.0
A13482505,1174010100,572,19860523.0,중앙난방,아파트,종합계약,20.0,640.0,0.0
A10025415,1174010100,1900,20190624.0,개별난방,아파트,종합계약,42.0,0.0,2304.0
A10026002,1174010100,120,19870627.0,중앙난방,아파트,,,,
A13483002,1174010100,772,19991227.0,개별난방,아파트,단일계약,15.0,149.0,670.0
A13480401,1174010200,448,19951130.0,개별난방,아파트,단일계약,10.0,67.0,389.0
A13408003,1174010200,1142,20111228.0,지역난방,아파트,종합계약,38.0,0.0,2011.0
A13480402,1174010200,700,19841207.0,개별난방,아파트,종합계약,,461.0,0.0
A13480403,1174010200,807,19960329.0,개별난방,아파트,단일계약,22.0,168.0,524.0
A10027207,1174010200,3658,20161229.0,지역난방,아파트,종합계약,96.0,0.0,3972.0
A10025263,1174010200,4932,20190927.0,지역난방,아파트,종합계약,135.0,0.0,6905.0
A13483803,1174010300,410,19920509.0,개별난방,아파트,단일계약,12.0,350.0,15.0
A13472701,1174010300,2283,20110127.0,지역난방,아파트,단일계약,55.0,0.0,2604.0
A13409001,1174010300,186,19970621.0,개별난방,아파트,단일계약,4.0,23.0,162.0
A10026403,1174010300,687,20180308.0,지역난방,아파트,종합계약,18.0,0.0,914.0
A10025112,1174010300,1859,20191230.0,지역난방,아파트,종합계약,51.0,0.0,2392.0
A10025104,1174010300,1745,20191230.0,지역난방,아파트,종합계약,51.0,0.0,2550.0
A10023855,1174010300,675,20220415.0,지역난방,아파트,단일계약,24.0,6.0,620.0
A10024420,1174010300,600,20210215.0,지역난방,아파트,종합계약,11.0,0.0,369.0
A10024473,1174010300,1824,20210107.0,지역난방,아파트,종합계약,59.0,0.0,2400.0
A10025010,1174010300,4066,20200226.0,지역난방,아파트,종합계약,100.0,0.0,6405.0
A10024412,1174010300,943,20210210.0,지역난방,아파트,종합계약,23.0,0.0,823.0
A13481305,1174010500,811,19941029.0,개별난방,아파트,종합계약,21.0,179.0,296.0
A13480803,1174010500,264,19960809.0,개별난방,아파트,종합계약,8.0,55.0,209.0
A13488104,1174010500,596,20031112.0,개별난방,아파트,단일계약,16.0,20.0,957.0
A13470103,1174010500,128,19980915.0,개별난방,아파트,단일계약,3.0,21.0,114.0
A13470101,1174010500,1092,19820904.0,개별난방,아파트,단일계약,24.0,880.0,0.0
A13481001,1174010500,162,19891006.0,개별난방,아파트,단일계약,9.0,120.0,44.0
A10024972,1174010500,95,19991126.0,개별난방,아파트,,,,
A10024932,1174010500,366,20200414.0,개별난방,아파트,종합계약,8.0,0.0,482.0
A13470503,1174010600,800,20100312.0,개별난방,아파트,단일계약,21.0,11.0,1144.0
A13406204,1174010600,357,20021115.0,개별난방,아파트,종합계약,8.0,37.0,331.0
A13406003,1174010600,232,19980501.0,개별난방,아파트,기타,5.0,60.0,184.0
A13406002,1174010600,170,19971231.0,개별난방,아파트,단일계약,5.0,52.0,120.0
A13470502,1174010600,278,20001209.0,개별난방,아파트,단일계약,6.0,18.0,330.0
A13406005,1174010600,354,19841210.0,개별난방,아파트,단일계약,12.0,444.0,0.0
A13406205,1174010600,460,19980502.0,개별난방,아파트,종합계약,7.0,132.0,349.0
A13481802,1174010600,235,19960229.0,개별난방,아파트,단일계약,7.0,81.0,102.0
A13406201,1174010600,196,19880129.0,개별난방,아파트,단일계약,3.0,81.0,0.0
A13470504,1174010600,160,19880602.0,개별난방,아파트,단일계약,4.0,127.0,33.0
A13485401,1174010700,203,20020129.0,개별난방,아파트,단일계약,9.0,74.0,177.0
A13405002,1174010700,490,20021101.0,개별난방,아파트,단일계약,12.0,73.0,554.0
A13405201,1174010700,2938,20000615.0,개별난방,아파트,단일계약,48.0,608.0,2403.0
A13471501,1174010700,417,19990531.0,개별난방,아파트,단일계약,9.0,86.0,388.0
A13405003,1174010700,1622,20070709.0,개별난방,아파트,종합계약,35.0,0.0,2185.0
A13485302,1174010700,3226,20080925.0,개별난방+기타,아파트,단일계약,62.0,0.0,4633.0
A13485301,1174010700,568,20040827.0,개별난방,아파트,종합계약,12.0,85.0,597.0
A10025174,1174010700,460,20191112.0,개별난방,아파트,단일계약,11.0,0.0,587.0
A13484501,1174010800,222,19990311.0,개별난방,아파트,종합계약,5.0,55.0,167.0
A13403001,1174010800,151,20041124.0,개별난방,아파트,종합계약,7.0,28.0,156.0
A13484102,1174010800,257,19990518.0,개별난방,아파트,종합계약,6.0,61.0,229.0
A13403002,1174010800,349,20020725.0,개별난방,아파트,단일계약,7.0,44.0,299.0
A13403101,1174010800,1220,19990901.0,중앙난방,아파트,단일계약,27.0,370.0,892.0
A13484201,1174010800,203,20031114.0,개별난방,아파트,종합계약,8.0,68.0,195.0
A13484003,1174010800,277,19871212.0,개별난방,아파트,단일계약,4.0,277.0,0.0
A10027354,1174010800,482,20160818.0,개별난방,아파트,단일계약,12.0,0.0,583.0
A13402103,1174010900,479,19850202.0,개별난방,아파트,단일계약,14.0,342.0,0.0
A13402304,1174010900,264,19991121.0,개별난방,아파트,단일계약,3.0,11.0,90.0
A13402002,1174010900,385,19991120.0,개별난방,아파트,종합계약,8.0,59.0,376.0
A13486703,1174010900,174,19970826.0,개별난방,아파트,단일계약,5.0,10.0,145.0
A13486102,1174010900,232,19870613.0,개별난방,아파트,단일계약,2.0,11.0,26.0
A13486504,1174010900,526,20000615.0,개별난방,아파트,종합계약,12.0,121.0,422.0
A13486401,1174010900,156,19900531.0,개별난방,아파트,단일계약,2.0,100.0,0.0
A13402202,1174010900,150,20051028.0,개별난방,아파트,단일계약,6.0,27.0,171.0
A13486705,1174010900,226,19981204.0,개별난방,아파트,단일계약,6.0,16.0,227.0
A13486601,1174010900,224,19910330.0,개별난방,아파트,단일계약,4.0,170.0,0.0
A13402305,1174010900,396,19970526.0,개별난방,아파트,단일계약,9.0,190.0,312.0
A13402204,1174010900,225,20070216.0,개별난방,아파트,단일계약,9.0,111.0,154.0
A13486701,1174010900,150,19971203.0,개별난방,아파트,단일계약,4.0,31.0,121.0
A13472201,1174010900,247,19970527.0,개별난방,아파트,단일계약,3.0,32.0,65.0
A10026195,1174010900,134,20090420.0,개별난방,아파트,종합계약,5.0,157.0,18.0
A10026852,1174010900,999,20170731.0,개별난방,아파트,종합계약,20.0,0.0,1200.0
A10023670,1174010900,223,20210820.0,중앙난방,아파트,종합계약,3.0,60.0,14.0
A10023695,1174010900,188,20220801.0,지역난방,아파트,종합계약,8.0,0.0,286.0
A10024134,1174010900,125,20051028.0,개별난방,아파트,,0.0,,
A13410012,1174011000,605,20110114.0,지역난방,아파트,단일계약,20.0,26.0,667.0
A13410005,1174011000,694,20090406.0,지역난방,아파트,단일계약,18.0,118.0,680.0
