kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13508012,1168010100,411,20140124.0,지역난방,아파트,단일계약,11.0,0.0,588.0
A13579501,1168010100,332,20060814.0,지역난방,아파트,종합계약,9.0,0.0,552.0
A13592604,1168010100,738,20060102.0,지역난방,아파트,단일계약,20.0,0.0,743.0
A13508009,1168010100,541,20060928.0,지역난방,아파트,단일계약,14.0,0.0,914.0
A13508004,1168010100,206,19980421.0,중앙난방,아파트,종합계약,5.0,48.0,160.0
A13508003,1168010100,168,20040525.0,개별난방,아파트,기타,6.0,13.0,276.0
A13579506,1168010100,240,20120817.0,지역난방,아파트,종합계약,6.0,0.0,387.0
A13508006,1168010100,288,20071130.0,지역난방,아파트,단일계약,8.0,0.0,665.0
A13508011,1168010100,464,20100604.0,지역난방,아파트,종합계약,11.0,0.0,626.0
A13592601,1168010100,438,20060831.0,지역난방,아파트,단일계약,14.0,0.0,771.0
A13592706,1168010100,1050,20051026.0,지역난방,아파트,단일계약,24.0,126.0,927.0
A13579505,1168010100,476,20091228.0,지역난방,아파트,종합계약,13.0,0.0,582.0
A13508005,1168010100,216,19961126.0,개별난방,아파트,종합계약,2.0,10.0,156.0
A13579503,1168010100,150,20081202.0,개별난방,아파트,단일계약,5.0,13.0,187.0
A13592605,1168010100,840,20051216.0,지역난방,아파트,종합계약,23.0,0.0,852.0
A13591402,1168010100,183,20031202.0,개별난방,아파트,종합계약,7.0,84.0,250.0
A10027474,1168010100,408,20160622.0,지역난방,아파트,종합계약,11.0,0.0,615.0
A10023825,1168010100,499,20220428.0,지역난방,아파트,종합계약,34.0,0.0,904.0
A10024820,1168010100,137,20011109.0,개별난방,아파트,,,,
A10024813,1168010100,117,20070226.0,개별난방,아파트,,,,
A13599303,1168010300,1060,19831026.0,지역난방,아파트,단일계약,19.0,800.0,0.0
A13594007,1168010300,822,19921014.0,지역난방,아파트,기타,6.0,249.0,27.0
A13580602,1168010300,678,19840308.0,지역난방,아파트,단일계약,26.0,747.0,0.0
A13524004,1168010300,405,19841231.0,지역난방,아파트,단일계약,11.0,419.0,0.0
A13599402,1168010300,940,19831026.0,지역난방,아파트,단일계약,12.0,652.0,0.0
A13524005,1168010300,416,19840420.0,지역난방,아파트,단일계약,16.0,453.0,0.0
A13593908,1168010300,1623,19911120.0,지역난방,아파트,기타,12.0,389.0,0.0
A13580001,1168010300,198,19860331.0,지역난방,아파트,단일계약,11.0,230.0,0.0
A13524006,1168010300,558,19860131.0,지역난방,아파트,종합계약,31.0,500.0,0.0
A13593901,1168010300,212,20040617.0,지역난방,아파트,종합계약,6.0,19.0,483.0
A13524009,1168010300,1753,19921014.0,지역난방,아파트,단일계약,14.0,438.0,73.0
A13580002,1168010300,261,19870921.0,지역난방,아파트,단일계약,14.0,138.0,0.0
A13599301,1168010300,900,19831026.0,지역난방,아파트,단일계약,8.0,1100.0,0.0
