kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15786116,1150010100,290,19990402.0,개별난방,아파트,단일계약,8.0,40.0,238.0
A15704015,1150010100,284,20050328.0,개별난방,아파트,종합계약,12.0,0.0,450.0
A15786118,1150010100,330,19950708.0,개별난방,아파트,단일계약,9.0,204.0,117.0
A15786426,1150010100,498,19940421.0,개별난방,아파트,단일계약,21.0,215.0,181.0
A15704025,1150010100,455,20050923.0,개별난방,아파트,단일계약,13.0,145.0,385.0
A15776001,1150010100,164,20100330.0,개별난방,아파트,종합계약,6.0,0.0,231.0
A15786321,1150010100,350,19970801.0,개별난방,아파트,단일계약,9.0,123.0,203.0
A15786314,1150010100,277,19991111.0,개별난방,아파트,단일계약,6.0,43.0,264.0
A15704006,1150010100,196,19930115.0,개별난방,아파트,종합계약,8.0,83.0,77.0
A15786222,1150010100,356,19941005.0,개별난방,아파트,단일계약,9.0,198.0,115.0
A15786420,1150010100,348,19951213.0,개별난방,아파트,단일계약,8.0,67.0,224.0
A15786111,1150010100,249,20000527.0,개별난방,아파트,단일계약,6.0,47.0,238.0
A15786405,1150010100,186,19920520.0,개별난방,아파트,단일계약,6.0,144.0,0.0
A15786424,1150010100,422,20050401.0,개별난방,아파트,종합계약,11.0,6.0,502.0
A15786104,1150010100,178,19940222.0,개별난방,아파트,단일계약,5.0,40.0,90.0
A15786510,1150010100,212,19980721.0,개별난방,아파트,단일계약,5.0,28.0,227.0
A15704028,1150010100,778,19980629.0,개별난방,아파트,단일계약,19.0,193.0,576.0
A15704009,1150010100,206,19981105.0,개별난방,아파트,단일계약,5.0,48.0,125.0
A15786312,1150010100,256,19991027.0,개별난방,아파트,단일계약,7.0,44.0,212.0
A15704007,1150010100,202,20080110.0,개별난방,아파트,단일계약,7.0,0.0,275.0
A15704023,1150010100,417,20050628.0,개별난방,아파트,단일계약,13.0,120.0,343.0
A15704017,1150010100,297,20010630.0,개별난방,아파트,단일계약,6.0,58.0,291.0
A15786227,1150010100,570,19990118.0,개별난방,아파트,단일계약,28.0,74.0,535.0
A15704003,1150010100,168,20040701.0,개별난방,아파트,단일계약,6.0,32.0,152.0
A15704002,1150010100,166,20041119.0,개별난방,아파트,종합계약,6.0,37.0,150.0
A15704001,1150010100,163,20060427.0,개별난방,아파트,종합계약,8.0,22.0,162.0
A15786213,1150010100,273,19990331.0,개별난방,아파트,단일계약,7.0,73.0,220.0
A15786408,1150010100,206,20010531.0,개별난방,아파트,단일계약,8.0,32.0,285.0
A15776003,1150010100,105,20040924.0,개별난방,아파트,,,,
A15776004,1150010100,127,19961005.0,개별난방,아파트,단일계약,3.0,8.0,100.0
A15785919,1150010100,339,19901109.0,개별난방,아파트,종합계약,10.0,314.0,12.0
A10025600,1150010100,499,20190308.0,개별난방,아파트,단일계약,13.0,0.0,604.0
A10027541,1150010100,152,20140611.0,개별난방,아파트,종합계약,5.0,0.0,191.0
A10025049,1150010100,115,19990930.0,개별난방,아파트,종합계약,4.0,25.0,148.0
A15783907,1150010200,339,19990629.0,개별난방,아파트,단일계약,20.0,67.0,284.0
A15783703,1150010200,222,20020518.0,개별난방,아파트,단일계약,7.0,17.0,298.0
A15703004,1150010200,712,19941207.0,지역난방,아파트,단일계약,13.0,396.0,363.0
A15703304,1150010200,505,19950605.0,지역난방,아파트,종합계약,6.0,198.0,0.0
A15703303,1150010200,488,19941029.0,지역난방,아파트,종합계약,20.0,263.0,255.0
A15703301,1150010200,445,19941104.0,지역난방,아파트,기타,5.0,176.0,0.0
A15784008,1150010200,430,19990401.0,지역난방,아파트,단일계약,13.0,92.0,363.0
A15772902,1150010200,110,19920527.0,개별난방,아파트,,4.0,72.0,0.0
A15703302,1150010200,457,19951127.0,지역난방,아파트,종합계약,14.0,312.0,484.0
A15772901,1150010200,134,19920527.0,개별난방,아파트,,5.0,81.0,0.0
A15703002,1150010200,241,20000727.0,개별난방,아파트,종합계약,5.0,53.0,240.0
A15703005,1150010200,196,20031030.0,개별난방,아파트,종합계약,7.0,30.0,214.0
A15703309,1150010200,1045,19951010.0,지역난방,아파트,단일계약,14.0,376.0,274.0
A15703307,1150010200,680,19950713.0,지역난방,아파트,단일계약,18.0,410.0,487.0
A15776916,1150010200,1445,19941104.0,지역난방,아파트,단일계약,18.0,331.0,0.0
A15703001,1150010200,200,20031119.0,개별난방,아파트,단일계약,6.0,86.0,124.0
A15784402,1150010200,221,19950915.0,개별난방,아파트,기타,9.0,69.0,143.0
A15776414,1150010200,1575,19950520.0,지역난방,아파트,기타,20.0,322.0,0.0
A15703308,1150010200,1016,19951010.0,지역난방,아파트,단일계약,14.0,400.0,273.0
A15783806,1150010200,317,19971029.0,지역난방,아파트,종합계약,7.0,95.0,247.0
A15776617,1150010200,559,19951010.0,지역난방,아파트,기타,7.0,172.0,72.0
A15783905,1150010200,244,19971217.0,개별난방,아파트,단일계약,7.0,104.0,150.0
A15703318,1150010200,350,20041004.0,지역난방,아파트,종합계약,12.0,70.0,222.0
A15703204,1150010200,1653,20040107.0,개별난방,아파트,단일계약,45.0,354.0,2342.0
A15703313,1150010200,1670,19941104.0,지역난방,아파트,단일계약,22.0,327.0,0.0
A15783902,1150010200,186,19980625.0,개별난방,아파트,단일계약,4.0,37.0,144.0
A15776715,1150010200,1146,19941104.0,지역난방,아파트,단일계약,15.0,245.0,0.0
A15783701,1150010200,168,20000512.0,개별난방,아파트,단일계약,4.0,15.0,198.0
A15784003,1150010200,191,19990614.0,개별난방,아파트,단일계약,4.0,13.0,178.0
