kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15380403,1154510100,1495,19980309,개별난방,아파트,단일계약,66.0,546.0,1176.0
A15380101,1154510100,210,19980721,개별난방,아파트,단일계약,5.0,38.0,174.0
A10023956,1154510100,299,20171201,개별난방,아파트,단일계약,5.0,32.0,284.0
A15382301,1154510200,341,20021024,개별난방,아파트,단일계약,8.0,116.0,255.0
A15383601,1154510200,154,19971017,개별난방,아파트,단일계약,3.0,41.0,98.0
A15381402,1154510200,154,19980924,개별난방,아파트,단일계약,8.0,9.0,123.0
A15301105,1154510200,554,20041027,개별난방,아파트,단일계약,13.0,152.0,490.0
A15383308,1154510200,1226,19901114,지역난방,아파트,단일계약,16.0,413.0,0.0
A15375810,1154510200,187,20080421,개별난방,아파트,단일계약,5.0,22.0,194.0
A15370301,1154510200,246,20110930,개별난방,아파트,단일계약,10.0,52.0,206.0
A15375809,1154510200,840,19901114,중앙난방,아파트,단일계약,13.0,266.0,0.0
A15381706,1154510200,996,20020905,개별난방,아파트,단일계약,46.0,242.0,611.0
A15383604,1154510200,245,19991217,개별난방,아파트,단일계약,5.0,60.0,179.0
A15381303,1154510200,214,19990820,개별난방,아파트,종합계약,5.0,83.0,129.0
A15383307,1154510200,1000,19910820,지역난방,아파트,단일계약,32.0,499.0,342.0
A10027188,1154510200,1743,20161130,개별난방,아파트,단일계약,34.0,0.0,2265.0
A10026024,1154510200,109,19960313,개별난방,아파트,종합계약,3.0,28.0,64.0
A10025946,1154510200,1236,20181030,개별난방,아파트,종합계약,28.0,0.0,1351.0
A10025116,1154510200,432,20191128,개별난방,아파트,종합계약,12.0,0.0,449.0
A10024302,1154510200,927,20210429,개별난방+기타,아파트,종합계약,28.0,0.0,1144.0
A15383702,1154510300,786,19990920,개별난방,아파트,단일계약,15.0,169.0,768.0
A15386506,1154510300,986,19811223,개별난방,아파트,단일계약,11.0,630.0,0.0
A15303002,1154510300,1772,20000216,개별난방,아파트,단일계약,45.0,892.0,624.0
A15386404,1154510300,260,19821207,개별난방,아파트,단일계약,2.0,168.0,0.0
A15384501,1154510300,270,19981028,개별난방,아파트,종합계약,6.0,103.0,168.0
A15303401,1154510300,185,20000907,개별난방,아파트,종합계약,5.0,29.0,171.0
A15303203,1154510300,671,20021230,개별난방,아파트,단일계약,14.0,125.0,641.0
A15303103,1154510300,233,19860813,개별난방,아파트,단일계약,4.0,200.0,0.0
A15303202,1154510300,564,20000216,개별난방,아파트,단일계약,6.0,26.0,112.0
A15378501,1154510300,202,20060103,개별난방,아파트,종합계약,6.0,68.0,126.0
A15383905,1154510300,639,19801224,중앙난방,아파트,단일계약,7.0,575.0,0.0
A15370103,1154510300,1764,20140814,개별난방,아파트,단일계약,92.0,82.0,2188.0
A15384101,1154510300,197,19960624,개별난방,아파트,단일계약,6.0,91.0,52.0
A15303205,1154510300,2810,20040806,개별난방,아파트,단일계약,64.0,977.0,2169.0
A15303502,1154510300,206,20061128,개별난방,아파트,종합계약,8.0,78.0,169.0
A15384603,1154510300,619,19891021,개별난방,아파트,단일계약,6.0,202.0,0.0
A15303204,1154510300,1288,20040806,개별난방,아파트,단일계약,15.0,80.0,450.0
A15303003,1154510300,173,19960914,개별난방,아파트,단일계약,3.0,68.0,0.0
A15303102,1154510300,229,20040525,개별난방,아파트,단일계약,7.0,61.0,192.0
A10026187,1154510300,114,20030927,개별난방,아파트,단일계약,4.0,36.0,86.0
A10025447,1154510300,123,19981219,개별난방,아파트,종합계약,3.0,15.0,109.0
A10026792,1154510300,112,20080115,개별난방,아파트,단일계약,6.0,54.0,63.0
