kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15288812,1153010100,853,20030517.0,개별난방,아파트,단일계약,19.0,42.0,1442.0
A15288806,1153010100,408,19921204.0,개별난방,아파트,단일계약,14.0,159.0,93.0
A15288802,1153010100,204,20010920.0,개별난방,아파트,종합계약,5.0,34.0,226.0
A15288805,1153010100,362,20030816.0,개별난방,아파트,단일계약,10.0,37.0,374.0
A15288813,1153010100,1095,19991130.0,개별난방,아파트,단일계약,22.0,152.0,1359.0
A15288801,1153010100,154,19941215.0,개별난방,아파트,단일계약,2.0,84.0,52.0
A15288814,1153010100,2298,19991127.0,개별난방,아파트,종합계약,47.0,556.0,2228.0
A15288809,1153010100,655,20000517.0,개별난방,아파트,단일계약,13.0,65.0,714.0
A15288803,1153010100,260,19990413.0,개별난방,아파트,단일계약,5.0,92.0,120.0
A15288804,1153010100,284,19931213.0,개별난방,아파트,단일계약,10.0,149.0,32.0
A15288807,1153010100,411,20040616.0,개별난방,아파트,단일계약,9.0,17.0,545.0
A15288810,1153010100,813,20001114.0,개별난방,아파트,단일계약,32.0,123.0,891.0
A15288611,1153010100,824,19871211.0,중앙난방,아파트,단일계약,7.0,450.0,90.0
A10028063,1153010100,189,20150206.0,개별난방,아파트,종합계약,5.0,0.0,190.0
A15288004,1153010200,591,19920518.0,개별난방,아파트,종합계약,10.0,368.0,0.0
A15286806,1153010200,579,19871117.0,중앙난방,아파트,단일계약,10.0,408.0,0.0
A15284305,1153010200,272,19960701.0,개별난방,아파트,단일계약,6.0,38.0,186.0
A15205305,1153010200,660,20060728.0,개별난방,아파트,단일계약,14.0,0.0,585.0
A15288002,1153010200,497,19980715.0,개별난방,아파트,단일계약,12.0,134.0,359.0
A15283809,1153010200,344,19850628.0,개별난방,아파트,단일계약,8.0,288.0,0.0
A15205108,1153010200,829,19980516.0,개별난방,아파트,단일계약,16.0,220.0,573.0
A15286809,1153010200,2126,19860630.0,중앙난방,아파트,단일계약,34.0,1082.0,0.0
A15283902,1153010200,397,19880617.0,개별난방,아파트,단일계약,6.0,180.0,0.0
A15205103,1153010200,296,19951116.0,개별난방,아파트,단일계약,18.0,88.0,140.0
A15284906,1153010200,1244,20040529.0,개별난방,아파트,단일계약,27.0,110.0,1360.0
A15205002,1153010200,442,19981130.0,개별난방,아파트,단일계약,5.0,35.0,101.0
