kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15106001,1162010100,277,19990511.0,개별난방,아파트,단일계약,6.0,39.0,100.0
A15192201,1162010100,487,20040528.0,개별난방,아파트,단일계약,34.0,96.0,428.0
A15181602,1162010100,251,19880311.0,개별난방,아파트,단일계약,5.0,224.0,0.0
A15178203,1162010100,560,20001228.0,개별난방,아파트,단일계약,5.0,42.0,222.0
A15105302,1162010100,2104,20040826.0,개별난방,아파트,단일계약,36.0,120.0,1990.0
A15106103,1162010100,384,20000918.0,개별난방,아파트,단일계약,7.0,13.0,324.0
A15178201,1162010100,2105,20050630.0,개별난방,아파트,단일계약,43.0,326.0,1850.0
A15178202,1162010100,281,20041220.0,개별난방,아파트,단일계약,8.0,112.0,217.0
A15180705,1162010100,3544,20030906.0,개별난방,아파트,단일계약,92.0,975.0,4429.0
A15176202,1162010100,1261,20000509.0,개별난방,아파트,단일계약,26.0,291.0,1373.0
A15106101,1162010100,180,20010625.0,개별난방,아파트,단일계약,8.0,0.0,208.0
A15105301,1162010100,392,20040826.0,개별난방,아파트,단일계약,8.0,26.0,254.0
A15184101,1162010100,374,20061130.0,개별난방,아파트,단일계약,14.0,111.0,306.0
A15180701,1162010100,203,20030612.0,개별난방,아파트,종합계약,5.0,0.0,218.0
A15105303,1162010100,2134,19920427.0,개별난방,아파트,단일계약,61.0,785.0,438.0
A15105002,1162010100,216,19981022.0,개별난방,아파트,단일계약,4.0,102.0,11.0
A15105005,1162010100,254,19991028.0,개별난방,아파트,종합계약,6.0,42.0,251.0
A15105602,1162010100,717,20001213.0,개별난방,아파트,단일계약,5.0,67.0,150.0
A15105004,1162010100,710,19960425.0,개별난방,아파트,단일계약,25.0,215.0,496.0
A15192202,1162010100,836,20000509.0,개별난방,아파트,단일계약,10.0,63.0,437.0
A15106901,1162010100,2001,20001228.0,개별난방,아파트,단일계약,47.0,443.0,2009.0
A15105503,1162010100,1843,20030906.0,개별난방,아파트,단일계약,24.0,169.0,729.0
A15105006,1162010100,297,20020225.0,개별난방,아파트,종합계약,10.0,64.0,362.0
A15176602,1162010100,184,19990517.0,개별난방,아파트,단일계약,3.0,10.0,158.0
A15105008,1162010100,363,20140919.0,개별난방,아파트,종합계약,11.0,0.0,417.0
A15105603,1162010100,1597,20001213.0,중앙난방,아파트,단일계약,31.0,381.0,1386.0
A15178204,1162010100,799,20050705.0,개별난방,아파트,종합계약,9.0,37.0,387.0
A10025423,1162010100,711,20190625.0,개별난방,아파트,종합계약,26.0,0.0,851.0
A10026710,1162010100,208,20130227.0,개별난방,아파트,단일계약,2.0,3.0,64.0
A10025428,1162010100,206,20190625.0,개별난방,아파트,종합계약,8.0,0.0,166.0
A10025092,1162010100,1276,20190625.0,개별난방,아파트,종합계약,49.0,0.0,1520.0
A10025422,1162010100,565,20190625.0,개별난방,아파트,종합계약,23.0,669.0,0.0
A10024638,1162010100,118,20051202.0,개별난방,아파트,종합계약,6.0,38.0,92.0
A10024894,1162010100,519,20200429.0,개별난방,아파트,종합계약,34.0,0.0,770.0
A15177101,1162010200,171,19960327.0,개별난방,아파트,단일계약,4.0,37.0,95.0
A15101503,1162010200,349,20070206.0,개별난방,아파트,단일계약,24.0,83.0,351.0
A15176701,1162010200,630,19930824.0,개별난방,아파트,종합계약,19.0,176.0,196.0
A15186002,1162010200,336,19911012.0,개별난방,아파트,종합계약,14.0,115.0,54.0
A15101501,1162010200,157,20031231.0,개별난방,아파트,종합계약,5.0,36.0,115.0
A15188801,1162010200,197,19990707.0,개별난방,아파트,단일계약,2.0,20.0,111.0
A15101101,1162010200,592,19930719.0,개별난방,아파트,단일계약,9.0,114.0,287.0
A15185201,1162010200,156,19981026.0,개별난방,아파트,종합계약,4.0,32.0,143.0
A15179403,1162010200,818,20000803.0,개별난방,아파트,단일계약,11.0,70.0,417.0
A15187101,1162010200,201,19991130.0,개별난방,아파트,단일계약,4.0,32.0,190.0
A15101506,1162010200,1482,20000803.0,개별난방,아파트,단일계약,29.0,163.0,1767.0
A15101505,1162010200,177,20050929.0,개별난방,아파트,단일계약,7.0,134.0,56.0
A15190301,1162010200,280,19821023.0,개별난방,아파트,단일계약,4.0,235.0,0.0
A15179701,1162010200,465,20030929.0,개별난방,아파트,단일계약,11.0,20.0,498.0
A15101802,1162010200,304,20030401.0,개별난방,아파트,단일계약,10.0,78.0,305.0
A15101508,1162010200,1634,19930525.0,중앙난방,아파트,단일계약,38.0,654.0,413.0
A15188101,1162010200,338,19880105.0,개별난방,아파트,단일계약,6.0,123.0,0.0
A15185704,1162010200,492,19841016.0,개별난방,아파트,종합계약,6.0,307.0,0.0
A15101504,1162010200,2810,20080313.0,개별난방,아파트,단일계약,81.0,760.0,2626.0
A15102203,1162010200,373,19980227.0,개별난방,아파트,단일계약,8.0,12.0,385.0
A15101507,1162010200,960,19951006.0,중앙난방,아파트,기타,14.0,196.0,159.0
A15101702,1162010200,512,20080313.0,개별난방,아파트,종합계약,6.0,362.0,0.0
A15102202,1162010200,213,20060424.0,개별난방,아파트,단일계약,6.0,1.0,240.0
A15190705,1162010200,1456,20050621.0,개별난방,아파트,단일계약,33.0,227.0,1890.0
A15101901,1162010200,227,19970502.0,개별난방,아파트,종합계약,4.0,55.0,131.0
A15102902,1162010200,236,19970523.0,개별난방,아파트,단일계약,7.0,87.0,90.0
A15101509,1162010200,150,20071126.0,개별난방,아파트,단일계약,2.0,9.0,98.0
A15101903,1162010200,783,19960618.0,개별난방,아파트,단일계약,17.0,523.0,17.0
A15178401,1162010200,112,19961220.0,개별난방,아파트,종합계약,0.0,77.0,19.0
A10026910,1162010200,140,20040611.0,개별난방,아파트,단일계약,5.0,77.0,81.0
A10024621,1162010200,127,19950327.0,개별난방,아파트,,,,
A10023661,1162010200,1143,20220829.0,개별난방,아파트,종합계약,28.0,0.0,1303.0
A10024749,1162010200,126,19980601.0,개별난방,아파트,단일계약,3.0,1.0,140.0
A10024634,1162010200,109,20030902.0,개별난방,아파트,,,,
A15108003,1162010300,174,20041229.0,개별난방,아파트,단일계약,9.0,27.0,159.0
A15108001,1162010300,170,20050330.0,개별난방,아파트,종합계약,9.0,38.0,170.0
A10025511,1162010300,88,20030628.0,개별난방,아파트,단일계약,4.0,39.0,73.0
