kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A14322001,1121510100,182,19991130.0,개별난방,아파트,단일계약,4.0,26.0,181.0
A14322002,1121510100,91,19980410.0,개별난방,아파트,,,,
A14320001,1121510300,273,19971226.0,개별난방,아파트,단일계약,6.0,27.0,247.0
A14383205,1121510300,1606,19961206.0,개별난방,아파트,종합계약,66.0,421.0,970.0
A14320302,1121510300,354,19921226.0,개별난방,아파트,단일계약,9.0,139.0,96.0
A14383203,1121510300,421,19940429.0,개별난방,아파트,종합계약,10.0,111.0,184.0
A14320304,1121510300,1592,19970328.0,중앙난방,아파트,종합계약,28.0,342.0,1607.0
A14320004,1121510300,125,20101230.0,개별난방,아파트,,,,
A14382101,1121510300,252,20011110.0,개별난방,아파트,종합계약,6.0,0.0,436.0
A10026874,1121510300,197,20170714.0,개별난방,아파트,종합계약,4.0,0.0,234.0
A10024667,1121510300,130,20020123.0,개별난방,아파트,종합계약,3.0,26.0,120.0
A10025985,1121510300,854,20180927.0,개별난방,아파트,단일계약,24.0,0.0,1130.0
A10023951,1121510300,730,20211230.0,개별난방,아파트,종합계약,22.0,1028.0,5.0
A14381512,1121510400,581,19890421.0,개별난방,아파트,단일계약,11.0,230.0,141.0
A14380605,1121510400,302,20071015.0,개별난방,아파트,종합계약,8.0,0.0,353.0
A14380414,1121510400,896,19890324.0,중앙난방,아파트,종합계약,32.0,795.0,0.0
A14381508,1121510400,437,19990430.0,개별난방,아파트,종합계약,11.0,67.0,356.0
A14375301,1121510400,453,20120328.0,개별난방,아파트,종합계약,24.0,0.0,674.0
A14381415,1121510400,1056,19901020.0,개별난방,아파트,단일계약,22.0,335.0,177.0
A14380211,1121510400,576,19781113.0,중앙난방,아파트,종합계약,20.0,741.0,0.0
A14381516,1121510400,1170,20000831.0,개별난방,아파트,종합계약,50.0,90.0,1118.0
A14375302,1121510400,200,19870302.0,개별난방,아파트,종합계약,10.0,100.0,105.0
A14381513,1121510400,654,19960705.0,개별난방,아파트,단일계약,11.0,115.0,363.0
A14380409,1121510400,448,19850914.0,중앙난방,아파트,종합계약,16.0,450.0,0.0
A14381510,1121510400,537,19950327.0,개별난방,아파트,단일계약,11.0,105.0,411.0
A14381506,1121510400,360,19871229.0,개별난방,아파트,단일계약,6.0,148.0,0.0
A14381504,1121510400,242,20010618.0,개별난방,아파트,종합계약,7.0,20.0,230.0
A14381407,1121510400,380,19960417.0,개별난방,아파트,종합계약,11.0,115.0,239.0
A14375303,1121510400,119,20040901.0,개별난방,아파트,종합계약,4.0,0.0,277.0
A10026162,1121510400,200,19970113.0,개별난방,아파트,단일계약,4.0,35.0,180.0
A10023281,1121510400,52,20110209.0,개별난방,아파트,단일계약,,14.0,122.0
A14319307,1121510500,329,19960831.0,개별난방,아파트,단일계약,6.0,344.0,221.0
A14386802,1121510500,232,19990601.0,개별난방,아파트,단일계약,4.0,56.0,193.0
A14319201,1121510500,208,19911210.0,개별난방,아파트,종합계약,9.0,62.0,64.0
A14319204,1121510500,439,19961209.0,개별난방,아파트,단일계약,12.0,176.0,193.0
A14319002,1121510500,158,19910808.0,개별난방,아파트,단일계약,7.0,120.0,28.0
A14386110,1121510500,464,19891230.0,개별난방,아파트,종합계약,17.0,380.0,0.0
A14377402,1121510500,279,20090915.0,개별난방,아파트,종합계약,8.0,0.0,472.0
A14319203,1121510500,270,19980624.0,개별난방,아파트,종합계약,7.0,36.0,242.0
A14319005,1121510500,204,19931120.0,개별난방,아파트,단일계약,5.0,131.0,57.0
A14319010,1121510500,355,19931221.0,개별난방,아파트,단일계약,8.0,136.0,124.0
A14319303,1121510500,245,20021030.0,개별난방,아파트,단일계약,8.0,64.0,260.0
A14376501,1121510500,185,20020124.0,개별난방,아파트,단일계약,4.0,67.0,137.0
A14319007,1121510500,257,20020508.0,개별난방,아파트,단일계약,7.0,80.0,243.0
A14319003,1121510500,182,19930527.0,개별난방,아파트,단일계약,6.0,78.0,81.0
A14319011,1121510500,656,19880913.0,개별난방,아파트,단일계약,15.0,229.0,0.0
A14319301,1121510500,178,19990203.0,개별난방,아파트,종합계약,4.0,63.0,132.0
A14388208,1121510500,375,19990414.0,개별난방,아파트,단일계약,10.0,174.0,193.0
