kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A11007001,1111011800,150,20040517.0,개별난방,아파트,종합계약,5.0,0.0,315.0
A11052201,1111017100,436,19951222.0,개별난방,아파트,단일계약,12.0,130.0,308.0
A11076701,1111017100,136,19990130.0,개별난방,아파트,단일계약,2.0,20.0,140.0
A10023741,1111017100,65,19960920.0,개별난방,아파트,종합계약,3.0,24.0,40.0
A11054301,1111017400,585,19921125.0,개별난방,아파트,단일계약,10.0,306.0,0.0
A11054101,1111017400,529,19990430.0,개별난방,아파트,단일계약,11.0,114.0,407.0
A11077101,1111017400,919,19931012.0,개별난방,아파트,단일계약,17.0,373.0,127.0
A11055002,1111017500,288,20090320.0,개별난방,아파트,종합계약,10.0,0.0,342.0
A11087601,1111017500,220,20040909.0,개별난방,아파트,종합계약,2.0,0.0,220.0
A11087602,1111017500,416,20081121.0,개별난방,아파트,단일계약,18.0,3.0,509.0
A10026946,1111018100,496,20170629.0,개별난방,아파트,단일계약,18.0,0.0,501.0
A11001203,1111018300,176,19980502.0,개별난방,아파트,종합계약,4.0,20.0,150.0
A11084601,1111018300,156,20010430.0,개별난방,아파트,종합계약,6.0,3.0,253.0
A11081503,1111018700,964,20001021.0,개별난방,아파트,단일계약,25.0,283.0,879.0
A11008001,1111018700,550,20001021.0,개별난방,아파트,단일계약,8.0,42.0,163.0
A11081302,1111018700,810,20080725.0,개별난방,아파트,종합계약,29.0,65.0,979.0
A10027708,1111018700,167,20150828.0,개별난방,아파트,단일계약,7.0,0.0,212.0
A10025710,1111018700,195,20190122.0,개별난방,아파트,종합계약,16.0,0.0,245.0
