kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A10071301,1114013200,273,20091221.0,개별난방,아파트,종합계약,8.0,0.0,481.0
A10023352,1114013400,614,20230116.0,개별난방,아파트,종합계약,10.0,0.0,366.0
A10026849,1114013600,122,19810525.0,개별난방,아파트,,,,
A10023356,1114015600,414,20230224.0,개별난방,아파트,,9.0,,
A10023343,1114015600,608,20230224.0,개별난방,아파트,,0.0,,
A10045403,1114016200,994,19991222.0,개별난방,아파트,종합계약,25.0,183.0,1094.0
A10045401,1114016200,440,19991222.0,개별난방,아파트,단일계약,6.0,29.0,107.0
A10045601,1114016200,942,19930917.0,개별난방,아파트,단일계약,20.0,742.0,0.0
A10045302,1114016200,3116,20020525.0,개별난방,아파트,단일계약,74.0,878.0,2441.0
A10045404,1114016200,1598,19990729.0,개별난방,아파트,단일계약,36.0,454.0,1381.0
A10045001,1114016200,461,20051228.0,개별난방,아파트,단일계약,12.0,0.0,649.0
A10045402,1114016200,684,19990729.0,개별난방,아파트,단일계약,8.0,54.0,140.0
A10078901,1114016200,784,20111028.0,개별난방,아파트,종합계약,30.0,0.0,968.0
A10078902,1114016200,161,20111028.0,개별난방,아파트,단일계약,2.0,8.0,153.0
A10045301,1114016200,2034,20020525.0,개별난방,아파트,단일계약,25.0,187.0,589.0
A10078103,1114016200,158,20111213.0,개별난방,아파트,단일계약,2.0,17.0,95.0
A10078102,1114016200,132,20000710.0,개별난방,아파트,단일계약,4.0,24.0,112.0
A10045002,1114016200,737,20111213.0,개별난방,아파트,종합계약,66.0,23.0,979.0
A13302201,1114016200,246,20010618.0,개별난방,아파트,종합계약,14.0,91.0,180.0
A10025456,1114016200,718,20190607.0,개별난방,아파트,종합계약,12.0,0.0,504.0
A10025372,1114016200,176,20190605.0,개별난방,아파트,단일계약,8.0,16.0,160.0
A10044002,1114016500,1534,20081222.0,개별난방,아파트,종합계약,25.0,1959.0,0.0
A10044001,1114016500,336,20081222.0,개별난방,아파트,단일계약,6.0,151.0,0.0
A10027364,1114016800,296,20160831.0,개별난방,아파트,종합계약,8.0,0.0,363.0
A10024756,1114016800,137,20070525.0,개별난방,아파트,,,,
A10085902,1114017100,355,20010711.0,개별난방,아파트,단일계약,4.0,25.0,215.0
A10085903,1114017100,712,20010711.0,개별난방,아파트,단일계약,36.0,106.0,784.0
A10080701,1114017300,181,20120131.0,개별난방,아파트,단일계약,7.0,0.0,221.0
A10026881,1114017400,1341,20170807.0,개별난방,아파트,단일계약,31.0,10.0,1537.0
A10026517,1114017400,199,20180116.0,개별난방,아파트,단일계약,8.0,0.0,217.0
