kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13120701,1126010100,165,20060626.0,개별난방,아파트,단일계약,7.0,5.0,196.0
A13184401,1126010100,183,20000527.0,개별난방,아파트,단일계약,8.0,95.0,73.0
A13183202,1126010100,174,19980529.0,개별난방,아파트,단일계약,5.0,60.0,118.0
A13184301,1126010100,266,19981031.0,개별난방,아파트,종합계약,6.0,39.0,243.0
A13183504,1126010100,573,20021130.0,개별난방,아파트,단일계약,12.0,94.0,538.0
A13183701,1126010100,178,20041210.0,개별난방,아파트,단일계약,9.0,62.0,129.0
A13181203,1126010100,440,19921223.0,개별난방,아파트,종합계약,15.0,159.0,165.0
A13120403,1126010100,386,20061129.0,개별난방,아파트,종합계약,48.0,92.0,297.0
A13184107,1126010100,555,20000927.0,개별난방,아파트,종합계약,35.0,0.0,613.0
A13183405,1126010100,256,20030401.0,개별난방,아파트,단일계약,7.0,25.0,305.0
A13120704,1126010100,178,20051027.0,개별난방,아파트,단일계약,7.0,17.0,185.0
A13184502,1126010100,168,19970613.0,개별난방,아파트,종합계약,4.0,20.0,148.0
A13183303,1126010100,174,19930318.0,개별난방,아파트,단일계약,6.0,103.0,27.0
A13120001,1126010100,199,20070315.0,개별난방,아파트,단일계약,8.0,93.0,118.0
A13188406,1126010100,344,19950403.0,개별난방,아파트,단일계약,16.0,110.0,291.0
A13177701,1126010100,905,19911014.0,개별난방,아파트,종합계약,8.0,638.0,0.0
A13183204,1126010100,565,19900628.0,개별난방,아파트,종합계약,10.0,134.0,40.0
A13184208,1126010100,626,19940929.0,개별난방,아파트,단일계약,15.0,121.0,301.0
A13183502,1126010100,216,19971220.0,개별난방,아파트,단일계약,5.0,13.0,220.0
A13181201,1126010100,161,20041112.0,개별난방,아파트,단일계약,5.0,10.0,168.0
A13175103,1126010100,1362,19871230.0,개별난방,아파트,단일계약,21.0,524.0,0.0
A13175102,1126010100,79,20011114.0,개별난방,아파트,,,,
A10028033,1126010100,265,20151008.0,개별난방,아파트,종합계약,13.0,0.0,330.0
A10025159,1126010100,497,20191127.0,개별난방,아파트,종합계약,38.0,584.0,6.0
A13120003,1126010100,84,19931112.0,개별난방,아파트,종합계약,2.0,24.0,38.0
A10024703,1126010100,453,20200630.0,개별난방,아파트,종합계약,11.0,4.0,553.0
A10023384,1126010100,243,20230127.0,개별난방,아파트,종합계약,12.0,0.0,247.0
A10024443,1126010100,245,20201214.0,개별난방,아파트,종합계약,11.0,0.0,278.0
A10024741,1126010100,1505,20200730.0,개별난방,아파트,종합계약,32.0,0.0,2076.0
A10024366,1126010100,132,19970123.0,개별난방,아파트,단일계약,,108.0,9.0
A10023606,1126010100,122,19930201.0,개별난방,아파트,종합계약,,27.0,65.0
A13185602,1126010200,375,20020514.0,개별난방,아파트,단일계약,8.0,69.0,373.0
A13185603,1126010200,408,19970813.0,개별난방,아파트,단일계약,11.0,139.0,203.0
A13170401,1126010200,504,20031201.0,개별난방,아파트,종합계약,10.0,0.0,638.0
A13186306,1126010200,1000,19951127.0,지역난방,아파트,종합계약,16.0,127.0,110.0
A13186401,1126010200,368,19990429.0,개별난방,아파트,단일계약,8.0,137.0,255.0
A13122104,1126010200,582,20030805.0,개별난방,아파트,단일계약,34.0,66.0,569.0
A13186305,1126010200,858,19960327.0,지역난방,아파트,단일계약,15.0,180.0,645.0
A13185607,1126010200,1113,19961104.0,개별난방,아파트,단일계약,21.0,280.0,627.0
A13122001,1126010200,467,20060210.0,개별난방,아파트,단일계약,13.0,136.0,395.0
A13187501,1126010300,156,19910429.0,개별난방,아파트,단일계약,6.0,72.0,0.0
A13187702,1126010300,1544,19971011.0,개별난방,아파트,단일계약,24.0,475.0,1024.0
A10026046,1126010300,109,20070723.0,개별난방,아파트,단일계약,4.0,23.0,120.0
A13176801,1126010400,188,19990401.0,개별난방,아파트,종합계약,8.0,28.0,153.0
A13114103,1126010400,193,20031203.0,개별난방,아파트,종합계약,7.0,66.0,184.0
A13184804,1126010400,221,19981015.0,개별난방,아파트,종합계약,5.0,44.0,203.0
A13184609,1126010400,1070,19960614.0,지역난방,아파트,단일계약,14.0,302.0,258.0
A13184610,1126010400,1244,19951204.0,지역난방,아파트,단일계약,51.0,629.0,1336.0
A13114106,1126010400,248,20000916.0,개별난방,아파트,단일계약,7.0,34.0,250.0
A13185508,1126010400,587,20040311.0,개별난방,아파트,단일계약,32.0,82.0,596.0
A13185501,1126010400,159,20000703.0,개별난방,아파트,단일계약,4.0,58.0,104.0
A13185507,1126010400,285,19991028.0,개별난방,아파트,종합계약,7.0,41.0,305.0
A13185502,1126010400,171,20000229.0,개별난방,아파트,단일계약,5.0,23.0,152.0
A13114002,1126010400,601,20020621.0,개별난방,아파트,단일계약,15.0,80.0,705.0
A13185402,1126010400,225,19990603.0,개별난방,아파트,종합계약,5.0,22.0,245.0
A13114201,1126010400,163,20040512.0,개별난방,아파트,단일계약,8.0,35.0,150.0
A10025855,1126010400,719,20171206.0,개별난방,아파트,단일계약,52.0,7.0,910.0
