kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A12101001,1144010100,208,19981008,개별난방,아파트,단일계약,4.0,38.0,137.0
A12175203,1144010100,3885,20140926,개별난방,아파트,단일계약,118.0,0.0,4580.0
A10027951,1144010100,201,20150424,개별난방,아파트,종합계약,4.0,0.0,141.0
A10027906,1144010100,963,20150424,중앙난방,아파트,단일계약,36.0,0.0,1326.0
A10027090,1144010100,497,20171116,개별난방,아파트,단일계약,16.0,0.0,580.0
A10023508,1144010100,1419,20221129,개별난방,아파트,종합계약,42.0,0.0,1583.0
A12170601,1144010200,597,20051117,개별난방,아파트,단일계약,20.0,79.0,556.0
A12102008,1144010200,683,20040629,개별난방,아파트,단일계약,18.0,7.0,849.0
A12102005,1144010200,480,19880509,개별난방,아파트,단일계약,12.0,333.0,0.0
A12180404,1144010200,226,19991016,개별난방,아파트,단일계약,3.0,13.0,64.0
A12180407,1144010200,651,19991016,개별난방,아파트,단일계약,13.0,177.0,481.0
A12170603,1144010200,794,20110825,개별난방,아파트,종합계약,23.0,0.0,933.0
A12170602,1144010200,199,20040629,개별난방,아파트,단일계약,2.0,152.0,25.0
A12102002,1144010200,192,20040830,개별난방,아파트,단일계약,8.0,5.0,234.0
A12180401,1144010200,183,19890807,개별난방,아파트,단일계약,6.0,140.0,0.0
A12180506,1144010200,616,20040830,개별난방,아파트,단일계약,15.0,43.0,634.0
A10024408,1144010200,306,20211118,개별난방,아파트,종합계약,9.0,0.0,398.0
A10024626,1144010200,166,20211118,개별난방,아파트,단일계약,5.0,0.0,158.0
A12185304,1144010300,458,20001028,개별난방,아파트,단일계약,9.0,21.0,503.0
A12179001,1144010300,290,20090219,개별난방,아파트,단일계약,6.0,28.0,291.0
A12179005,1144010300,195,20130326,개별난방,아파트,단일계약,9.0,0.0,224.0
A12179004,1144010300,476,20110518,개별난방,아파트,종합계약,17.0,2.0,935.0
A12185303,1144010300,834,20000814,중앙난방,아파트,단일계약,24.0,139.0,926.0
A12179002,1144010300,376,20000814,개별난방,아파트,단일계약,4.0,27.0,264.0
A12179003,1144010300,103,20001028,개별난방,아파트,단일계약,1.0,3.0,70.0
A12103002,1144010300,366,20030520,개별난방,아파트,단일계약,10.0,79.0,332.0
A10027504,1144010300,132,20111230,개별난방,아파트,종합계약,4.0,250.0,0.0
A12179006,1144010300,128,20071018,개별난방,아파트,종합계약,5.0,39.0,105.0
A12181406,1144010400,1021,19960925,중앙난방,아파트,단일계약,23.0,386.0,352.0
A12170401,1144010400,167,20100429,개별난방,아파트,단일계약,7.0,7.0,160.0
A12104007,1144010400,1222,19910320,중앙난방,아파트,단일계약,33.0,805.0,333.0
A12181403,1144010400,793,20000311,개별난방,아파트,단일계약,8.0,30.0,139.0
A12104005,1144010400,982,19970516,중앙난방,아파트,단일계약,29.0,702.0,378.0
A12104001,1144010400,196,19980924,개별난방,아파트,단일계약,5.0,64.0,108.0
A12181404,1144010400,914,20000311,중앙난방,아파트,단일계약,23.0,460.0,695.0
A12187602,1144010500,430,20030321,개별난방,아파트,종합계약,13.0,3.0,509.0
A10028006,1144010500,547,20161013,지역난방,아파트,단일계약,17.0,0.0,617.0
A12187501,1144010500,563,20150227,지역난방,아파트,단일계약,16.0,7.0,692.0
A12106001,1144010600,456,19971031,지역난방,아파트,단일계약,10.0,93.0,291.0
A12105001,1144010700,339,20000807,개별난방,아파트,단일계약,8.0,38.0,299.0
A10025672,1144010700,133,19961129,개별난방,아파트,단일계약,3.0,30.0,82.0
A12181103,1144010800,1424,19991120,지역난방,아파트,종합계약,27.0,221.0,1532.0
A12172401,1144010800,558,20140306,개별난방,아파트,종합계약,12.0,0.0,758.0
A12181101,1144010800,165,20070406,개별난방,아파트,단일계약,5.0,36.0,159.0
A12181102,1144010800,566,19991120,지역난방,아파트,단일계약,4.0,44.0,154.0
A10025003,1144010800,1248,20200221,개별난방,아파트,단일계약,43.0,0.0,1437.0
A12109002,1144010900,574,20010328,개별난방,아파트,단일계약,20.0,93.0,590.0
A12109001,1144010900,534,20031205,지역난방,아파트,종합계약,13.0,0.0,892.0
A12187403,1144010900,678,19970830,개별난방,아파트,기타,9.0,130.0,103.0
A10026036,1144010900,927,20180928,개별난방,아파트,단일계약,33.0,0.0,1173.0
A10024347,1144010900,1694,20211230,개별난방,아파트,종합계약,53.0,0.0,2022.0
A12171201,1144011100,313,20091229,개별난방,아파트,단일계약,6.0,56.0,303.0
A12185602,1144011100,192,20031215,개별난방,아파트,종합계약,5.0,161.0,60.0
A12185605,1144011100,279,20040730,개별난방,아파트,종합계약,7.0,30.0,401.0
A12185606,1144011100,391,19970408,개별난방,아파트,단일계약,9.0,82.0,278.0
A12111001,1144011100,160,20070517,개별난방,아파트,종합계약,8.0,59.0,123.0
