kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13991017,1135010200,225,20060327.0,개별난방,아파트,종합계약,9.0,47.0,189.0
A13905208,1135010200,571,19971120.0,중앙난방,아파트,기타,8.0,163.0,143.0
A13905202,1135010200,233,20040924.0,개별난방,아파트,종합계약,8.0,47.0,205.0
A13985107,1135010200,520,19980810.0,지역난방,아파트,기타,10.0,150.0,239.0
A13984604,1135010200,864,19830430.0,개별난방,아파트,단일계약,9.0,590.0,0.0
A13984411,1135010200,884,19950612.0,지역난방,아파트,기타,10.0,215.0,119.0
A13905102,1135010200,258,19970930.0,개별난방,아파트,종합계약,7.0,5.0,232.0
A13984603,1135010200,296,19841221.0,개별난방,아파트,단일계약,6.0,206.0,0.0
A13905204,1135010200,410,19980430.0,중앙난방,아파트,기타,6.0,73.0,153.0
A13985201,1135010200,199,19960809.0,개별난방,아파트,종합계약,8.0,88.0,38.0
A13985106,1135010200,1147,19980714.0,지역난방,아파트,기타,16.0,269.0,223.0
A13984813,1135010200,2298,19921119.0,중앙난방,아파트,기타,25.0,546.0,0.0
A13987501,1135010200,157,20050523.0,개별난방,아파트,단일계약,7.0,62.0,104.0
A13905105,1135010200,1281,20001125.0,개별난방,아파트,종합계약,22.0,302.0,1167.0
A13987503,1135010200,171,20000426.0,개별난방,아파트,단일계약,5.0,34.0,160.0
A13984814,1135010200,2002,19921030.0,개별난방,아파트,기타,29.0,787.0,0.0
A13984004,1135010200,3003,20021018.0,개별난방,아파트,단일계약,61.0,3967.0,0.0
A13991016,1135010200,205,20050331.0,개별난방,아파트,종합계약,8.0,58.0,148.0
A13985103,1135010200,344,19980729.0,지역난방,아파트,종합계약,9.0,162.0,458.0
A13985105,1135010200,458,19980810.0,지역난방,아파트,기타,6.0,121.0,154.0
A13984409,1135010200,775,19950612.0,지역난방,아파트,기타,10.0,148.0,145.0
A13984003,1135010200,910,19870706.0,중앙난방,아파트,단일계약,7.0,289.0,0.0
A13995602,1135010200,1372,19950612.0,지역난방,아파트,단일계약,16.0,300.0,47.0
A13905003,1135010200,484,20051216.0,개별난방,아파트,단일계약,12.0,69.0,420.0
A13905301,1135010200,274,19941021.0,개별난방,아파트,단일계약,8.0,132.0,73.0
A13987502,1135010200,223,20050628.0,개별난방,아파트,단일계약,9.0,95.0,166.0
A13991018,1135010200,850,20061130.0,개별난방,아파트,단일계약,36.0,356.0,797.0
A13905302,1135010200,713,19950612.0,지역난방,아파트,종합계약,10.0,241.0,149.0
A13991015,1135010200,154,19980414.0,개별난방,아파트,종합계약,4.0,56.0,95.0
A13905101,1135010200,190,19991209.0,개별난방,아파트,단일계약,5.0,52.0,186.0
A13984005,1135010200,3930,19860607.0,지역난방,아파트,단일계약,37.0,2055.0,0.0
A10027121,1135010200,326,20171020.0,개별난방,아파트,단일계약,17.0,1.0,359.0
A10027716,1135010200,504,20160127.0,개별난방,아파트,단일계약,34.0,0.0,598.0
A10025097,1135010200,859,20200130.0,개별난방,아파트,종합계약,21.0,0.0,1116.0
A10024636,1135010200,115,20051027.0,개별난방,아파트,단일계약,4.0,52.0,78.0
A10024812,1135010200,138,20011204.0,개별난방,아파트,단일계약,4.0,31.0,132.0
A13980513,1135010300,1601,20010917.0,개별난방,아파트,단일계약,38.0,473.0,1526.0
A13924003,1135010300,561,20001020.0,개별난방,아파트,단일계약,13.0,222.0,408.0
A13994501,1135010300,181,20001018.0,개별난방,아파트,종합계약,6.0,28.0,157.0
A13980801,1135010300,152,19990430.0,개별난방,아파트,단일계약,3.0,0.0,172.0
A13980010,1135010300,436,20000127.0,지역난방,아파트,단일계약,22.0,227.0,310.0
A13980415,1135010300,579,20001018.0,개별난방,아파트,단일계약,16.0,134.0,517.0
A13980018,1135010300,700,19990729.0,지역난방,아파트,단일계약,10.0,238.0,267.0
A13980107,1135010300,342,20020307.0,개별난방,아파트,종합계약,9.0,76.0,360.0
A13980509,1135010300,525,19941207.0,지역난방,아파트,기타,7.0,162.0,98.0
A13980009,1135010300,432,19851028.0,개별난방,아파트,단일계약,24.0,330.0,0.0
A13980014,1135010300,564,20001215.0,지역난방,아파트,단일계약,19.0,286.0,700.0
A13980012,1135010300,494,20000504.0,지역난방,아파트,단일계약,20.0,19.0,486.0
A13924004,1135010300,845,19950930.0,개별난방,아파트,단일계약,23.0,235.0,521.0
A13980510,1135010300,660,19941207.0,지역난방,아파트,기타,9.0,215.0,42.0
A13924205,1135010300,295,19960412.0,개별난방,아파트,단일계약,8.0,185.0,70.0
A13980102,1135010300,153,20000214.0,개별난방,아파트,단일계약,2.0,33.0,121.0
A13980604,1135010300,174,20000329.0,개별난방,아파트,단일계약,5.0,18.0,150.0
A13980413,1135010300,196,19991224.0,개별난방,아파트,단일계약,6.0,71.0,184.0
A13980511,1135010300,840,19941207.0,지역난방,아파트,단일계약,10.0,222.0,99.0
A13980105,1135010300,190,19991023.0,개별난방,아파트,단일계약,5.0,52.0,172.0
A13980402,1135010300,215,19990424.0,개별난방,아파트,종합계약,5.0,17.0,202.0
A13980108,1135010300,363,19951230.0,개별난방,아파트,단일계약,9.0,60.0,292.0
A13980407,1135010300,340,19950602.0,지역난방,아파트,단일계약,,194.0,130.0
A13980803,1135010300,158,19971028.0,개별난방,아파트,종합계약,3.0,26.0,118.0
A13980004,1135010300,278,20001125.0,지역난방,아파트,종합계약,12.0,0.0,325.0
A13980706,1135010300,191,20030120.0,개별난방,아파트,단일계약,6.0,22.0,184.0
A13980403,1135010300,237,20040429.0,개별난방,아파트,단일계약,6.0,44.0,179.0
A13980401,1135010300,198,20040618.0,개별난방,아파트,종합계약,7.0,79.0,166.0
A13980017,1135010300,691,19990820.0,지역난방,아파트,단일계약,8.0,166.0,188.0
A13980512,1135010300,1395,19941207.0,지역난방,아파트,기타,18.0,289.0,94.0
A13980411,1135010300,452,19991224.0,개별난방,아파트,단일계약,9.0,52.0,450.0
A13980019,1135010300,1676,19990723.0,지역난방,아파트,단일계약,28.0,508.0,731.0
A10026289,1135010300,138,20021129.0,개별난방,아파트,종합계약,4.0,10.0,140.0
A13980006,1135010300,297,20001125.0,지역난방,아파트,단일계약,14.0,0.0,343.0
