kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13782601,1165010100,216,20061227.0,지역난방,아파트,단일계약,10.0,80.0,127.0
A13785302,1165010100,468,19910506.0,개별난방,아파트,단일계약,16.0,306.0,26.0
A13706302,1165010100,344,20050107.0,개별난방,아파트,종합계약,8.0,91.0,518.0
A13706002,1165010100,81,20050811.0,개별난방,아파트,단일계약,1.0,0.0,57.0
A13785203,1165010100,644,19991109.0,개별난방,아파트,종합계약,15.0,90.0,708.0
A13782602,1165010100,481,19830531.0,지역난방,아파트,종합계약,17.0,481.0,0.0
A13785301,1165010100,303,20031001.0,개별난방,아파트,종합계약,16.0,36.0,350.0
A13784907,1165010100,493,19811230.0,중앙난방,아파트,단일계약,12.0,528.0,0.0
A13783001,1165010100,192,20060331.0,개별난방,아파트,종합계약,7.0,0.0,626.0
A13782902,1165010100,206,20010926.0,개별난방,아파트,종합계약,6.0,40.0,459.0
A13784401,1165010100,161,20060526.0,개별난방,아파트,종합계약,7.0,65.0,153.0
A13784102,1165010100,199,20031230.0,개별난방,아파트,종합계약,7.0,12.0,528.0
A13771601,1165010100,496,20100203.0,개별난방,아파트,종합계약,26.0,0.0,937.0
A13785004,1165010100,408,19811216.0,중앙난방,아파트,단일계약,9.0,344.0,0.0
A13785008,1165010100,588,20041214.0,개별난방,아파트,종합계약,11.0,125.0,1106.0
A13785005,1165010100,418,19851113.0,중앙난방,아파트,종합계약,15.0,277.0,0.0
A13785201,1165010100,384,20010827.0,개별난방,아파트,종합계약,11.0,112.0,485.0
A13706303,1165010100,364,19921125.0,개별난방,아파트,단일계약,15.0,155.0,125.0
A13785001,1165010100,316,19880414.0,중앙난방,아파트,단일계약,8.0,88.0,54.0
A13782804,1165010100,899,19751128.0,지역난방,아파트,종합계약,20.0,555.0,0.0
A13771001,1165010100,744,20131120.0,개별난방,아파트,종합계약,22.0,6.0,1164.0
A10025472,1165010100,55,20030930.0,개별난방,아파트,종합계약,2.0,28.0,123.0
A10027585,1165010100,123,20040701.0,개별난방,아파트,단일계약,5.0,0.0,219.0
A10025927,1165010100,353,20181029.0,지역난방,아파트,종합계약,16.0,0.0,570.0
A10027016,1165010100,136,20031101.0,개별난방,아파트,단일계약,6.0,378.0,14.0
A10024171,1165010100,758,20210723.0,지역난방,아파트,종합계약,30.0,0.0,1514.0
A10024942,1165010100,99,20191226.0,개별난방,아파트,,,,155.0
A13789002,1165010200,175,20020830.0,개별난방,아파트,단일계약,3.0,77.0,98.0
A13713001,1165010200,231,20140626.0,개별난방,아파트,종합계약,5.0,0.0,292.0
A13789201,1165010200,150,19961231.0,개별난방,아파트,단일계약,6.0,117.0,20.0
A13713002,1165010200,390,20140626.0,개별난방,아파트,종합계약,8.0,0.0,467.0
A13789203,1165010200,848,19911129.0,중앙난방,아파트,단일계약,30.0,761.0,26.0
A13790003,1165010300,330,19950325.0,개별난방,아파트,단일계약,12.0,184.0,97.0
A13790004,1165010300,412,19950330.0,중앙난방,아파트,단일계약,14.0,322.0,331.0
A13778212,1165010300,790,20131119.0,개별난방,아파트,종합계약,13.0,195.0,478.0
A13778201,1165010300,409,20111212.0,개별난방,아파트,단일계약,11.0,4.0,455.0
A13778208,1165010300,178,20121128.0,개별난방,아파트,단일계약,12.0,1.0,211.0
A13778210,1165010300,358,20131204.0,개별난방,아파트,단일계약,9.0,20.0,399.0
A13778205,1165010300,1251,20130118.0,개별난방,아파트,단일계약,32.0,8.0,1416.0
A13778209,1165010300,424,20131204.0,개별난방,아파트,종합계약,11.0,15.0,447.0
A13778306,1165010300,984,19940718.0,중앙난방,아파트,단일계약,13.0,222.0,0.0
