kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A12003001,1141010300,180,20081031,개별난방,아파트,종합계약,6.0,2.0,201.0
A12005001,1141010500,237,20020321,개별난방,아파트,종합계약,7.0,98.0,186.0
A12070101,1141010500,561,20110407,개별난방,아파트,단일계약,23.0,0.0,683.0
A12004001,1141010600,1008,20060313,개별난방,아파트,단일계약,26.0,161.0,628.0
A12007001,1141010800,895,19950623,개별난방,아파트,종합계약,27.0,430.0,513.0
A12008001,1141010900,290,20001213,개별난방,아파트,단일계약,5.0,37.0,166.0
A12008003,1141010900,1300,19981210,개별난방,아파트,단일계약,29.0,284.0,1067.0
A12079601,1141010900,600,19981210,개별난방,아파트,단일계약,6.0,14.0,206.0
A12079501,1141011000,956,19990303,개별난방,아파트,단일계약,11.0,175.0,540.0
A10027851,1141011000,940,20151023,개별난방,아파트,종합계약,36.0,0.0,1263.0
A10026370,1141011000,1910,20180503,개별난방,아파트,단일계약,70.0,10.0,2079.0
A10024719,1141011000,1226,20200804,개별난방,아파트,종합계약,39.0,0.0,1387.0
A12009303,1141011100,240,19960722,개별난방,아파트,단일계약,10.0,81.0,71.0
A12009202,1141011100,474,20010613,개별난방,아파트,종합계약,11.0,71.0,448.0
A12009001,1141011100,150,19960807,개별난방,아파트,단일계약,1.0,412.0,130.0
A12078704,1141011100,939,20000614,개별난방,아파트,단일계약,22.0,392.0,801.0
A12078707,1141011100,482,20000614,개별난방,아파트,단일계약,6.0,105.0,54.0
A12009201,1141011100,242,19980511,개별난방,아파트,단일계약,5.0,24.0,224.0
A12009304,1141011100,554,19960807,개별난방,아파트,단일계약,12.0,262.0,182.0
A12009305,1141011100,768,20021122,개별난방,아파트,단일계약,16.0,255.0,520.0
A12009102,1141011100,704,19920708,개별난방,아파트,단일계약,22.0,391.0,116.0
A12086001,1141011100,214,19980731,개별난방,아파트,단일계약,3.0,20.0,166.0
A12009101,1141011100,192,19990930,개별난방,아파트,종합계약,4.0,0.0,238.0
A12078706,1141011100,228,20010530,개별난방,아파트,단일계약,12.0,0.0,173.0
A12085303,1141011100,998,19930504,개별난방,아파트,단일계약,22.0,348.0,487.0
A12009302,1141011100,236,20030620,개별난방,아파트,종합계약,8.0,91.0,173.0
A12009203,1141011100,862,19940630,개별난방,아파트,단일계약,31.0,402.0,376.0
A12078705,1141011100,700,20000705,개별난방,아파트,단일계약,18.0,194.0,603.0
A12078201,1141011100,246,20000705,개별난방,아파트,단일계약,3.0,19.0,161.0
A10025767,1141011100,906,20181231,개별난방,아파트,단일계약,31.0,0.0,1051.0
A10027681,1141011100,296,20160203,개별난방,아파트,종합계약,11.0,0.0,334.0
A10023959,1141011100,1116,20211230,개별난방,아파트,종합계약,47.0,0.0,1331.0
A10023560,1141011100,832,20221028,개별난방,아파트,종합계약,24.0,0.0,1050.0
A10023330,1141011100,139,20010519,개별난방,아파트,종합계약,5.0,45.0,148.0
A12076401,1141011100,119,20060526,개별난방,아파트,종합계약,4.0,55.0,87.0
A12017001,1141011200,855,19990226,개별난방,아파트,단일계약,22.0,352.0,165.0
A12071101,1141011700,581,20010531,개별난방,아파트,종합계약,17.0,111.0,621.0
A12071103,1141011700,220,19930903,개별난방,아파트,단일계약,11.0,179.0,23.0
A12011002,1141011700,562,20020730,개별난방,아파트,단일계약,12.0,5.0,632.0
A12071102,1141011700,212,19990224,개별난방,아파트,종합계약,4.0,0.0,224.0
A10025822,1141011700,396,20181221,개별난방,아파트,종합계약,13.0,0.0,483.0
A12010103,1141011800,390,19901219,개별난방+기타,아파트,단일계약,6.0,178.0,68.0
A12071001,1141011800,294,19971013,개별난방,아파트,종합계약,11.0,21.0,204.0
A12010104,1141011800,1509,19970930,개별난방,아파트,단일계약,43.0,597.0,663.0
A12010202,1141011800,333,20021122,개별난방,아파트,단일계약,10.0,111.0,385.0
A12010001,1141011800,195,20120919,개별난방,아파트,단일계약,10.0,6.0,227.0
A12084504,1141011800,610,19880729,개별난방,아파트,단일계약,21.0,522.0,0.0
A12071003,1141011800,300,19850320,개별난방,아파트,종합계약,11.0,251.0,0.0
A12010203,1141011800,488,19951102,개별난방,아파트,단일계약,17.0,85.0,238.0
A12071002,1141011800,201,20090831,개별난방,아파트,종합계약,8.0,3.0,250.0
A12084302,1141011800,299,19871026,개별난방,아파트,단일계약,6.0,195.0,0.0
A10026604,1141011800,552,20171218,개별난방,아파트,단일계약,36.0,0.0,834.0
A10025166,1141011800,497,20200721,개별난방,아파트,종합계약,15.0,0.0,598.0
A12010101,1141011800,181,19880209,개별난방,아파트,종합계약,2.0,43.0,21.0
