kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13679903,1129010300,192,20130115,개별난방,아파트,단일계약,12.0,0.0,319.0
A13606002,1129010300,339,20060331,개별난방,아파트,종합계약,11.0,93.0,290.0
A13606101,1129010300,460,19990511,개별난방,아파트,단일계약,14.0,130.0,441.0
A13606003,1129010300,689,20050601,개별난방,아파트,단일계약,22.0,288.0,691.0
A13606106,1129010300,736,19990430,개별난방,아파트,단일계약,8.0,26.0,139.0
A13681303,1129010300,540,20030918,개별난방,아파트,종합계약,21.0,683.0,0.0
A13606105,1129010300,309,19990511,개별난방,아파트,단일계약,4.0,35.0,72.0
A13606107,1129010300,1278,19990430,개별난방,아파트,단일계약,29.0,559.0,1117.0
A13679902,1129010300,200,20070418,개별난방,아파트,단일계약,9.0,28.0,214.0
A13606005,1129010300,580,19980701,중앙난방,아파트,단일계약,4.0,580.0,0.0
A13606201,1129010300,1074,20041218,개별난방,아파트,종합계약,32.0,87.0,1038.0
A13606102,1129010300,499,19981209,개별난방,아파트,단일계약,11.0,102.0,415.0
A13681304,1129010300,619,19910613,개별난방,아파트,단일계약,18.0,216.0,159.0
A10027350,1129010300,81,20090727,개별난방,아파트,종합계약,2.0,21.0,78.0
A10027227,1129010300,629,20161229,개별난방,아파트,단일계약,22.0,0.0,690.0
A13606004,1129010300,3929,19980701,중앙난방,아파트,종합계약,174.0,1747.0,3057.0
A10028001,1129010300,490,20141031,개별난방,아파트,단일계약,11.0,0.0,561.0
A10025140,1129010300,141,19940718,개별난방,아파트,종합계약,5.0,55.0,34.0
A13603401,1129010700,345,19980612,개별난방,아파트,단일계약,7.0,140.0,183.0
A13603701,1129010700,409,20040705,개별난방,아파트,단일계약,14.0,84.0,438.0
A13603702,1129011000,194,20101126,개별난방,아파트,종합계약,7.0,0.0,228.0
A13672101,1129011200,864,20080327,개별난방,아파트,종합계약,39.0,41.0,1085.0
A13672102,1129011200,377,20091201,개별난방,아파트,단일계약,32.0,28.0,386.0
A13604301,1129011300,285,20081114,개별난방,아파트,종합계약,3.0,10.0,190.0
A13670801,1129011300,430,20120430,개별난방,아파트,단일계약,32.0,0.0,630.0
A13604401,1129011400,437,19991102,개별난방,아파트,단일계약,11.0,102.0,327.0
A13607101,1129012100,528,20050616,개별난방,아파트,단일계약,22.0,70.0,518.0
A13607301,1129012300,204,19830614,개별난방,아파트,단일계약,9.0,220.0,0.0
A13607302,1129012300,346,19711209,개별난방,아파트,단일계약,,100.0,0.0
A13608601,1129012800,218,19941010,개별난방,아파트,단일계약,8.0,99.0,64.0
A10027189,1129012800,1186,20170118,개별난방,아파트,종합계약,35.0,0.0,1293.0
A10023669,1129013000,465,20220330,개별난방,아파트,종합계약,26.0,0.0,523.0
A13608301,1129013200,431,20030830,개별난방,아파트,단일계약,10.0,108.0,375.0
A13677401,1129013200,440,20131224,개별난방,아파트,종합계약,48.0,13.0,548.0
A13676501,1129013300,193,19991113,개별난방,아파트,단일계약,4.0,17.0,194.0
A13610007,1129013300,1971,20051228,개별난방,아파트,단일계약,50.0,298.0,2064.0
A13685104,1129013300,433,20040430,개별난방,아파트,단일계약,15.0,47.0,414.0
A13684306,1129013300,745,20051116,개별난방,아파트,단일계약,21.0,101.0,755.0
A13684701,1129013300,261,19990514,개별난방,아파트,단일계약,5.0,71.0,133.0
A13677101,1129013300,527,20090608,개별난방,아파트,단일계약,24.0,44.0,583.0
A13677206,1129013300,823,20000212,개별난방,아파트,단일계약,22.0,225.0,492.0
A13610003,1129013300,222,20070518,개별난방,아파트,단일계약,7.0,32.0,219.0
A13610001,1129013300,196,19990728,개별난방,아파트,단일계약,5.0,23.0,159.0
A13684605,1129013300,529,20031004,개별난방,아파트,단일계약,16.0,129.0,415.0
A13676605,1129013300,514,19991122,개별난방,아파트,단일계약,13.0,124.0,393.0
A13610004,1129013300,264,19771229,개별난방,아파트,단일계약,8.0,160.0,0.0
A13677807,1129013300,212,20090416,개별난방,아파트,종합계약,6.0,18.0,244.0
A13610107,1129013300,860,19990619,개별난방,아파트,단일계약,18.0,195.0,607.0
A13610202,1129013300,403,20051128,개별난방,아파트,단일계약,12.0,86.0,362.0
A13610301,1129013300,271,20000117,개별난방,아파트,단일계약,6.0,34.0,260.0
A13610103,1129013300,355,20041223,개별난방,아파트,단일계약,8.0,6.0,385.0
A13676504,1129013300,406,19990212,개별난방,아파트,단일계약,8.0,59.0,391.0
A13676703,1129013300,739,20060602,개별난방,아파트,단일계약,20.0,187.0,640.0
A13676702,1129013300,791,20010621,개별난방,아파트,단일계약,19.0,47.0,589.0
A13610005,1129013300,522,20080609,개별난방,아파트,단일계약,29.0,14.0,600.0
A13610201,1129013300,169,20080530,개별난방,아파트,단일계약,10.0,98.0,82.0
A13676704,1129013300,332,20051228,개별난방,아파트,단일계약,4.0,16.0,218.0
A13610102,1129013300,236,20081008,개별난방,아파트,단일계약,5.0,0.0,297.0
A10028000,1129013300,349,20150430,개별난방,아파트,단일계약,16.0,0.0,395.0
A13611202,1129013400,1377,20030331,개별난방,아파트,단일계약,34.0,143.0,1532.0
A13611011,1129013400,1012,20100930,개별난방,아파트,종합계약,20.0,0.0,1290.0
A13611201,1129013400,560,20060623,개별난방,아파트,종합계약,32.0,72.0,616.0
A13611005,1129013400,977,20070724,개별난방,아파트,종합계약,27.0,57.0,1200.0
A13611007,1129013400,2068,20050420,개별난방,아파트,단일계약,59.0,360.0,2201.0
A13611006,1129013400,1605,20050420,개별난방,아파트,종합계약,46.0,288.0,1610.0
A13680701,1129013400,252,19881126,개별난방,아파트,단일계약,10.0,206.0,0.0
A13611103,1129013400,1125,20030129,개별난방,아파트,단일계약,31.0,135.0,1171.0
A13679403,1129013400,449,20100728,개별난방,아파트,단일계약,12.0,12.0,516.0
A13611002,1129013400,300,20030331,개별난방,아파트,단일계약,4.0,18.0,192.0
A13611004,1129013400,684,19980202,개별난방,아파트,단일계약,17.0,154.0,133.0
A13611010,1129013400,120,20100630,개별난방,아파트,단일계약,2.0,0.0,84.0
A13611009,1129013400,90,20080204,개별난방,아파트,단일계약,1.0,0.0,93.0
A13611001,1129013400,276,20050420,개별난방,아파트,단일계약,3.0,0.0,195.0
A13611102,1129013400,282,20050420,개별난방,아파트,단일계약,4.0,0.0,204.0
A13611008,1129013400,1497,20100630,개별난방,아파트,단일계약,53.0,49.0,1701.0
A13679402,1129013400,242,20100930,개별난방,아파트,단일계약,4.0,0.0,176.0
A13606006,1129013400,132,20001228,개별난방,아파트,종합계약,2.0,33.0,47.0
A10025638,1129013400,2352,20191129,개별난방,아파트,종합계약,47.0,0.0,2610.0
A13611012,1129013400,99,20100728,개별난방,아파트,단일계약,4.0,0.0,76.0
A10023926,1129013400,2029,20220127,개별난방,아파트,종합계약,102.0,0.0,2451.0
A10025753,1129013400,399,20190507,개별난방,아파트,종합계약,16.0,0.0,486.0
A13671204,1129013500,782,20050930,개별난방,아파트,단일계약,25.0,13.0,888.0
A13671210,1129013500,465,19990407,개별난방,아파트,단일계약,5.0,93.0,37.0
A13671209,1129013500,837,20110131,개별난방,아파트,종합계약,21.0,0.0,1011.0
A13671212,1129013500,206,20091029,개별난방,아파트,단일계약,3.0,0.0,148.0
A13671203,1129013500,238,19960919,개별난방,아파트,단일계약,12.0,76.0,86.0
A13671207,1129013500,297,20001207,개별난방,아파트,단일계약,10.0,123.0,210.0
A13671208,1129013500,955,20091029,개별난방,아파트,단일계약,25.0,0.0,1141.0
A13671205,1129013500,1318,19990407,개별난방,아파트,단일계약,21.0,324.0,1179.0
A13671213,1129013500,393,20101029,개별난방,아파트,단일계약,10.0,0.0,448.0
A13671206,1129013500,513,20040924,개별난방,아파트,단일계약,15.0,46.0,530.0
A13686302,1129013500,1168,20040924,개별난방,아파트,단일계약,31.0,139.0,1196.0
A13671211,1129013500,188,20110131,개별난방,아파트,단일계약,6.0,0.0,132.0
A10024603,1129013500,104,20070420,개별난방,아파트,,,,
A13613005,1129013600,746,19980701,개별난방,아파트,단일계약,26.0,240.0,400.0
A13613001,1129013600,198,19961203,개별난방,아파트,종합계약,5.0,50.0,101.0
A13613201,1129013600,352,20040707,개별난방,아파트,단일계약,10.0,110.0,268.0
A13613003,1129013600,288,20080625,개별난방,아파트,단일계약,3.0,42.0,167.0
A13613010,1129013600,458,20030430,개별난방,아파트,단일계약,6.0,19.0,59.0
A13613009,1129013600,714,20100429,개별난방,아파트,단일계약,31.0,95.0,634.0
A13613008,1129013600,2197,20030430,개별난방,아파트,단일계약,67.0,186.0,2476.0
A13613007,1129013600,1372,20060719,개별난방,아파트,종합계약,37.0,68.0,1678.0
A13613002,1129013600,209,20081016,개별난방,아파트,단일계약,3.0,12.0,136.0
A13613006,1129013600,787,20071023,개별난방,아파트,단일계약,19.0,4.0,928.0
A13612001,1129013700,225,19941224,개별난방,아파트,단일계약,7.0,141.0,83.0
A13612002,1129013700,1253,20030627,개별난방,아파트,단일계약,29.0,417.0,1028.0
A13678401,1129013700,278,20030627,개별난방,아파트,단일계약,4.0,90.0,38.0
A13614001,1129013800,611,20081226,개별난방,아파트,종합계약,18.0,56.0,728.0
A13614301,1129013800,254,20060418,개별난방,아파트,단일계약,5.0,3.0,186.0
A13614302,1129013800,373,20060418,개별난방,아파트,단일계약,13.0,0.0,412.0
A10026571,1129013800,513,20171030,개별난방,아파트,단일계약,13.0,0.0,614.0
A10025461,1129013800,939,20210531,개별난방,아파트,단일계약,21.0,0.0,1096.0
A10025245,1129013800,1562,20201103,개별난방,아파트,단일계약,40.0,0.0,1911.0
A10024702,1129013800,147,20011227,개별난방,아파트,종합계약,6.0,24.0,145.0
A10024488,1129013800,1711,20220713,개별난방,아파트,종합계약,92.0,0.0,2027.0
A13615003,1129013900,1998,19980418,개별난방,아파트,단일계약,41.0,591.0,1658.0
A13676103,1129013900,199,20110128,개별난방,아파트,종합계약,9.0,0.0,253.0
A13681701,1129013900,315,19940624,개별난방,아파트,단일계약,7.0,62.0,179.0
A13676101,1129013900,580,20090626,개별난방,아파트,종합계약,19.0,0.0,684.0
A13676102,1129013900,80,20090626,개별난방,아파트,단일계약,2.0,0.0,56.0
A13615002,1129013900,453,19990612,개별난방,아파트,단일계약,10.0,104.0,357.0
A10025283,1129013900,1091,20190228,개별난방,아파트,종합계약,32.0,3.0,1305.0
