kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13373302,1120010100,211,20140626.0,개별난방,아파트,단일계약,4.0,0.0,164.0
A13373301,1120010100,937,20140626.0,개별난방,아파트,단일계약,33.0,0.0,1401.0
A13302203,1120010200,414,20011214.0,개별난방,아파트,종합계약,11.0,107.0,350.0
A13302204,1120010200,458,20011005.0,개별난방,아파트,종합계약,12.0,53.0,481.0
A13385705,1120010200,480,19890330.0,개별난방,아파트,단일계약,17.0,299.0,75.0
A13302001,1120010200,822,19960607.0,개별난방,아파트,단일계약,23.0,287.0,538.0
A13377302,1120010200,274,20011005.0,개별난방,아파트,단일계약,6.0,10.0,90.0
A13385802,1120010200,277,19960315.0,개별난방,아파트,단일계약,10.0,153.0,54.0
A13377301,1120010200,191,20011214.0,개별난방,아파트,단일계약,2.0,63.0,0.0
A13302206,1120010200,758,20041130.0,개별난방,아파트,단일계약,25.0,87.0,762.0
A13388001,1120010200,510,19960607.0,개별난방,아파트,단일계약,4.0,54.0,78.0
A10027969,1120010200,333,20150424.0,개별난방,아파트,단일계약,6.0,0.0,294.0
A10027920,1120010200,1369,20150424.0,개별난방,아파트,종합계약,41.0,2055.0,0.0
A10027289,1120010200,2529,20161129.0,개별난방,아파트,기타,73.0,0.0,3166.0
A10026900,1120010200,713,20170728.0,개별난방,아파트,종합계약,17.0,0.0,933.0
A10027432,1120010200,272,20160428.0,개별난방,아파트,단일계약,20.0,3.0,273.0
A10024762,1120010300,101,20051123.0,개별난방,아파트,단일계약,3.0,34.0,81.0
A13305006,1120010500,430,19961214.0,개별난방,아파트,종합계약,9.0,214.0,240.0
A13305005,1120010500,400,20061121.0,개별난방,아파트,단일계약,7.0,19.0,305.0
A13381601,1120010500,170,19990531.0,개별난방,아파트,단일계약,3.0,20.0,158.0
A13305002,1120010500,248,20041130.0,개별난방,아파트,단일계약,6.0,76.0,204.0
A13305003,1120010500,286,20040604.0,개별난방,아파트,단일계약,8.0,81.0,224.0
A13305007,1120010500,811,19861227.0,중앙난방,아파트,단일계약,23.0,450.0,0.0
A13381608,1120010500,1017,19980414.0,개별난방,아파트,단일계약,36.0,238.0,804.0
A13381604,1120010500,367,20060927.0,개별난방,아파트,종합계약,9.0,0.0,456.0
A13381701,1120010600,270,19890912.0,개별난방,아파트,단일계약,3.0,166.0,0.0
A13307202,1120010700,636,19950522.0,개별난방,아파트,단일계약,13.0,264.0,182.0
A13377902,1120010700,1005,20001230.0,개별난방,아파트,단일계약,10.0,60.0,209.0
A13307204,1120010700,2399,20001230.0,개별난방,아파트,단일계약,69.0,941.0,1962.0
A13377903,1120010700,728,20001107.0,개별난방,아파트,단일계약,8.0,62.0,147.0
A13307201,1120010700,208,20050901.0,개별난방,아파트,단일계약,8.0,48.0,174.0
A13307101,1120010700,498,19980715.0,개별난방,아파트,단일계약,17.0,207.0,360.0
A13373101,1120010700,159,20031223.0,개별난방,아파트,단일계약,2.0,97.0,27.0
A13377703,1120010700,2123,20001107.0,개별난방,아파트,단일계약,45.0,390.0,2002.0
A13386702,1120010700,1410,20031223.0,개별난방,아파트,단일계약,34.0,147.0,1371.0
A13307001,1120010700,251,19970704.0,개별난방,아파트,단일계약,6.0,51.0,160.0
A13307002,1120010700,457,20110502.0,개별난방,아파트,종합계약,16.0,1.0,538.0
A13377901,1120010700,351,20091203.0,개별난방,아파트,단일계약,12.0,0.0,388.0
A10025685,1120010700,94,20110502.0,개별난방,아파트,단일계약,1.0,0.0,99.0
A10026207,1120010700,1034,20180622.0,개별난방,아파트,종합계약,18.0,0.0,1351.0
A10025686,1120010700,114,20091204.0,개별난방,아파트,단일계약,10.0,13.0,68.0
A13385301,1120010800,375,20030607.0,개별난방,아파트,단일계약,9.0,0.0,422.0
A13385202,1120010800,410,19890921.0,개별난방,아파트,단일계약,6.0,293.0,0.0
A13308004,1120010800,644,19900920.0,개별난방,아파트,단일계약,13.0,520.0,50.0
A13385303,1120010800,434,19960409.0,개별난방,아파트,단일계약,12.0,205.0,110.0
A13376906,1120010800,1150,20011026.0,개별난방,아파트,단일계약,21.0,93.0,1244.0
