kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13822002,1171010100,3696,20070824.0,지역난방,아파트,단일계약,75.0,0.0,4686.0
A13822004,1171010100,5678,20080930.0,지역난방,아파트,종합계약,118.0,10.0,7445.0
A13886701,1171010100,336,19900817.0,지역난방,아파트,단일계약,12.0,283.0,0.0
A13879102,1171010100,3930,19780415.0,지역난방,아파트,종합계약,110.0,2411.0,0.0
A13822902,1171010100,555,19830831.0,지역난방,아파트,종합계약,17.0,568.0,0.0
A13822702,1171010100,1842,19811208.0,지역난방,아파트,단일계약,64.0,2451.0,0.0
A13822003,1171010100,5563,20080731.0,지역난방,아파트,종합계약,119.0,0.0,7876.0
A13822701,1171010100,1356,19860614.0,지역난방,아파트,종합계약,52.0,1379.0,720.0
A13822001,1171010100,2678,20061228.0,지역난방,아파트,종합계약,56.0,3.0,4110.0
A10023599,1171010100,298,20221013.0,개별난방,아파트,종합계약,5.0,0.0,86.0
A13824005,1171010200,3402,19790124.0,지역난방,아파트,단일계약,41.0,1980.0,0.0
A13824006,1171010200,6864,20080829.0,지역난방,아파트,종합계약,111.0,0.0,9486.0
A13824003,1171010200,493,19881230.0,중앙난방,아파트,단일계약,3.0,88.0,448.0
A13872504,1171010200,120,19840817.0,개별난방,아파트,종합계약,5.0,186.0,0.0
A13804206,1171010300,895,19950731.0,개별난방,아파트,단일계약,24.0,646.0,231.0
A13887302,1171010300,782,19950613.0,개별난방,아파트,단일계약,24.0,269.0,399.0
A13887301,1171010300,236,20000930.0,지역난방,아파트,단일계약,5.0,40.0,213.0
A13887405,1171010300,557,19991115.0,지역난방,아파트,단일계약,17.0,93.0,540.0
A13804002,1171010300,417,19940727.0,개별난방,아파트,단일계약,11.0,119.0,263.0
A13804003,1171010300,442,19980527.0,개별난방,아파트,단일계약,16.0,214.0,234.0
A13887702,1171010300,275,19850617.0,지역난방,아파트,단일계약,11.0,311.0,0.0
A13887403,1171010300,384,19991130.0,지역난방,아파트,단일계약,10.0,32.0,341.0
A13804001,1171010300,415,19871215.0,지역난방,아파트,단일계약,10.0,268.0,0.0
A13804004,1171010300,708,19951114.0,지역난방,아파트,단일계약,19.0,377.0,121.0
A13887901,1171010300,166,20060224.0,개별난방,아파트,종합계약,8.0,7.0,219.0
A10025467,1171010300,140,19980312.0,개별난방,아파트,,,,
A10026804,1171010300,104,19911018.0,지역난방,아파트,종합계약,5.0,72.0,28.0
A10025185,1171010300,697,20191114.0,지역난방,아파트,종합계약,19.0,0.0,941.0
A13885306,1171010400,936,19841220.0,지역난방,아파트,단일계약,39.0,523.0,0.0
A13817001,1171010400,794,20120106.0,지역난방,아파트,종합계약,18.0,0.0,955.0
A13877501,1171010400,845,20011221.0,지역난방,아파트,종합계약,22.0,158.0,1224.0
A13885304,1171010400,744,19841023.0,지역난방,아파트,단일계약,28.0,862.0,0.0
A13885301,1171010400,243,19970516.0,개별난방,아파트,단일계약,5.0,78.0,167.0
A13885102,1171010400,576,19831221.0,지역난방,아파트,단일계약,17.0,374.0,0.0
A13885303,1171010400,378,19850112.0,지역난방,아파트,종합계약,13.0,460.0,0.0
A13817101,1171010400,227,19951017.0,개별난방,아파트,기타,7.0,36.0,191.0
A10028083,1171010400,71,20011120.0,지역난방,아파트,종합계약,,18.0,71.0
A10025460,1171010400,53,20071126.0,개별난방,아파트,,2.0,,
