kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15807316,1147010100,845,20000523.0,지역난방,아파트,단일계약,11.0,123.0,379.0
A15807004,1147010100,546,20110629.0,지역난방,아파트,단일계약,20.0,59.0,597.0
A15807003,1147010100,238,20110418.0,지역난방,아파트,종합계약,10.0,10.0,295.0
A15807704,1147010100,1140,20000318.0,지역난방,아파트,단일계약,9.0,117.0,208.0
A15886504,1147010100,361,19991130.0,지역난방,아파트,종합계약,11.0,83.0,510.0
A15807101,1147010100,2030,19870730.0,지역난방,아파트,단일계약,43.0,1466.0,0.0
A15885306,1147010100,270,19921125.0,지역난방,아파트,종합계약,9.0,104.0,77.0
A15807001,1147010100,292,20040630.0,지역난방,아파트,단일계약,7.0,39.0,356.0
A15807205,1147010100,230,20041130.0,지역난방,아파트,종합계약,11.0,0.0,420.0
A15807604,1147010100,1352,19870930.0,지역난방,아파트,단일계약,24.0,774.0,78.0
A15885307,1147010100,279,19921006.0,지역난방,아파트,종합계약,10.0,103.0,77.0
A15807311,1147010100,537,20001011.0,지역난방,아파트,단일계약,18.0,23.0,602.0
A15807706,1147010100,1860,19881006.0,지역난방,아파트,단일계약,24.0,873.0,0.0
A15807703,1147010100,1140,20000318.0,지역난방,아파트,종합계약,35.0,464.0,912.0
A15876401,1147010100,564,19970716.0,지역난방,아파트,단일계약,6.0,40.0,142.0
A15886402,1147010100,186,20040715.0,개별난방,아파트,단일계약,7.0,84.0,103.0
A15807002,1147010100,997,19990521.0,지역난방,아파트,단일계약,13.0,159.0,407.0
A15886512,1147010100,639,20001025.0,지역난방,아파트,단일계약,11.0,0.0,467.0
A15886507,1147010100,440,20010129.0,지역난방,아파트,단일계약,12.0,9.0,409.0
A15886505,1147010100,390,20020823.0,지역난방,아파트,단일계약,14.0,40.0,426.0
A15807210,1147010100,590,20020730.0,지역난방,아파트,단일계약,17.0,19.0,826.0
A15807605,1147010100,2280,19870730.0,지역난방,아파트,단일계약,42.0,1625.0,0.0
A15870701,1147010100,466,20110729.0,지역난방,아파트,종합계약,18.0,58.0,536.0
A15886508,1147010100,470,20010129.0,지역난방,아파트,단일계약,11.0,48.0,326.0
A15807707,1147010100,2995,19951211.0,지역난방,아파트,기타,42.0,567.0,700.0
A15807211,1147010100,972,19970716.0,지역난방,아파트,단일계약,25.0,388.0,874.0
A15807315,1147010100,770,20051028.0,개별난방,아파트,단일계약,22.0,0.0,1105.0
A15886510,1147010100,510,20001020.0,지역난방,아파트,단일계약,8.0,0.0,320.0
A15885514,1147010100,703,20001021.0,개별난방,아파트,단일계약,15.0,31.0,778.0
A15879502,1147010100,1339,20110624.0,지역난방,아파트,단일계약,35.0,9.0,1475.0
A15807313,1147010100,698,20000523.0,지역난방,아파트,단일계약,8.0,12.0,365.0
A15807702,1147010100,353,20011106.0,지역난방,아파트,단일계약,11.0,385.0,24.0
A15879501,1147010100,500,20010129.0,지역난방,아파트,단일계약,7.0,0.0,380.0
A15807705,1147010100,1595,19881003.0,지역난방,아파트,단일계약,30.0,1100.0,0.0
A15807208,1147010100,420,19960910.0,지역난방,아파트,종합계약,10.0,175.0,325.0
A15807606,1147010100,3100,19870730.0,지역난방,아파트,단일계약,68.0,1745.0,130.0
A15873701,1147010100,2160,19870730.0,지역난방,아파트,단일계약,48.0,1411.0,0.0
A15886501,1147010100,153,20020823.0,지역난방,아파트,단일계약,5.0,30.0,181.0
A15807204,1147010100,217,19950731.0,지역난방,아파트,종합계약,2.0,70.0,113.0
A15807701,1147010100,326,20060712.0,개별난방,아파트,종합계약,11.0,0.0,350.0
A15876402,1147010100,506,19960910.0,지역난방,아파트,단일계약,6.0,35.0,142.0
A15885303,1147010100,210,19921120.0,지역난방,아파트,종합계약,7.0,180.0,0.0
A15884901,1147010100,156,19901229.0,지역난방,아파트,종합계약,6.0,143.0,0.0
A15807202,1147010100,205,20031119.0,지역난방,아파트,단일계약,6.0,84.0,165.0
A15873902,1147010100,241,20100202.0,개별난방,아파트,종합계약,18.0,5.0,486.0
A15809002,1147010100,471,20110418.0,지역난방,아파트,종합계약,45.0,21.0,622.0
A15807306,1147010100,391,20040110.0,개별난방,아파트,단일계약,11.0,53.0,449.0
A10027375,1147010100,1081,20160519.0,개별난방,아파트,종합계약,66.0,18.0,1319.0
A10027396,1147010100,560,20160810.0,지역난방,아파트,단일계약,14.0,43.0,488.0
A10025649,1147010100,499,20190222.0,지역난방,아파트,단일계약,9.0,316.0,17.0
A10025729,1147010100,356,20190207.0,지역난방,아파트,종합계약,15.0,459.0,0.0
A10023593,1147010100,125,20030110.0,개별난방,아파트,종합계약,6.0,31.0,95.0
A10023886,1147010100,407,20220314.0,개별난방,아파트,종합계약,14.0,0.0,500.0
A10024398,1147010100,1497,20210128.0,지역난방,아파트,단일계약,47.0,11.0,2015.0
A15805504,1147010200,1848,19860930.0,지역난방,아파트,단일계약,30.0,1444.0,0.0
A15805404,1147010200,511,20030628.0,개별난방,아파트,단일계약,18.0,89.0,573.0
A15875102,1147010200,1640,19860930.0,지역난방,아파트,단일계약,21.0,1534.0,0.0
A15805102,1147010200,171,20030628.0,개별난방,아파트,단일계약,6.0,41.0,150.0
A15805003,1147010200,1588,19860930.0,지역난방,아파트,단일계약,22.0,1199.0,0.0
A15880204,1147010200,332,19920414.0,지역난방,아파트,단일계약,12.0,126.0,113.0
A15805203,1147010200,299,19941223.0,지역난방,아파트,단일계약,12.0,104.0,141.0
A15875101,1147010200,1882,19851119.0,지역난방,아파트,단일계약,28.0,1104.0,0.0
A15805202,1147010200,276,20060705.0,개별난방,아파트,종합계약,12.0,0.0,542.0
A15805115,1147010200,2550,19861006.0,지역난방,아파트,단일계약,43.0,1285.0,0.0
A15882107,1147010200,224,19971004.0,지역난방,아파트,단일계약,4.0,54.0,185.0
A15882103,1147010200,179,19990327.0,지역난방,아파트,단일계약,4.0,40.0,164.0
A15805111,1147010200,576,20061130.0,지역난방,아파트,종합계약,14.0,0.0,1143.0
A15805403,1147010200,371,20041124.0,지역난방,아파트,단일계약,18.0,51.0,519.0
A15805101,1147010200,154,20010910.0,개별난방,아파트,종합계약,6.0,38.0,164.0
A15882008,1147010200,242,19971206.0,지역난방,아파트,종합계약,6.0,64.0,134.0
A15805503,1147010200,1382,19860930.0,지역난방,아파트,단일계약,22.0,1820.0,0.0
A15881702,1147010200,155,20000629.0,개별난방,아파트,종합계약,5.0,12.0,164.0
A15805303,1147010200,1067,20050623.0,지역난방,아파트,단일계약,25.0,20.0,1399.0
A15805302,1147010200,423,20001213.0,개별난방,아파트,단일계약,12.0,108.0,322.0
A15881701,1147010200,153,20020813.0,지역난방,아파트,단일계약,5.0,45.0,115.0
A15870102,1147010200,542,19970716.0,지역난방,아파트,단일계약,6.0,25.0,180.0
A15875103,1147010200,1362,19860930.0,지역난방,아파트,단일계약,29.0,783.0,0.0
