kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15003001,1156010100,271,20041015,개별난방,아파트,단일계약,8.0,59.0,245.0
A15003002,1156010100,2462,20020531,개별난방,아파트,단일계약,58.0,347.0,2207.0
A10026311,1156010100,136,20020718,개별난방,아파트,종합계약,4.0,12.0,154.0
A15003701,1156010800,600,19981130,개별난방,아파트,단일계약,12.0,0.0,706.0
A10026816,1156010800,1221,20170830,개별난방,아파트,단일계약,25.0,0.0,1530.0
A10026801,1156010800,118,20040318,개별난방,아파트,단일계약,3.0,54.0,80.0
A15003801,1156010900,520,19990531,개별난방,아파트,단일계약,12.0,103.0,475.0
A15003802,1156010900,538,20040823,개별난방,아파트,단일계약,24.0,22.0,828.0
A15089513,1156011000,376,19770603,지역난방,아파트,단일계약,4.0,190.0,0.0
A15076302,1156011000,580,20080429,지역난방,아파트,종합계약,17.0,0.0,1382.0
A15089421,1156011000,1584,19711221,지역난방,아파트,종합계약,24.0,1297.0,0.0
A15001020,1156011000,866,19751222,지역난방,아파트,단일계약,20.0,720.0,0.0
A15088717,1156011000,577,19780524,지역난방,아파트,종합계약,15.0,465.0,0.0
A15001004,1156011000,196,19780606,지역난방,아파트,종합계약,5.0,220.0,0.0
A15001016,1156011000,576,19750929,지역난방,아파트,단일계약,10.0,400.0,0.0
A15001009,1156011000,329,19760703,지역난방,아파트,단일계약,9.0,280.0,0.0
A15089510,1156011000,360,19741219,지역난방,아파트,종합계약,15.0,314.0,0.0
A15089411,1156011000,360,19741019,지역난방,아파트,종합계약,15.0,374.0,0.0
A15001003,1156011000,192,19760918,지역난방,아파트,종합계약,8.0,260.0,0.0
A15088208,1156011000,312,19771018,지역난방,아파트,단일계약,4.0,312.0,0.0
A15088918,1156011000,588,19751105,지역난방,아파트,종합계약,19.0,621.0,0.0
A15001012,1156011000,373,19760806,지역난방,아파트,종합계약,6.0,290.0,0.0
A15001019,1156011000,744,19780729,지역난방,아파트,단일계약,30.0,910.0,0.0
A15001001,1156011000,153,19710827,지역난방,아파트,종합계약,2.0,64.0,0.0
A15088802,1156011000,160,19771216,지역난방,아파트,종합계약,8.0,155.0,0.0
A15080002,1156011100,461,19970829,개별난방,아파트,단일계약,8.0,74.0,477.0
A15004101,1156011100,167,20080118,개별난방,아파트,종합계약,14.0,23.0,148.0
A15004201,1156011200,536,19990126,중앙난방,아파트,단일계약,4.0,0.0,542.0
