kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A14019001,1117010100,226.0,19800722.0,개별난방,아파트,단일계약,5.0,120.0,0.0
A14070302,1117011200,559.0,20140217.0,개별난방,아파트,단일계약,13.0,0.0,922.0
A10023798,1117011200,752.0,20220428.0,개별난방,아파트,단일계약,12.0,0.0,423.0
A14006001,1117011400,176.0,20050411.0,개별난방,아파트,단일계약,8.0,70.0,126.0
A14004001,1117011500,289.0,20010222.0,개별난방,아파트,단일계약,4.0,80.0,162.0
A14004002,1117011500,1102.0,20010110.0,개별난방,아파트,단일계약,23.0,221.0,1081.0
A14076401,1117011500,363.0,20010110.0,개별난방,아파트,단일계약,5.0,162.0,162.0
A14005001,1117011600,170.0,20050818.0,개별난방,아파트,종합계약,6.0,22.0,512.0
A10023464,1117011600,27.0,20010726.0,개별난방,아파트,,,,
A14085002,1117011800,554.0,19770404.0,지역난방,아파트,단일계약,9.0,450.0,0.0
A14085101,1117011800,300.0,19991224.0,개별난방,아파트,단일계약,6.0,15.0,276.0
A14074101,1117011900,307.0,20100831.0,개별난방,아파트,단일계약,9.0,0.0,345.0
A10025533,1117011900,478.0,20190429.0,개별난방,아파트,단일계약,30.0,0.0,521.0
A10023858,1117011900,384.0,20220328.0,개별난방,아파트,종합계약,19.0,7.0,458.0
A10025898,1117011900,199.0,20180921.0,개별난방,아파트,단일계약,14.0,0.0,216.0
A14007002,1117012000,1458.0,20010803.0,개별난방,아파트,단일계약,39.0,552.0,1375.0
A14007001,1117012000,534.0,20010803.0,개별난방,아파트,단일계약,6.0,12.0,251.0
A14083101,1117012100,195.0,20110705.0,개별난방,아파트,종합계약,10.0,0.0,224.0
A14009001,1117012300,867.0,20110401.0,중앙난방,아파트,단일계약,21.0,0.0,1046.0
A10024333,1117012500,1086.0,20210305.0,개별난방,아파트,종합계약,14.0,0.0,687.0
A10025626,1117012800,98.0,20030930.0,개별난방,아파트,단일계약,2.0,5.0,120.0
A14074501,1117012800,144.0,20060915.0,개별난방,아파트,,,,
A10024691,1117012800,1140.0,20200820.0,지역난방,아파트,종합계약,26.0,0.0,2005.0
A14072701,1117012900,2036.0,19980918.0,지역난방,아파트,단일계약,48.0,379.0,1794.0
A14003002,1117012900,250.0,19741223.0,지역난방,아파트,단일계약,,270.0,0.0
A14003003,1117012900,252.0,19791217.0,지역난방,아파트,단일계약,6.0,234.0,0.0
A14003103,1117012900,653.0,19741209.0,지역난방,아파트,종합계약,16.0,637.0,0.0
A14003104,1117012900,244.0,20020430.0,지역난방,아파트,단일계약,8.0,6.0,602.0
A14003006,1117012900,499.0,19990531.0,지역난방,아파트,종합계약,22.0,57.0,482.0
A14003008,1117012900,660.0,19710322.0,지역난방,아파트,종합계약,,1000.0,0.0
A14003004,1117012900,309.0,20010602.0,지역난방,아파트,종합계약,9.0,79.0,396.0
A14085501,1117012900,516.0,19970307.0,지역난방,아파트,단일계약,13.0,107.0,272.0
A14090902,1117012900,638.0,19941129.0,지역난방,아파트,단일계약,12.0,214.0,251.0
A14003007,1117012900,656.0,20030428.0,지역난방,아파트,종합계약,20.0,125.0,1561.0
A14003101,1117012900,192.0,19770112.0,지역난방,아파트,종합계약,8.0,192.0,0.0
A14003001,1117012900,243.0,19951223.0,지역난방,아파트,종합계약,5.0,84.0,173.0
A14003105,1117012900,834.0,20000331.0,지역난방,아파트,단일계약,19.0,112.0,1050.0
A14003106,1117012900,1001.0,19980108.0,지역난방,아파트,단일계약,23.0,250.0,816.0
A14072901,1117012900,340.0,20010807.0,지역난방,아파트,종합계약,8.0,69.0,137.0
A14077401,1117012900,144.0,19740708.0,중앙난방,아파트,,,,
A10027908,1117012900,460.0,20150730.0,지역난방,아파트,종합계약,11.0,0.0,1249.0
A14072702,1117012900,834.0,19991101.0,지역난방,아파트,단일계약,19.0,131.0,703.0
A10023360,1117012900,70.0,19740404.0,중앙난방,아파트,,0.0,,
A14086001,1117013000,578.0,19820918.0,중앙난방,아파트,단일계약,20.0,395.0,0.0
A14086101,1117013000,400.0,19941231.0,중앙난방,아파트,종합계약,,258.0,272.0
A10027425,1117013000,130.0,19930424.0,개별난방,아파트,,,,
A14077902,1117013100,600.0,20110107.0,개별난방,아파트,종합계약,61.0,0.0,1717.0
A14077901,1117013100,283.0,20031002.0,개별난방,아파트,단일계약,15.0,0.0,470.0
A10027071,1117013100,280.0,20170308.0,개별난방,아파트,종합계약,4.0,0.0,189.0
A10024641,1117013100,122.0,20021227.0,개별난방,아파트,종합계약,4.0,0.0,490.0
A10025192,1117013100,341.0,20191113.0,개별난방,아파트,종합계약,55.0,0.0,1594.0
A10023379,1117013100,119.0,20010403.0,개별난방,아파트,종합계약,3.0,26.0,102.0
A14080901,1117013200,,20110509.0,개별난방,아파트,종합계약,,50.0,908.0
A14024001,1117013300,172.0,20021014.0,개별난방,아파트,단일계약,5.0,63.0,241.0
A14024002,1117013300,1326.0,19840628.0,지역난방,아파트,단일계약,51.0,2017.0,0.0
A14082601,1117013600,226.0,19920919.0,개별난방,아파트,단일계약,9.0,126.0,80.0
A14082302,1117013600,242.0,20001031.0,개별난방,아파트,단일계약,8.0,31.0,216.0
