,0
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,3
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,1
Elev_Num,1
Park_Above,1
Park_Below,1
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,1
Heating_Method,1
House_Type,0
Elec_Con,5
Elev_Num,4
Park_Above,4
Park_Below,4
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,5
Elev_Num,4
Park_Above,5
Park_Below,5
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,0
Elev_Num,0
Park_Above,0
Park_Below,0
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,3
Elev_Num,3
Park_Above,3
Park_Below,3
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,1
Heating_Method,1
House_Type,0
Elec_Con,12
Elev_Num,16
Park_Above,13
Park_Below,13
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,1
Heating_Method,1
House_Type,0
Elec_Con,6
Elev_Num,4
Park_Above,4
Park_Below,4
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,0
Elev_Num,0
Park_Above,0
Park_Below,0
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,4
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,2
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,3
Elev_Num,5
Park_Above,3
Park_Below,3
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,0
Elev_Num,0
Park_Above,0
Park_Below,0
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,4
Elev_Num,2
Park_Above,4
Park_Below,4
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,3
Elev_Num,3
Park_Above,1
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,1
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,7
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,1
Heating_Method,1
House_Type,0
Elec_Con,7
Elev_Num,6
Park_Above,5
Park_Below,5
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,1
Elev_Num,3
Park_Above,1
Park_Below,1
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,1
Elev_Num,2
Park_Above,1
Park_Below,1
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,3
Elev_Num,5
Park_Above,3
Park_Below,3
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,1
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,4
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,0
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,2
Elev_Num,5
Park_Above,2
Park_Below,2
kaptCode,0
bjdCode,0
Household_Num,1
Begin_Date,0
Heating_Method,0
House_Type,0
Elec_Con,5
Elev_Num,8
Park_Above,5
Park_Below,5
