,kaptCode,Complex_Name
0,A13203302,쌍문삼성래미안
1,A13203303,쌍문한양1차
2,A13295201,브라운스톤쌍문
3,A13286107,쌍문한양6차
4,A13287801,쌍문현대3차
5,A13286203,쌍문경남
6,A13286109,쌍문현대1차
7,A13203403,쌍문금호2차
8,A13286110,"쌍문한양2,3,4차"
9,A13287503,쌍문동익파크
10,A13203202,쌍문청구
11,A13286304,쌍문삼익
12,A13286106,쌍문성원
13,A13203408,쌍문금호1차아파트
14,A13286904,쌍문한양7차
15,A13203002,북한산코오롱하늘채
16,A13203102,쌍문극동
17,A13286105,쌍문한양5차
18,A13203001,쌍문동북한산월드메르디앙
19,A13203401,쌍문대우파크힐아파트
20,A13286002,쌍문현대2차
21,A10026175,쌍문염광아파트
22,A10024827,쌍문e-편한세상아파트
23,A10023732,에드가 쌍문 청년주택
24,A10023827,쌍문동 에덴아파트
25,A10023914,인히어쌍문아파트
26,A13285404,방학명품ESA1단지
27,A13202306,방학한화성원
28,A13285503,방학동양크레오
29,A13282510,방학우성2차
30,A13272101,방학명품ESA2단지
31,A13276416,방학우성1차
32,A13202302,방학극동아파트
33,A13285406,방학삼성래미안1단지
34,A13283405,방학벽산2차
35,A13202308,방학삼익세라믹
36,A13276414,방학신동아3단지
37,A13202102,방학성원
38,A13276415,방학청구
39,A13285507,방학4단지신동아
40,A13202103,방학삼성래미안2단지
41,A13202002,대상타운현대
42,A13285401,브라운스톤 방학아파트
43,A13202304,대원그린아파트
44,A13272102,방학동부센트레빌
45,A13283611,방학신동아2단지
46,A13276417,벽산1
47,A13202312,방학신동아1단지
48,A13285305,방학거성학마을
49,A13285601,방학신동아5단지
50,A10026856,신동아 타워 아파트
51,A10026279,방학금광포란재아파트
52,A10027555,방학동효성하이타운
53,A10024822,송학휴스테이아파트
54,A10024463,방학지음재힐스
55,A13204506,창동동아그린
56,A13204502,북한산한신휴플러스
57,A13204501,창동대동
58,A13204505,창동상아2차
59,A13290404,창동금호어울림
60,A13204503,창동현대
61,A13204402,창동현대4차아이파크
62,A13204510,창동북한산아이파크
63,A13292002,창동한신
64,A13204409,창동동아청솔
65,A13204508,창동주공2단지
66,A13204408,상계17단지
67,A13272201,창동대우그린아파트
68,A13204507,창동상아1차
69,A13204302,창동신창
70,A13204001,창동대림
71,A13204406,창동쌍용
72,A13204105,창동주공3단지
73,A13290105,창동주공18단지
74,A13290003,창동동아
75,A13290809,창동주공1단지
76,A13204204,창동대우
77,A13204002,창동신도브래뉴
78,A13290107,창동주공19단지
79,A13292701,창동성원
80,A13204201,창동금용
81,A13204103,창동삼성
82,A13204104,창동주공4단지
83,A13204301,초안산신도브래뉴
84,A13204205,창동태영데시앙
85,A13204203,창동건영캐스빌
86,A13204003,창동한승미메이드
87,A13275001,창동수산트리플아파트
88,A13292501,창동현대타운(주복)
89,A13204404,창동아이파크(창동2.3차현대)
90,A13201003,도봉중흥S클래스
91,A10026109,창동서울가든아파트
92,A10024782,창동한신아파트
93,A13201207,도봉삼환
94,A13201202,도봉파크빌3단지
95,A13201206,도봉동아에코빌
96,A13201201,도봉현대성우
97,A13201203,도봉극동아파트
98,A13275302,도봉서원제2
99,A13293505,도봉래미안
100,A13281802,도봉럭키
