code,date,elect,gas,heat,watercool,waterhot
A13203302,202201,,,,,
A13203303,202201,,,,,
A13295201,202201,,,,,
A13286107,202201,181980,0,0,12686,0
A13287801,202201,,,,,
A13286203,202201,65039,0,0,0,0
A13286109,202201,,,,,
A13203403,202201,,,,,
A13286110,202201,,,,,
A13287503,202201,,,,,
A13203202,202201,93478,0,0,4580,0
A13286304,202201,365692,0,0,21871,0
A13286106,202201,146272,0,0,0,0
A13203408,202201,,,,,
A13286904,202201,118729,0,0,0,0
A13203002,202201,,,,,
A13203102,202201,,,,,
A13286105,202201,115061,0,0,0,0
A13203401,202201,,,,,
A13286002,202201,,,,,
A10024827,202201,,,,,
A10023732,202201,,,,,
A10023827,202201,,,,,
A13285404,202201,,,,,
A13202306,202201,,,,,
A13285503,202201,,,,,
A13282510,202201,173514,0,0,11019,0
A13272101,202201,78726,3402,0,0,0
A13276416,202201,238394,0,0,13749,0
A13202302,202201,64621,0,0,0,0
A13285406,202201,,,,,
A13283405,202201,90367,0,0,0,0
A13202308,202201,,,,,
A13276414,202201,64468,0,0,7704,0
A13202102,202201,88320,0,0,4534,0
A13276415,202201,295514,0,0,19206,0
A13285507,202201,101329,0,0,0,0
A13202103,202201,,,,,
A13202002,202201,,,,,
A13285401,202201,,,,,
A13202304,202201,,,,,
A13272102,202201,94530,0,0,5249,0
A13283611,202201,,,,,
A13276417,202201,,,,,
A13202312,202201,976307,0,0,52512,0
A13285305,202201,100723,0,0,0,0
A13285601,202201,,,,,
A10026279,202201,,,,,
A10027555,202201,,,,,
A10024822,202201,33061,0,0,0,2182
A10024463,202201,,,,,
A13204506,202201,,,,,
A13204502,202201,,,,,
A13204501,202201,56124,0,0,3543,0
A13204505,202201,96024,0,0,0,0
A13290404,202201,,,,,
A13204402,202201,66626,2960,0,4724,0
A13204510,202201,,,,,
A13292002,202201,69764,0,0,4117,0
A13204409,202201,536149,0,2305,0,14348
A13204508,202201,,,,,
A13204408,202201,299617,0,0,0,6963
A13272201,202201,154541,0,0,7091,0
A13204507,202201,179019,0,0,9522,7669
A13204302,202201,,,,,
A13204001,202201,61942,0,0,7530,0
A13204406,202201,,,,,
A13204105,202201,624310,0,131063,0,15452
A13290105,202201,185901,0,34073,0,3890
A13290003,202201,,,,,
A13290809,202201,,,,,
A13204204,202201,260260,0,0,17976,0
A13204002,202201,,,,,
A13290107,202201,466907,0,69282,0,10700
A13292701,202201,,,,,
A13204201,202201,55655,0,0,0,0
A13204103,202201,604422,0,102231,35598,13831
A13204104,202201,303776,0,0,16633,4805
A13204301,202201,,,,,
A13204205,202201,387079,0,0,17660,0
A13204203,202201,100186,0,0,5922,0
A13292501,202201,,,,,
A13204404,202201,,,,,
A13201003,202201,,,,,
A13201207,202201,,,,,
A13201202,202201,65253,0,0,3812,0
A13201206,202201,,,,,
A13201201,202201,54066,0,0,3698,0
A13201203,202201,,,,,
A13275302,202201,,,,,
A13293505,202201,135302,0,0,7455,0
A13281802,202201,430250,0,0,21913,0
A13281201,202201,,,,,
A13201208,202201,527098,0,106754,0,9211
A13275301,202201,,,,,
A13201209,202201,,,,,
A13201001,202201,,,,,
A13201002,202201,,,,,
A13280104,202201,,,,,
A10027136,202201,41873,1765,0,2881,0
A13203302,202202,,,,,
A13203303,202202,204188,0,0,9960,0
A13295201,202202,,,,,
A13286107,202202,172222,0,0,14098,0
A13287801,202202,,,,,
A13286203,202202,64308,0,0,0,0
A13286109,202202,245332,0,0,0,0
A13203403,202202,,,,,
A13286110,202202,341220,0,0,23138,0
A13287503,202202,145438,4950,0,0,0
A13203202,202202,,,,,
A13286304,202202,,,,,
A13286106,202202,,,,,
A13203408,202202,171459,0,0,0,0
A13286904,202202,121239,0,0,0,0
A13203002,202202,,,,,
A13286105,202202,,,,,
A13203401,202202,63327,0,0,7365,0
A13286002,202202,73930,0,0,3705,0
A10023732,202202,,,,,
A10023914,202202,,,,,
A13285404,202202,94758,0,0,0,0
A13202306,202202,,,,,
A13285503,202202,60709,0,0,4009,0
A13282510,202202,,,,,
A13272101,202202,,,,,
A13276416,202202,,,,,
A13202302,202202,65116,0,0,0,0
A13285406,202202,,,,,
A13283405,202202,86906,0,0,0,0
A13202308,202202,118183,0,0,0,0
A13276414,202202,,,,,
A13202102,202202,,,,,
A13276415,202202,291961,12092,0,18767,0
A13285507,202202,90911,0,0,0,0
A13202103,202202,82854,0,0,4888,0
A13202002,202202,,,,,
A13285401,202202,53944,0,1753,3082,0
A13202304,202202,45399,0,0,0,0
A13272102,202202,,,,,
A13283611,202202,,,,,
A13276417,202202,123226,4918,0,0,0
A13202312,202202,961139,0,0,47663,0
A13285305,202202,,,,,
A10026856,202202,,,,,
A10026279,202202,,,,,
A10024822,202202,32332,0,0,0,2391
A10024463,202202,49490,0,0,2262,0
A13204506,202202,124096,0,0,7709,0
A13204502,202202,,,,,
A13204501,202202,49955,0,0,3053,0
A13204505,202202,,,,,
A13290404,202202,,,,,
A13204503,202202,,,,,
A13204402,202202,59144,2719,0,4032,0
A13204510,202202,675108,0,0,38861,0
A13292002,202202,,,,,
A13204409,202202,556222,0,1805,0,13229
A13204508,202202,,,,,
A13204408,202202,285625,0,0,0,9433
A13272201,202202,,,,,
A13204507,202202,176892,0,0,11374,6697
A13204302,202202,,,,,
A13204001,202202,63002,0,0,0,0
A13204406,202202,,,,,
A13204105,202202,598939,0,146592,0,18604
A13290105,202202,,,,,
A13290003,202202,,,,,
A13290809,202202,,,,,
A13204204,202202,,,,,
A13204002,202202,132737,5572,0,8316,0
A13292701,202202,56031,2257,0,7429,0
A13204201,202202,,,,,
A13204103,202202,608337,0,86534,31808,12347
A13204104,202202,,,,,
A13204301,202202,,,,,
A13204205,202202,,,,,
A13204203,202202,88501,0,0,5939,0
A13204003,202202,,,,,
A13292501,202202,,,,,
A13204404,202202,,,,,
A10026109,202202,,,,,
A13201207,202202,,,,,
A13201202,202202,57175,0,0,3281,0
A13201206,202202,199781,0,0,9195,0
A13201201,202202,55433,0,0,3667,0
A13201203,202202,62543,0,0,0,0
A13275302,202202,101342,0,0,0,1819
A13293505,202202,,,,,
A13281802,202202,,,,,
A13281201,202202,95683,0,0,5015,0
A13201208,202202,,,,,
A13201209,202202,1012443,682,0,49544,0
A13201001,202202,34004,0,0,1986,0
A13201002,202202,,,,,
A13280104,202202,81953,0,0,0,0
A10027136,202202,,,,,
A10026714,202202,,,,,
A13203302,202203,112666,0,0,6572,0
A13203303,202203,177713,0,0,12362,0
A13295201,202203,59964,0,0,5295,0
A13286107,202203,153442,0,0,13640,0
A13287801,202203,94907,0,0,4900,0
A13286203,202203,54605,2067,0,0,0
A13286109,202203,212593,0,0,0,0
A13203403,202203,98184,5163,0,6358,0
A13286110,202203,,,,,
A13287503,202203,,,,,
A13203202,202203,,,,,
A13286304,202203,,,,,
A13203408,202203,,,,,
A13286904,202203,,,,,
A13203002,202203,89382,0,0,4513,0
A13203102,202203,,,,,
A13286105,202203,,,,,
A13203001,202203,,,,,
A13203401,202203,,,,,
A13286002,202203,,,,,
A10026175,202203,,,,,
A10024827,202203,,,,,
A10023914,202203,,,,,
A13285404,202203,100607,0,0,11953,0
A13202306,202203,,,,,
A13285503,202203,52824,0,0,4756,0
A13282510,202203,151630,0,0,10312,0
A13272101,202203,71514,3223,0,8653,0
A13276416,202203,205265,0,0,13157,0
A13202302,202203,56552,0,0,0,0
A13285406,202203,200590,0,0,12675,0
A13283405,202203,77227,0,0,0,0
A13202308,202203,,,,,
A13202102,202203,76694,0,0,3964,0
A13276415,202203,254499,0,0,23362,0
A13285507,202203,96097,0,0,0,0
A13202103,202203,,,,,
A13202002,202203,382267,0,0,0,0
A13285401,202203,,,,,
A13202304,202203,39140,0,0,0,0
A13272102,202203,,,,,
A13283611,202203,,,,,
A13276417,202203,106620,5388,0,0,0
