code,date,elect,gas,heat,watercool,waterhot
A10026147,202201,46099,5719,0,940,0
A13007002,202201,100374,0,0,4668,0
A13070302,202201,69374,0,0,3011,0
A13007004,202201,253840,0,0,13121,0
A10028080,202201,103684,0,0,5649,0
A13070301,202201,286542,0,0,16299,0
A13007001,202201,155394,0,0,6883,0
A10027274,202201,48701,0,0,2136,0
A10024042,202201,160101,0,0,0,0
A13006001,202201,83495,0,0,0,0
A13086101,202201,209523,0,0,13532,0
A13006101,202201,305383,0,0,19756,0
A13006003,202201,113268,0,0,5439,0
A13006002,202201,100961,0,0,4583,0
A13077201,202201,49943,0,0,2983,0
A13084802,202201,162890,0,0,8152,0
A13084803,202201,356369,0,0,0,0
A13071302,202201,802176,0,0,46419,0
A13002002,202201,261705,0,0,14183,0
A13084804,202201,554712,0,0,32889,0
A13085901,202201,97749,0,0,0,0
A13071301,202201,36765,0,0,0,0
A13085902,202201,106252,0,0,5881,0
A13085301,202201,183587,0,0,8775,0
A10026180,202201,185005,0,0,11658,0
A13075402,202201,158724,0,0,8327,0
A13003406,202201,228593,8963,0,13899,0
A13080801,202201,71271,0,0,4893,0
A13003202,202201,328127,0,0,21096,0
A13003201,202201,226425,0,0,15423,0
A13075404,202201,112764,0,0,2556,0
A13080702,202201,79615,0,0,0,0
A13075405,202201,62605,0,0,3376,0
A13003005,202201,238103,0,0,13367,0
A13003002,202201,131560,0,0,0,0
A13003402,202201,94356,0,0,7941,0
A13003405,202201,132363,0,0,0,0
A13003003,202201,148492,0,0,9351,0
A10026232,202201,336091,0,0,16948,0
A10025754,202201,321335,0,0,11916,0
A13003007,202201,919171,0,0,47595,0
A10026104,202201,239396,0,0,11101,0
A13010004,202201,272691,0,0,17770,0
A13084701,202201,91392,0,0,0,0
A13010002,202201,136116,0,0,0,0
A13078701,202201,55062,0,0,2916,0
A13010005,202201,591452,0,0,37260,0
A13084101,202201,185965,0,0,11784,0
A13010001,202201,61373,0,0,3811,0
A10027877,202201,31757,0,0,2591,0
A10025227,202201,155332,0,0,7957,0
A13086703,202201,107186,0,0,7613,0
A13086704,202201,289904,0,0,17328,0
A13086705,202201,345877,0,0,0,4866
A13086701,202201,61956,0,0,0,1465
A13071201,202201,28481,0,0,1973,0
A13070101,202201,71154,0,0,3408,0
A13087201,202201,173798,0,0,0,0
A13009001,202201,148307,0,0,0,0
A13009206,202201,141392,0,0,8855,0
A13009202,202201,74748,0,0,4298,0
A13077703,202201,73631,0,0,4447,0
A13009101,202201,95048,0,0,4426,0
A13087405,202201,102713,0,0,7067,0
A13087401,202201,48329,0,0,0,0
A13078301,202201,105463,0,0,5402,0
A13009002,202201,405815,0,0,25359,0
A13087407,202201,221795,0,0,11948,0
A13009003,202201,138833,0,0,8037,0
A10025410,202201,275547,0,0,13790,0
A10024244,202201,12681,0,0,0,0
A10024082,202201,68212,0,0,2161,0
A10025015,202201,94185,0,0,4626,0
A13082702,202201,162575,0,0,10590,0
A13082703,202201,215204,0,0,10187,0
A13076801,202201,128293,0,0,7545,0
A13082502,202201,115122,0,0,5819,0
A13083102,202201,190183,0,0,11731,0
A13079401,202201,38583,0,0,2068,0
A13082704,202201,483070,0,0,21530,0
A13008001,202201,54979,0,0,0,0
A13079402,202201,31578,0,0,1968,0
A13079403,202201,42751,0,0,2303,0
A13082805,202201,560985,0,0,27237,0
A13082501,202201,105994,0,0,6534,0
A10026147,202202,37507,4492,0,868,0
A13007002,202202,91008,0,0,4680,0
A13070302,202202,59999,0,0,3059,0
A13007004,202202,227939,0,0,14299,0
A10028080,202202,103664,0,0,4999,0
A13070301,202202,257934,0,0,16093,0
A13007001,202202,151228,0,0,6878,0
A10027274,202202,49152,0,0,1998,0
A10024042,202202,172306,0,0,0,0
A13006001,202202,82768,0,0,6908,0
A13086101,202202,188010,0,0,11989,0
A13006101,202202,306267,0,0,18606,0
A13006003,202202,114173,0,0,5600,0
A13006002,202202,99286,0,2842,4546,0
A13077201,202202,53213,0,0,3363,0
A13084802,202202,165291,0,0,7795,0
A13084803,202202,338057,0,0,0,0
A13071302,202202,787584,0,0,47725,0
A13002002,202202,235918,0,0,12853,0
A13084804,202202,560354,0,0,30687,0
A13085901,202202,88401,0,3431,0,0
A13071301,202202,38240,0,0,0,0
A13085902,202202,93257,0,0,5328,0
A13085301,202202,180661,0,0,9244,0
A10026180,202202,164242,5240,0,9423,0
A13075402,202202,147117,0,0,8547,0
A13003406,202202,228325,7875,0,14599,0
A13080801,202202,71608,0,0,4963,0
A13003202,202202,337926,0,0,19235,0
A13003201,202202,206403,0,0,14823,0
A13075404,202202,114260,0,0,5030,0
A13080201,202202,87780,0,0,5027,0
A13080702,202202,78416,0,0,0,0
A13075405,202202,56455,0,0,3042,0
A13003005,202202,227202,0,0,13305,0
A13003002,202202,118427,0,0,0,0
A13003402,202202,97519,0,0,0,0
A13003405,202202,118265,0,0,0,0
A13003003,202202,133262,0,0,8512,0
A10026232,202202,348975,0,0,17579,0
A10025754,202202,289209,0,0,11123,0
A13003007,202202,876187,0,0,47863,0
A10026104,202202,240985,0,6510,11350,0
A13010006,202202,652782,0,0,41256,27154
A13010004,202202,243340,0,0,17434,0
A13084701,202202,79330,0,0,0,0
A13010002,202202,140106,0,0,841331,0
A13010003,202202,137238,0,0,0,2628
A13078701,202202,49335,0,0,2260,0
A13010005,202202,552938,0,0,35636,0
A13084101,202202,186712,0,0,10413,0
A13010001,202202,62453,0,0,3940,0
A10027877,202202,32181,0,0,538,0
A10025227,202202,139016,0,0,7183,0
A13086703,202202,114308,0,0,7564,0
A13086704,202202,288218,0,0,17744,0
A13086705,202202,345677,0,0,36107,6039
A13086701,202202,65427,0,0,0,1279
A13071201,202202,28481,0,0,1973,0
A13070101,202202,63482,0,0,3004,0
A13087201,202202,191822,0,0,0,0
A13009001,202202,149614,0,4543,15391,0
A13009206,202202,142410,0,0,9609,0
A13009202,202202,66624,0,0,3789,0
A13077703,202202,73478,0,0,4479,0
A13009101,202202,98259,0,0,4453,0
A13087405,202202,103601,0,0,7132,0
A13087401,202202,48291,0,0,0,0
A13078301,202202,95231,0,0,4940,0
A13009002,202202,366773,0,0,24403,0
A13087407,202202,232023,0,0,10052,0
A13009003,202202,122653,0,0,7041,0
A10024244,202202,12593,0,0,1565,0
A10024082,202202,62793,0,0,2261,0
A10025015,202202,83388,0,0,4656,0
A13082702,202202,145135,0,0,10595,0
A13082703,202202,214726,0,0,11475,0
A13076801,202202,130831,0,0,6665,0
A13082502,202202,115915,0,0,5764,0
A13083102,202202,183987,0,0,11364,0
A13079401,202202,38176,0,0,2067,0
A13082704,202202,482481,0,0,22403,0
A13008001,202202,49141,0,0,6365,0
A13079402,202202,34482,0,0,1962,0
A13079403,202202,44981,0,0,1753,0
A13082805,202202,558335,0,0,27419,0
A13082501,202202,105994,0,0,6534,0
A10026147,202203,37502,2827,0,863,0
A13007002,202203,98333,0,0,4224,0
A13070302,202203,60821,0,0,2695,0
A13007004,202203,238399,0,0,12648,0
A10028080,202203,92117,0,0,5772,0
A13070301,202203,278691,0,0,15186,0
A13007001,202203,147569,0,0,6848,0
A10027274,202203,44090,0,0,2007,0
A10024042,202203,199117,0,0,0,0
A13006001,202203,71199,0,0,0,0
A13086101,202203,196739,0,0,13384,0
A13006101,202203,271529,0,0,20053,0
A13006003,202203,100794,0,0,5059,0
A13006002,202203,88481,0,0,4602,0
A13077201,202203,45177,0,0,2915,0
A13084802,202203,143045,0,0,12159,0
A13084803,202203,336245,0,0,0,0
A13071302,202203,713864,0,0,40341,0
A13002002,202203,253344,0,0,14295,0
A13084804,202203,518207,0,0,32854,0
A13085901,202203,92801,0,0,0,0
A13071301,202203,34743,0,0,0,0
A13085902,202203,99132,0,0,5961,0
A13085301,202203,157195,0,0,9204,0
A10026180,202203,175977,0,0,10860,0
A13075402,202203,134734,0,0,7711,0
A13003406,202203,201456,0,0,13578,0
A13080801,202203,62639,2881,0,5167,0
A13003202,202203,312832,0,0,21107,0
A13003201,202203,209598,0,0,15737,0
A13075404,202203,96497,0,0,5030,0
A13080702,202203,68966,0,0,0,0
A13075405,202203,51773,0,0,3423,0
A13003005,202203,214199,0,0,13713,0
A13003002,202203,123633,0,0,0,0
A13003402,202203,84325,0,0,8191,0
A13003003,202203,144263,0,0,9257,0
A10026232,202203,304730,0,0,15733,0
A10025754,202203,297497,0,0,11761,0
A13003007,202203,840406,0,0,43967,0
A10026104,202203,219691,0,0,10932,0
A10023891,202203,53666,0,0,0,0
A13010006,202203,688014,0,0,43509,29192
A13010004,202203,257501,0,0,15930,0
A13084701,202203,84368,0,0,0,0
A13010002,202203,124456,0,0,0,0
A13078701,202203,52315,0,0,2701,0
A13010005,202203,508622,0,0,32926,0
A13084101,202203,168692,0,0,11613,0
A13010001,202203,54505,0,0,3669,0
A10027877,202203,28460,0,0,2615,0
A10025227,202203,149611,0,0,7932,0
A13086703,202203,114027,0,0,7565,0
A13086704,202203,251764,0,0,15148,0
A13086705,202203,301586,0,0,0,4664
A13086701,202203,58479,0,0,0,1136
A13071201,202203,25456,0,0,1085,0
A13070101,202203,66782,0,0,3301,0
A13087201,202203,166882,0,0,0,0
A13009001,202203,131506,0,0,0,0
A13009206,202203,129047,0,0,7233,0
A13009202,202203,70779,0,0,4257,0
A13009101,202203,87775,0,0,4006,0
A13087405,202203,91024,0,0,6294,0
A13087401,202203,42706,0,0,0,0
A13078301,202203,101261,0,0,5493,0
A13009002,202203,386835,0,0,24757,0
A13077702,202203,85599,0,4010,5415,0
A13087407,202203,209249,0,6128,11131,0
A13009003,202203,129556,0,0,8089,0
A10025410,202203,246881,0,0,12481,0
A10024244,202203,12100,0,0,0,0
A10024082,202203,59790,0,0,2320,0
A10025015,202203,88208,0,0,4248,0
A13082702,202203,153237,0,0,9294,0
A13082703,202203,188523,7031,0,9006,0
A13076801,202203,113125,0,0,7277,0
A13082502,202203,117377,0,0,6119,0
A13083102,202203,185947,0,0,12079,0
A13079401,202203,33068,0,0,2104,0
A13082704,202203,425132,0,0,23323,0
A13008001,202203,53415,0,0,0,0
A13079402,202203,34288,0,0,1843,0
A13079403,202203,38865,0,0,2267,0
A13082805,202203,489837,0,0,25153,0
A13082501,202203,92594,0,0,5679,0
A10026147,202204,35839,1256,0,1118,0
A13007002,202204,89288,0,0,4726,0
A13070302,202204,56152,0,0,2909,0
A13007004,202204,214954,0,0,14060,0
A10028080,202204,96732,0,0,5342,0
A13070301,202204,251928,0,0,15682,0
A13007001,202204,131226,0,0,6677,0
A10027274,202204,46756,0,0,2109,0
A10024042,202204,187873,0,0,10637,0
A13006001,202204,69806,0,0,5811,0
A13086101,202204,175478,0,0,12641,0
A13006101,202204,281436,0,0,18118,0
A13006003,202204,106016,0,0,5536,0
A13006002,202204,91167,0,0,4762,0
A13077201,202204,45739,0,0,3264,0
A13084802,202204,150284,0,0,9537,0
A13084803,202204,299425,0,0,0,0
A13071302,202204,766526,0,0,41949,0
A13002002,202204,228899,0,0,13462,0
A13084804,202204,532299,0,0,32147,0
A13085901,202204,83632,0,0,0,0
A13071301,202204,37125,0,0,0,0
A13085902,202204,88364,0,0,5725,0
A13085301,202204,160412,0,0,8208,0
A10026180,202204,160247,0,0,10525,0
A13075402,202204,139357,0,0,8504,0
A13003406,202204,207621,0,0,14906,0
A13080801,202204,64697,0,0,4543,0
A13003202,202204,309555,0,0,20771,0
A13003201,202204,191753,0,0,15788,0
A13075404,202204,102408,0,0,5731,0
A13080702,202204,70460,0,0,0,0
A13075405,202204,53692,0,0,3219,0
A13003005,202204,222231,0,0,12847,0
A13003002,202204,111146,0,0,0,0
A13003402,202204,89683,0,0,0,0
A13003405,202204,113675,0,0,0,0
A13003003,202204,129846,0,0,8901,0
A10026232,202204,322765,0,0,17365,0
A10025754,202204,269091,0,0,12127,0
A13003007,202204,867767,0,0,47307,0
A10026104,202204,236442,0,0,10800,0
A10023891,202204,85836,0,0,7098,0
A13010004,202204,231264,0,0,17473,0
A13084701,202204,76866,0,0,0,0
A13010002,202204,128426,0,0,10607,0
A13078701,202204,46778,0,0,2653,0
A13010005,202204,514607,0,0,35622,0
A13084101,202204,177459,0,0,11288,0
A13010001,202204,58618,0,0,3754,0
A10027877,202204,29376,0,0,552,0
A10025227,202204,133921,0,0,7976,0
A13086703,202204,100146,0,0,6022,0
A13086704,202204,262245,0,0,17080,0
A13086705,202204,302956,0,0,35303,5188
A13086701,202204,59402,0,0,0,1064
A13071201,202204,26252,0,0,1601,0
A13070101,202204,60222,0,0,3244,0
A13087201,202204,173853,0,0,0,0
A10023539,202204,32433,0,0,3011,0
A13009001,202204,134779,0,0,15825,0
A13009206,202204,128618,0,0,7263,0
A13009202,202204,64262,0,0,4159,0
A13077703,202204,68005,0,0,4546,0
A13009101,202204,92509,0,0,4497,0
A13087405,202204,93667,0,0,7167,0
A13087401,202204,43225,0,0,0,0
A13078301,202204,91970,0,0,5377,0
A13087407,202204,218015,0,0,11038,0
A13009003,202204,117619,0,0,7831,0
A10025410,202204,258544,0,0,13938,0
A10024244,202204,13144,0,0,1583,0
A10024082,202204,52556,0,0,2534,0
A10025015,202204,79578,0,0,4603,0
A13082702,202204,135641,0,0,10539,0
A13082703,202204,195289,0,0,10691,0
A13076801,202204,115743,0,0,7020,0
A13082502,202204,87709,0,0,5492,0
A13083102,202204,168136,0,0,11825,0
A13079401,202204,35630,0,0,2178,0
A13082704,202204,439516,0,0,22872,0
A13008001,202204,48149,0,0,6666,0
A13079402,202204,29321,0,0,1982,0
A13079403,202204,39367,0,0,1997,0
A13082805,202204,509322,0,0,28667,0
A13082501,202204,95739,0,0,6553,0
A10026147,202205,41690,1216,0,989,0
A13007002,202205,93990,0,0,4566,0
A13070302,202205,57860,0,0,2773,0
A13007004,202205,215933,0,0,14060,0
A10028080,202205,88670,0,0,5552,0
A13070301,202205,255207,0,0,15822,0
A13007001,202205,133459,0,0,6858,0
A10027274,202205,44387,0,0,2090,0
A10024042,202205,195541,0,0,10240,0
A13006001,202205,62420,0,0,0,0
A13086101,202205,177870,0,0,13634,0
A13006101,202205,255005,0,0,20184,0
A13006003,202205,78003,0,0,5450,0
A13006002,202205,81573,0,0,4657,0
A13077201,202205,43612,0,0,3238,0
A13084802,202205,138424,0,0,9924,0
A13084803,202205,312240,0,0,0,0
A13071302,202205,679834,0,0,44959,0
A13002002,202205,229446,0,0,13967,0
A13084804,202205,476077,0,0,32597,0
A13085901,202205,82992,0,0,0,0
A13071301,202205,35094,0,0,0,0
A13085902,202205,92308,0,0,5902,0
A13085301,202205,145696,0,0,9691,0
A10026180,202205,165664,0,0,10680,0
A13075402,202205,128117,0,0,8141,0
A13003406,202205,187191,0,0,14091,0
A13080801,202205,57813,0,0,5047,0
A13003202,202205,288587,0,0,20940,0
A13003201,202205,191753,0,0,15788,0
A13075404,202205,92863,0,0,5731,0
A13080702,202205,63477,0,0,0,0
A13075405,202205,50218,0,0,3521,0
A13003005,202205,210618,0,0,12512,0
A13003002,202205,110005,0,0,0,0
A13003402,202205,81230,0,0,8441,0
A13003405,202205,114775,0,0,0,0
A13003003,202205,130644,0,0,9372,0
A10026232,202205,291477,0,0,16608,0
A10025754,202205,272919,0,0,12435,0
A13003007,202205,782830,0,0,46126,0
A10026104,202205,209587,0,0,11274,0
A10023891,202205,78960,0,0,0,0
A13010004,202205,237616,0,0,16644,0
A13084701,202205,74255,0,0,0,0
A13010002,202205,116375,0,0,0,0
A13078701,202205,46942,0,0,2714,0
A13010005,202205,497455,0,0,36096,0
A13084101,202205,159433,0,0,11820,0
A13010001,202205,53487,0,0,4007,0
A10027877,202205,28404,0,0,2716,0
A10025227,202205,136709,0,0,7938,0
A13086703,202205,104451,0,0,6894,0
A13086704,202205,234603,0,0,16880,0
A13086705,202205,270812,0,0,0,3996
A13086701,202205,63658,0,0,0,838
A13071201,202205,24261,0,0,1607,0
A13070101,202205,61082,0,0,3321,0
A13087201,202205,153697,0,0,0,0
A10023539,202205,30711,0,0,0,0
A13009001,202205,120878,0,0,0,0
A13009206,202205,119873,0,0,10057,0
A13009202,202205,64455,0,0,4213,0
A13077703,202205,61497,0,0,4299,0
A13009101,202205,83097,0,0,4288,0
A13087405,202205,82824,0,0,6918,0
A13087401,202205,38416,0,0,0,0
A13078301,202205,93419,0,0,5539,0
A13009002,202205,347905,0,0,26143,0
A13087407,202205,194722,0,0,11068,0
A13009003,202205,118984,0,0,7940,0
A10025410,202205,230997,0,0,13561,0
A10024244,202205,11935,0,0,0,0
A10024082,202205,58487,0,0,2568,0
A10025015,202205,80418,0,0,4423,0
A13082702,202205,135371,0,0,10190,0
A13082703,202205,178338,0,0,10218,0
A13076801,202205,105887,0,0,7350,0
A13082502,202205,98309,0,0,6162,0
A13083102,202205,167009,0,0,12030,0
A13082704,202205,406272,0,0,23435,0
A13008001,202205,47603,0,0,0,0
A13079403,202205,36073,0,0,2260,0
A13082805,202205,466028,0,0,27071,0
A13082501,202205,86310,0,0,6307,0
A10026147,202206,54823,930,0,968,0
A13007002,202206,110373,0,0,4696,0
A13070302,202206,67912,0,0,2997,0
A13007004,202206,232835,0,0,13681,0
A10028080,202206,93388,0,0,5548,0
A13070301,202206,280085,0,0,16056,0
A13007001,202206,142496,0,0,6620,0
A10027274,202206,49736,0,0,2169,0
A10024042,202206,226233,0,0,10978,0
A13006001,202206,63292,0,0,6764,0
A13086101,202206,189421,0,0,13271,0
A13006101,202206,265624,0,0,20105,0
A13006003,202206,101087,0,0,5550,0
A13006002,202206,83559,0,0,4802,0
A13077201,202206,46548,0,0,3327,0
A13084802,202206,142477,0,0,10031,0
A13084803,202206,330331,0,0,0,0
A13071302,202206,686875,0,0,45621,0
A13002002,202206,249752,0,0,13741,0
A13084804,202206,476556,0,0,33571,0
A13085901,202206,91254,0,0,0,0
A13071301,202206,36155,0,0,0,0
A13085902,202206,110269,0,0,5930,0
A13085301,202206,151554,0,0,8991,0
A10026180,202206,216040,0,0,10539,0
A13075402,202206,132348,0,0,8604,0
A13003406,202206,192813,0,0,15214,0
A13080801,202206,59733,0,0,4871,0
A13003202,202206,287023,0,0,21275,0
A13003201,202206,198769,0,0,15386,0
A13075404,202206,93172,0,0,5451,0
A13080702,202206,66723,0,0,0,0
A13075405,202206,52358,0,0,3506,0
A13003005,202206,210607,0,0,13381,0
A13003002,202206,118277,0,0,0,0
A13003402,202206,84556,0,0,0,0
A13003405,202206,123502,0,0,0,0
A13003003,202206,140715,0,0,9251,0
A10026232,202206,301561,0,0,17543,0
A10025754,202206,303153,0,0,12479,0
A13003007,202206,788640,0,0,48199,0
A10026104,202206,213217,0,0,11050,0
A10023891,202206,90718,0,0,17772,0
A13010004,202206,296386,0,0,17661,0
A13084701,202206,86573,0,0,0,0
A13010002,202206,121099,0,0,11126,0
A13078701,202206,53325,0,0,2564,0
A13010005,202206,502232,0,0,35933,0
A13084101,202206,161421,0,0,11766,0
A13010001,202206,54452,0,0,3959,0
A10027877,202206,32854,0,0,526,0
A10025227,202206,152850,0,0,8138,0
A13086703,202206,96908,0,0,6814,0
A13086704,202206,248826,0,0,17665,0
A13086705,202206,269809,0,0,38026,3892
A13086701,202206,89883,0,0,0,684
A13071201,202206,24453,0,0,1692,0
