code,date,elect,gas,heat,watercool,waterhot
A15605103,202201,471280,0,0,32242,9718
A15605002,202201,267244,0,0,0,5699
A15605003,202201,102169,0,0,5396,0
A15605001,202201,46548,0,0,2787,0
A15603205,202201,226895,0,0,14469,5993
A10023966,202201,53553,0,0,3107,0
A10024524,202201,28409,0,0,3197,0
A15603401,202201,61880,0,0,4198,0
A15603002,202201,133591,0,0,6740,0
A15603008,202201,336247,0,0,17002,0
A15603003,202201,136593,0,0,6444,0
A15683601,202201,83236,0,0,0,0
A15603004,202201,170420,0,0,10846,0
A15603206,202201,498193,0,0,23858,0
A15603502,202201,37817,0,0,0,0
A15603006,202201,524278,0,0,29974,0
A15671801,202201,64446,2366,0,3403,0
A15683901,202201,117880,0,0,14029,0
A15678101,202201,71586,0,0,0,0
A15683402,202201,184386,0,0,10562,0
A15603204,202201,152233,0,0,0,0
A15678103,202201,575038,0,0,30078,0
A15603001,202201,57974,0,0,3222,0
A15603203,202201,124549,0,0,7649,0
A15603007,202201,31090,0,0,1766,0
A15678102,202201,174148,0,0,7726,4203
A10027472,202201,84602,0,0,3609,0
A10027633,202201,250917,0,0,12358,0
A10027614,202201,46836,0,0,0,0
A10025768,202201,285450,0,0,14116,0
A10027424,202201,150177,0,0,8773,0
A10024365,202201,305794,0,0,14354,0
A15606006,202201,36779,0,0,1302,0
A15606002,202201,106596,0,0,0,0
A15606007,202201,251889,0,0,9419,0
A15606001,202201,71995,0,0,4079,2685
A15605102,202201,76387,0,0,4780,0
A15676702,202201,32643,0,0,1894,0
A15606003,202201,203046,0,0,9902,0
A15606005,202201,42009,0,0,2605,0
A15679103,202201,62915,0,0,3532,2647
A15679109,202201,357691,0,0,16661,0
A15679104,202201,71314,0,0,0,0
A15679108,202201,329446,0,0,15747,0
A15607001,202201,125570,0,0,0,0
A15679105,202201,292056,0,0,13556,3520
A15685702,202201,251730,0,0,11369,4397
A15679107,202201,322723,0,0,11622,0
A15679106,202201,79679,0,0,7084,0
A10025770,202201,353530,0,0,18561,0
A10025867,202201,176911,0,0,8631,0
A15608002,202201,4771302,0,0,675310,0
A15608003,202201,272902,0,0,12772,0
A15608001,202201,58051,0,0,0,0
A15609305,202201,152499,0,0,8940,0
A15609003,202201,146159,0,0,8851,0
A15681802,202201,71593,0,0,0,0
A15677204,202201,222051,0,38453,10619,4059
A15609502,202201,214335,0,0,11989,0
A15609303,202201,93291,0,0,0,0
A15609001,202201,77109,0,0,0,0
A15681501,202201,197784,0,0,11774,3611
A15609401,202201,57923,0,0,3593,0
A15609002,202201,59651,0,0,7857,0
A15681503,202201,401320,0,117648,18316,8953
A15609005,202201,362243,0,1519953,0,6782
A15681502,202201,260441,0,0,18370,5004
A15609301,202201,72759,0,0,0,0
A15677501,202201,160656,0,0,8537,0
A15609501,202201,89701,0,0,0,0
A15609006,202201,124295,0,10923,4843,1748
A15609007,202201,206136,0,0,17019,0
A15609306,202201,291131,0,0,32635,0
A10026299,202201,239362,0,0,23547,0
A10024811,202201,39609,0,0,5002,0
A10025013,202201,292836,0,0,14734,0
A10024245,202201,162238,0,0,7380,0
A15681103,202201,77542,0,0,0,0
A15681106,202201,148342,0,0,0,0
A15681104,202201,75874,0,0,5115,0
A15602007,202201,195557,0,0,12355,0
A15602002,202201,60925,2006,0,0,0
A15676512,202201,49639,0,72841,0,3491
