code,date,elect,gas,heat,watercool,waterhot
A14272304,202201,1126187,0,0,70917,0
A14272303,202201,129532,0,0,8231,0
A14282301,202201,68814,0,0,3791,0
A14272311,202201,270692,0,0,14330,0
A14272313,202201,120413,0,0,5916,0
A14210002,202201,436370,0,0,28039,0
A14272314,202201,661088,0,0,25565,0
A10024034,202201,50437,0,0,1558,0
A14206307,202201,107649,0,0,6606,0
A14206306,202201,104871,0,0,5436,0
A14270301,202201,105753,0,0,6117,0
A14206302,202201,59844,0,0,3691,0
A14286203,202201,204781,0,0,4090,4090
A14286108,202201,131242,0,0,7972,0
A14206201,202201,108059,0,0,9249,0
A14207202,202201,150027,0,0,0,0
A14209001,202201,95672,0,0,4457,0
A14287102,202201,81827,0,0,4355,0
A14272303,202202,127842,0,0,7551,0
A14272311,202202,269776,0,0,14555,0
A14272306,202202,271357,0,9319,14995,0
A14272310,202202,86309,0,0,4832,0
A14210002,202202,376165,0,0,24258,0
A14277601,202202,83057,0,0,6009,0
A14272309,202202,410923,0,0,23442,0
A10024034,202202,47514,0,0,1505,0
A10025241,202202,312033,0,13833,13851,0
A14206303,202202,92612,0,0,4757,0
A14206307,202202,99972,0,0,6244,0
A14206202,202202,211842,0,0,13942,0
A14206306,202202,106910,0,0,5394,0
A14270301,202202,94906,0,0,5307,0
A14286104,202202,78447,0,0,0,0
A14206003,202202,280088,0,0,0,5890
A14206310,202202,349903,0,0,6672,6672
A14206201,202202,109324,0,0,0,0
A14207202,202202,128511,0,0,18453,0
A14287102,202202,80632,0,0,4425,0
A14272303,202203,124635,0,0,8398,0
A14272311,202203,231773,0,0,14359,0
A14272308,202203,506348,0,0,19870,0
A14272305,202203,445812,0,0,30416,0
A14272313,202203,104298,0,0,5421,0
A14272310,202203,86940,0,0,4673,0
A14281701,202203,55202,0,0,3063,0
A14210002,202203,411731,0,0,27948,0
A10026947,202203,186672,0,0,11802,0
A14206303,202203,63200,0,0,4123,0
A14206307,202203,90589,0,0,5782,0
A14206202,202203,184083,0,0,11968,0
A14206306,202203,95157,0,0,4805,0
A14286104,202203,67416,0,0,0,0
A14206002,202203,71621,0,0,4697,0
A14206305,202203,83237,0,0,3744,0
A14206310,202203,298822,0,0,8607,8607
A14286203,202203,186577,0,0,3916,3916
A14286108,202203,111911,0,0,7019,0
A14276311,202203,217806,0,0,5874,5874
A14278101,202203,149100,0,0,10280,0
A14207201,202203,31356,0,0,2191,0
A10023955,202203,43896,6998,19,2091,102
A14209001,202203,84882,0,0,4211,0
A14287102,202203,69462,0,0,3869,0
A14280502,202204,131449,0,0,8568,0
A14272308,202204,528733,0,0,20,0
A14272313,202204,106815,0,0,5900,0
A14272310,202204,79222,0,0,5067,0
A14281701,202204,49727,0,0,3422,0
A14277601,202204,80531,0,0,6148,0
A14272309,202204,378870,0,0,23774,0
A10026947,202204,167455,0,0,11755,0
A10024034,202204,49179,2852,0,1581,0
A10025241,202204,297606,0,0,15081,0
A14206303,202204,64658,0,0,4652,0
A14270301,202204,88509,0,0,5861,0
A14206001,202204,54884,0,0,3701,0
A14206003,202204,264142,0,0,0,5659
A14206310,202204,305294,0,0,5618,5618
A14206301,202204,44296,0,0,3148,0
A14207201,202204,28731,0,0,2011,0
A10023955,202204,48528,2782,7,0,139
A14287102,202204,70379,0,0,4471,0
A14280502,202205,117291,0,0,8272,0
A14272304,202205,952165,0,0,70916,0
A14282301,202205,57878,0,0,3721,0
A14272311,202205,227173,0,0,15469,0
A14272306,202205,219496,0,0,16518,0
A14272308,202205,485558,0,0,25450,0
A14272305,202205,392556,0,0,30386,0
A14272313,202205,100258,0,0,5756,0
A14281701,202205,50821,0,0,3319,0
A14272309,202205,346910,0,0,22789,0
A10024034,202205,58943,0,0,1630,0
A10025241,202205,309460,0,0,16210,0
A14206303,202205,58975,0,0,4488,0
A14206307,202205,84416,0,0,6125,0
A14270301,202205,89024,0,0,5664,0
A14206302,202205,48891,0,0,3646,0
A14206001,202205,47934,0,0,3712,0
A14286104,202205,62393,0,0,0,0
A14206002,202205,71130,0,0,4910,0
A14206003,202205,244876,0,0,0,4669
A14206305,202205,76561,0,0,4368,0
A14286203,202205,189217,0,0,3694,3694
A14286108,202205,104748,0,0,7614,0
A14206301,202205,42426,0,0,3191,0
A14276311,202205,230912,0,0,3969,3969
A14206201,202205,66319,0,0,9290,0
A14207202,202205,128727,0,0,0,0
A14287102,202205,64152,0,0,4183,0
A14280502,202206,121173,0,0,8591,0
A14282301,202206,62256,0,0,3536,0
A14272308,202206,502917,0,0,30,0
A14272313,202206,106458,0,0,5996,0
A14272310,202206,81858,0,0,4916,0
A14281701,202206,57382,0,0,3610,0
A14277601,202206,100044,0,0,6055,0
A14272309,202206,360022,0,0,23392,0
A14272314,202206,511426,0,0,24688,0
A10026947,202206,190171,0,0,11565,0
A10024034,202206,68756,0,0,1678,0
A14206303,202206,62328,0,0,4517,0
A14206307,202206,89696,0,0,6545,0
A14206202,202206,183467,0,0,14118,0
A14206306,202206,85000,0,0,5283,0
A14206001,202206,52283,0,0,3687,0
A14286104,202206,64528,0,0,0,0
A14206003,202206,266500,0,0,0,4401
A14206305,202206,82591,0,0,4602,0
A14206301,202206,43786,0,0,3056,0
A14206201,202206,89913,0,0,0,0
A14278101,202206,146263,0,0,11546,0
A10023955,202206,75700,1694,0,0,138
A14272304,202207,1407814,0,0,73611,0
A14272303,202207,125414,0,0,8805,0
A14272311,202207,307966,0,0,14634,0
A14272313,202207,142080,0,0,5952,0
A14272310,202207,103107,0,0,5285,0
A14281701,202207,77322,0,0,3617,0
A14210002,202207,649574,0,0,29095,0
A14277601,202207,117582,0,0,6064,0
A14272309,202207,480875,0,0,23170,0
A10024034,202207,79060,0,0,1536,0
A10025241,202207,476443,0,0,16480,0
A14206303,202207,84249,0,0,4859,0
A14206307,202207,117519,0,0,6590,0
A14206302,202207,72976,0,0,3734,0
A14206001,202207,66244,0,0,3897,0
A14206002,202207,81340,0,0,4944,0
A14206310,202207,409920,0,0,2986,2986
A14286108,202207,147848,0,0,8050,0
A14276311,202207,293994,0,0,2050,2050
A14278101,202207,191178,0,0,11997,0
A14207201,202207,41599,0,0,2162,0
A10023955,202207,102460,1575,0,3807,150
A14287102,202207,80836,0,0,4506,0
