code,date,elect,gas,heat,watercool,waterhot
A10023979,202201,26454,0,0,1155,0
A10025112,202203,570375,9185,698,29312,12936
A10024473,202203,531225,0,739,30899,12626
A13402304,202203,42743,0,0,1856,0
A13486401,202203,39335,0,0,2404,0
A13486601,202203,48592,0,0,0,0
A13402001,202203,33862,0,0,2207,0
A13402305,202203,98725,0,0,0,0
A13472201,202203,42819,0,0,0,0
A10027948,202203,82326,0,0,3887,0
A10026852,202203,320150,0,0,15658,0
A13410005,202203,192343,8802,29590,12879,5067
A13410002,202203,114458,0,12130,7526,2890
A13410008,202203,239530,0,35559,15760,6136
A13410001,202203,78204,0,10640,5192,1944
A13410004,202203,140391,0,13643,8851,3330
A13410010,202203,155606,0,33044,9732,3630
A10027638,202203,39861,0,95,2180,904
A10024468,202203,301917,0,245,17468,7030
A10024440,202203,186186,0,182,12483,4950
A13407202,202204,80469,0,0,5883,0
A13483002,202204,195590,0,0,0,0
A13480403,202204,236309,0,0,15755,0
A10024562,202204,155558,0,44,9030,3011
A13483803,202204,98644,0,0,7434,0
A13472701,202204,601979,0,50188,43818,12646
A13409001,202204,44738,0,0,3045,0
A10026403,202204,244760,0,81,12420,4286
A10025112,202204,520499,0,186,32260,10915
A10024412,202204,147000,0,415698,17925,6642
A13488104,202204,186556,0,0,12846,0
A13470503,202204,231278,0,0,16349,0
A13406204,202204,94602,0,0,7088,0
A13481802,202204,63064,115,0,75,0
A13405002,202204,124831,0,0,9281,0
A13485302,202204,1010957,0,43223,66283,0
A13485301,202204,232271,0,0,11170,0
A10025174,202204,137848,0,0,8527,0
A13484501,202204,57080,0,0,7538,0
A13403002,202204,83988,0,0,7069,0
A13403101,202204,300851,0,0,19810,6705
A10027354,202204,142544,0,0,8612,0
A13402103,202204,108477,0,0,0,0
A13402003,202204,76976,2014,0,6292,0
A13486504,202204,131228,0,0,9815,0
A13475001,202204,41261,0,0,0,0
A13402204,202204,72024,0,0,0,0
A13472201,202204,45782,0,0,0,0
A10027948,202204,87699,0,0,4291,0
A10023979,202204,21188,0,0,1189,0
A13410002,202204,103876,0,3580,7410,2560
A13410011,202204,173771,0,5233,12215,3890
A13410004,202204,126195,0,4380,8664,2926
A13410009,202204,169854,0,13349,12016,4234
A10024422,202204,222464,0,70,18089,5578
A10024468,202204,319064,0,70,16355,6290
A10024440,202204,171108,0,47,12123,4515
A13407104,202205,565748,0,0,31043,10668
A13407002,202205,186227,0,0,0,0
A13482603,202205,145015,3435,0,8353,0
A13409001,202205,41172,0,0,3261,0
A10025112,202205,528397,8113,27,30538,9671
A10025104,202205,517291,9636,27,28433,9305
A10024420,202205,49373,0,37,3476,0
A10025010,202205,1151898,0,49,62300,21853
A13488104,202205,186556,0,0,12846,0
A13481001,202205,36949,0,0,2611,0
A10024932,202205,101205,6278,0,0,0
A13470503,202205,232052,0,0,16703,0
A13481802,202205,62943,19,0,75,0
A13406201,202205,43959,0,0,3219,0
A13470504,202205,36591,0,0,2509,0
A13485401,202205,58564,0,0,4463,0
A10025174,202205,127664,0,0,8179,0
A13403101,202205,283738,0,0,21427,6347
A13402103,202205,102477,0,0,0,0
A13486102,202205,6449,0,0,76,0
A13402003,202205,64941,2140,0,0,0
A13486504,202205,133492,0,0,9087,0
A13402202,202205,41544,0,0,2885,0
A13486705,202205,55004,0,0,7976,0
A13402001,202205,31295,0,0,2240,0
A13402305,202205,93857,0,0,0,0
A10023979,202205,21385,0,0,1144,0
A13410012,202205,156485,0,1364,8644,3690
A13410005,202205,162764,9135,3737,12947,4070
A13410002,202205,104045,0,815,7598,2293
A13410003,202205,113497,0,836,9334,2791
A13410007,202205,208448,0,5486,15671,5105
A13410006,202205,177409,0,2390,14297,3739
A13410004,202205,126054,0,1095,8883,2648
A10027638,202205,35324,0,38,2143,762
A10024410,202205,57853,0,4,5134,1469
A10024440,202205,178499,0,11,12734,4119
A13407204,202206,162392,0,0,8918,2390
A13407002,202206,205095,0,0,0,0
A13407201,202206,41896,0,0,2682,0
A13407202,202206,75804,0,0,5782,0
A13408003,202206,367642,0,1275,23110,6242
A10025263,202206,1527132,22969,10,85881,22038
A10024562,202206,169141,0,0,9157,2314
A13409001,202206,43189,0,0,3222,0
A10025104,202206,572807,0,4,29091,7342
A10023855,202206,83432,0,4,5997,1684
A10024473,202206,549342,3374,0,32717,7851
A10025010,202206,1270341,0,5,74822,20003
A13481305,202206,189718,0,0,0,0
A13480803,202206,67127,0,0,4786,0
A13488104,202206,208287,0,0,13162,0
A13406204,202206,90179,0,0,7085,0
A13470502,202206,80161,0,0,5479,0
A13470504,202206,38615,0,0,2653,0
A13405201,202206,681431,0,0,50234,0
A13405003,202206,520583,0,0,33557,0
A13485302,202206,1113060,0,50255,66943,0
A13403101,202206,303546,0,0,22191,5218
A13484201,202206,56666,0,0,4088,0
A13484004,202206,62505,0,0,2767,0
A10027354,202206,155445,0,0,8605,0
A13402103,202206,107804,0,0,0,0
A13487102,202206,43681,0,0,0,0
A13402003,202206,70242,2361,0,6283,0
A13486504,202206,141218,0,0,10322,0
A13402202,202206,44535,0,0,2879,0
A13486705,202206,60860,0,0,0,0
A13486601,202206,47607,0,0,0,0
A10026852,202206,333597,0,0,16980,0
A10023979,202206,26198,0,0,1230,0
A13410012,202206,173131,0,0,9261,3107
A13410005,202206,194977,9200,0,12778,3303
A13410001,202206,78729,0,0,5010,1253
A13410011,202206,162696,0,1098,12508,3459
A13410007,202206,229622,0,0,15595,4289
A13410009,202206,187470,0,1127,12274,3100
A10024422,202206,266626,0,7,18480,4080
A13478601,202207,215297,0,0,9143,1820
