code,date,elect,gas,heat,watercool,waterhot
A13592604,202201,220534,4882,86355,16716,7061
A13508009,202201,172803,0,36422,9969,3721
A13508004,202201,57367,0,206,3902,1337
A13508003,202201,29187,0,0,1079,0
A13508010,202201,90007,0,0,2830,0
A13508011,202201,178125,0,638,8873,3742
A13592706,202201,299108,0,1325,21437,8496
A13508001,202201,32990,0,0,0,0
A13508005,202201,31691,0,0,1691,0
A13592605,202201,247115,0,1052,15604,6514
A13599303,202201,230047,0,0,0,6807
A13580602,202201,232862,0,52084,14857,5320
A13524004,202201,127993,0,0,5529,3167
A13599402,202201,273133,6410,0,11581,5424
A13593901,202201,84709,0,35780,5085,1951
A13524009,202201,286969,0,124340,16505,6957
A13599301,202201,284884,0,140280,0,7205
A13510003,202201,79281,0,24419,4757,1944
A13510001,202201,48154,0,0,2623,0
A13510201,202201,51736,0,22128,2159,1159
A13510103,202201,112972,0,34055,5720,2423
A13576201,202201,95725,0,0,0,0
A13510005,202201,227228,0,42018,8389,4481
A13510002,202201,6502388,0,0,3356689,0
A13510009,202201,72975,0,0,3563,0
A13570501,202201,267744,0,99798,17484,6802
A13509010,202201,268611,0,943,26498,6301
A13509101,202201,53303,0,0,3470,0
A13528102,202201,283855,0,96995,17762,7609
A13528103,202201,380892,0,150238,20862,8622
A13583604,202201,515868,0,0,14824,8362
A13583701,202201,176984,3589,780,8500,4735
A13528007,202201,154815,0,37897,8613,3718
A13528105,202201,455222,0,0,17053,7437
A13528001,202201,49001,0,0,1491,0
A13583507,202201,1242046,0,0,59052,22304
A13572601,202201,44231,0,0,1731,0
A13582002,202201,153170,0,0,0,3441
A13501006,202201,135088,0,368,6401,2605
A13501002,202201,97130,0,0,2682,0
A10024501,202201,28155,0,0,1412,0
A13590204,202201,344040,0,2816100,5206,5212
A13511201,202201,151913,0,0,0,0
A13590602,202201,213545,0,1779500,0,3225
A13511003,202201,381673,0,0,15898,6544
A13519002,202201,121550,0,0,7334,0
A13519003,202201,109752,0,0,6582,0
A10028172,202201,229011,0,531,14810,5834
A13520001,202201,329343,0,0,18432,0
A10027909,202201,57411,0,0,3431,0
A10027912,202201,111617,0,0,5330,0
A13523004,202201,210540,0,96865,7248,5492
A13594402,202201,132474,0,676,0,2220
A13594403,202201,218382,0,0,0,4779
A10025823,202201,294259,0,776,16624,5630
A10024216,202201,661098,0,1760,34412,15225
A13522007,202201,65944,0,83574,913,5865
A13588601,202201,89743,0,338652,3714,2151
A13550502,202201,231721,9518,1115,13907,5470
A13527003,202201,76850,0,454377,3740,0
A13527005,202201,28444,0,116659,1680,635
A13527014,202201,187828,0,727730,9023,3354
A13527004,202201,49542,0,25276,3768,1400
A13585403,202201,486439,0,1877,7697,3314
A13527008,202201,103108,0,0,6927,0
A13527013,202201,193087,0,70156,5656,2559
A13527203,202201,1089080,0,238126,66979,27160
A13527018,202201,40302,0,0,1449,0
A13527017,202201,1352522,0,2682,23223,8482
A13585401,202201,75021,0,10470,1446,1446
A13527007,202201,118561,0,22695,6216,2665
A13585402,202201,25064,0,742,577,0
A13550403,202201,104342,0,32586,5307,2757
A13527010,202201,93701,0,0,7474,2577
A13527019,202201,198962,0,590,7512,2916
A13527006,202201,80308,0,0,4648,0
A13508012,202202,135031,0,311,7684,3025
A13579501,202202,158653,0,50584,7241,2939
A13592604,202202,215519,0,73814,15886,6346
A13579504,202202,65133,0,0,2998,0
A13508003,202202,25585,0,0,954,0
A13508006,202202,132696,0,492236,6256,2445
A13508011,202202,176085,0,552,8798,3737
A13592601,202202,152487,0,507,8983,3291
A13592002,202202,121056,0,16374,4295,1714
A13508005,202202,32703,0,0,1853,0
A13580602,202202,219628,0,48659,13837,5109
A13524005,202202,138163,0,56514,0,2777
A13580001,202202,92455,0,49682,4052,1463
A13524006,202202,238134,0,0,11078,3943
A13580002,202202,66232,0,0,2618,1578
A10025675,202202,592810,0,1560,32215,11491
A10023996,202202,52019,0,182,0,1026
A13510201,202202,52290,0,18361,2194,1019
A13510203,202202,88411,0,0,4355,0
A13510006,202202,95772,0,0,0,0
A13576201,202202,96235,0,0,0,0
A13510005,202202,200927,0,34509,7721,4608
A13510009,202202,66410,0,0,3564,0
A13510007,202202,205808,0,634209,8799,3579
A13509001,202202,57412,0,0,3393,0
A13509005,202202,89873,0,379,5514,2404
A13509006,202202,76829,0,0,5962,0
A13509012,202202,315885,0,64811,24087,10603
A13509007,202202,93109,0,405345,5315,2145
A13509009,202202,237086,0,73857,11470,3525
A13528103,202202,338066,0,123674,19936,8400
A13528004,202202,840459,0,256836,51481,19871
A13583701,202202,161336,0,761,8725,5166
A13528003,202202,259866,0,1111879,11662,8371
A13528005,202202,115069,0,0,4046,0
A13583507,202202,1121657,0,0,58324,24567
A13583403,202202,134466,0,0,5400,3544
A13583402,202202,98091,0,0,5127,2415
A10027800,202202,851803,0,1410,40970,12912
A10024102,202202,132421,24757,0,3328,0
A13501001,202202,162913,0,9942,9941,0
A13582002,202202,138694,0,0,0,3313
A13583301,202202,47710,0,0,2350,0
A13501006,202202,120912,0,310,5747,2312
A13501002,202202,93730,0,0,2523,0
A13590204,202202,328079,0,2399800,5207,4833
A13589802,202202,1043614,0,86,41004,22654
A13511201,202202,139584,0,0,0,0
A13551103,202202,337201,0,0,0,5351
A13519006,202202,254041,0,682,17423,6584
A13519003,202202,107638,0,0,6305,0
A13519001,202202,119105,0,0,6484,0
A10028172,202202,206261,0,435,12805,5100
A13519008,202202,196680,0,386410,12382,4368
A13520004,202202,112211,0,323,7297,2695
A13520001,202202,332949,0,0,18480,0
A10027909,202202,57038,0,0,2765,0
A10027912,202202,112088,0,0,6682,0
A13523004,202202,192629,0,94516,7835,5912
A13523003,202202,134976,0,613187,9142,3565
A13593801,202202,165477,2524,0,0,5007
A13594203,202202,224515,0,92285,10446,6913
A13594403,202202,196067,0,0,0,4972
A10027571,202202,44824,0,8467,0,1020
A13589802,202206,1129519,0,0,46123,18110
A13519006,202206,279682,0,0,18602,4579
A13519007,202206,242709,0,4,15683,3746
A13519008,202206,229775,0,5400,13597,3209
A13593801,202206,163601,1834,0,0,3563
A10024258,202206,98292,0,15140,3533,850
A13585404,202206,160832,2471,0,8686,2356
A13585403,202206,570078,0,51,8951,1963
A13527013,202206,171694,0,0,6861,1676
A13570501,202207,433285,0,0,16797,3958
A13509010,202207,415638,0,0,16749,3263
A13509101,202207,64353,0,0,3054,0
A13509009,202207,437415,0,1905,10848,2122
A13528103,202207,675384,0,0,21645,5279
A13583604,202207,643352,0,0,18016,3777
A13528003,202207,442176,4165,0,18167,4577
A13528007,202207,218591,0,38,8320,2024
A13528105,202207,513851,0,0,18432,3662
A13528001,202207,72120,0,0,1442,0
A13584101,202207,185498,0,0,7500,1665
A13583507,202207,1830463,0,0,60065,14016
A13583402,202207,165331,0,0,6048,1350
A10027800,202207,1457479,0,1,56984,7608
A10024102,202207,178971,0,0,4123,0
A13501004,202207,184350,0,0,9364,0
A13582002,202207,233346,0,0,0,1976
A10024501,202207,40720,0,0,1349,0
A13589802,202207,1674347,0,0,46209,14131
A13551103,202207,459728,0,0,0,4002
A13590602,202207,302302,0,94800,0,2640
A13511001,202207,158949,0,0,0,1311
A13511004,202207,876105,0,0,0,8807
A13511101,202207,277141,0,0,12862,2238
A13519007,202207,343123,0,0,16013,3264
A10027558,202207,231659,0,0,4321,1089
A10027985,202207,544012,0,1,23556,5308
A13520002,202207,532388,0,0,22445,0
A13520001,202207,329038,0,0,19111,0
A13523005,202207,339659,0,0,12799,2372
A13594701,202207,200939,0,196,10852,2269
A13594402,202207,172136,0,0,0,1371
A13594203,202207,340890,0,0,13383,3785
A13594403,202207,319509,0,0,0,2405
A13522003,202207,16219,0,182,0,1752
A13522004,202207,258925,0,2412,9729,2914
A13588402,202207,208497,0,0,0,1791
A13527003,202207,131201,0,0,3797,0
A13527005,202207,47119,0,0,1667,341
A13527014,202207,211051,0,0,8869,1604
A13585404,202207,237409,0,0,8676,2046
A13527002,202207,68940,0,0,3142,658
A13527013,202207,241685,0,0,6991,1311
A13527203,202207,1635732,0,0,66041,15973
A13527017,202207,1885457,0,0,28161,5028
A13585804,202207,463596,0,0,0,4213
A13527007,202207,155694,0,0,6662,1374
A13527010,202207,129359,0,0,7506,1460
A10024793,202207,8487,127660,0,0,0
A13508012,202208,220787,0,0,7474,1743
A13579501,202208,224237,0,0,7174,1812
A13508004,202208,61966,0,0,3872,783
A13508003,202208,57495,0,0,1088,0
A13508010,202208,135324,0,0,3092,0
A13508002,202208,72168,0,0,3867,0
A13579506,202208,164244,0,0,5574,1368
A13508006,202208,179351,0,0,5915,1303
A13508011,202208,272491,0,0,9248,2290
A13592601,202208,219823,0,0,9037,1953
A13592002,202208,206698,0,151,4404,1061
A13508001,202208,53694,0,0,3113,0
A13579503,202208,80595,0,0,6574,0
A13592605,202208,345074,3876,0,15650,3705
A10027474,202208,227612,0,1,7792,1937
A13524005,202208,219771,0,0,0,1407
A13593901,202208,122586,0,0,4924,895
A10025203,202208,955522,0,0,23304,4287
A13510003,202208,117716,0,0,4824,1074
A13510102,202208,136291,0,0,5852,1212
A13510006,202208,143815,0,0,0,0
A13510103,202208,126482,0,0,7393,1777
A13510005,202208,275140,0,0,10833,2075
A13510002,202208,66068,0,0,0,0
A13510007,202208,431487,0,0,9204,2173
A13570501,202208,403105,0,0,17364,3953
A13509005,202208,147444,0,0,5741,1359
A13509006,202208,119383,0,0,6473,0
A13509007,202208,134140,0,0,6021,1260
A13528102,202208,402766,0,0,17737,4399
A13528004,202208,1261232,0,0,53202,11549
A13583701,202208,269196,0,0,11558,2735
A13528003,202208,415163,0,0,16361,4663
A13528105,202208,609454,0,0,20699,3161
A13528001,202208,80285,0,0,1471,0
A13583507,202208,1909119,0,0,70559,15570
A13583403,202208,228411,0,0,7872,2013
A13583404,202208,296580,0,0,11966,2598
A13583301,202208,80073,0,0,3231,0
A13501006,202208,196874,0,0,6209,1349
A13501002,202208,141982,0,0,2835,0
A13589802,202208,1735244,0,0,47193,12533
A13511004,202208,924268,0,0,0,8804
A13511101,202208,323322,0,0,13693,2184
A13511003,202208,479731,0,0,0,3950
A13519002,202208,166225,0,0,7439,0
A13519004,202208,112581,3562,0,6076,0
A13519005,202208,228837,0,0,11089,0
A10027558,202208,164199,0,0,0,0
A13519008,202208,256220,0,3910,13508,2546
A10027985,202208,523696,7063,4,22954,5039
