code,date,elect,gas,heat,watercool,waterhot
A15383601,202202,37734,0,0,0,0
A15384101,202206,47391,0,0,0,0
A15384603,202302,124705,0,0,8493,0
A15303204,202302,300146,2,0,16396,0
A15384603,202303,107756,0,0,7538,0
A15303102,202303,52620,0,0,0,0
A15380403,202304,362488,0,0,25510,0
A15370301,202304,67727,0,0,4055,0
A15383702,202304,196296,0,0,13465,0
A15380101,202101,57791,0,0,3867,0
A15301105,202101,162373,0,0,10276,0
A15370301,202101,80459,0,0,4379,0
A15381706,202101,280820,0,0,0,0
A15383604,202101,68025,0,0,4400,0
A10027188,202101,614787,0,0,34839,0
A10026626,202101,99781,0,0,4623,0
A10025946,202101,566588,0,0,20374,0
A15386506,202101,286500,0,0,14369,0
A15303002,202101,588255,0,0,35010,0
A15384501,202101,78338,0,0,5583,0
A15303203,202101,202275,0,0,13913,0
A15303202,202101,91713,0,0,6430,0
A15383905,202101,231086,0,0,8390,2332
A15370103,202101,625271,0,0,37960,0
A15303502,202101,89359,0,0,7978,0
A15386303,202101,2472,177,0,0,0
A15384603,202101,141738,0,0,9620,0
A15303204,202101,320186,3,0,14568,0
A15303102,202101,69036,0,0,7983,0
A15380403,202102,423985,0,0,27940,0
A15301105,202102,172188,0,0,9258,0
A15375810,202102,69670,0,0,3558,0
A15370301,202102,78821,0,0,4167,0
A15383307,202102,270265,0,772,17728,6844
A10025116,202102,106464,0,0,5939,0
A15383702,202102,227864,0,1707,12582,413
A15386506,202102,269272,0,0,14292,0
A15386404,202102,59710,0,0,0,0
A15303103,202102,78759,0,0,0,0
A15303202,202102,102231,0,0,5964,0
A15378501,202102,48622,0,0,6902,0
A15370103,202102,540295,0,0,38204,0
A15303502,202102,87156,0,0,0,0
A15384603,202102,119647,0,0,8388,0
A15301105,202103,149945,0,0,11106,0
A15383604,202103,55861,0,0,4050,0
A10027188,202103,567482,0,0,34443,0
A10026626,202103,93178,0,0,4366,0
A10025116,202103,112426,0,0,6615,0
A15383702,202103,185701,0,0,13692,0
A15303002,202103,671363,0,0,29446,0
A15303401,202103,44246,0,0,3205,0
A15303103,202103,66126,0,0,0,0
A15370103,202103,568849,0,0,33835,0
A15303205,202103,706812,0,0,51865,0
A15303502,202103,73519,0,0,7609,0
A15386303,202103,808,54,0,0,0
A15303102,202103,55335,0,0,7476,0
A15380403,202104,379804,0,0,27546,0
A15380101,202104,49457,0,0,3835,0
A15382301,202104,86476,0,0,0,0
A15375810,202104,65813,0,0,3642,0
A15370301,202104,72230,0,0,4292,0
A15381706,202104,248660,0,0,0,0
A15383604,202104,61289,0,0,4656,0
A10027188,202104,540697,0,0,33473,0
A10026626,202104,86370,0,0,4571,0
A10025946,202104,490302,0,0,20535,0
A15383702,202104,212208,0,0,15205,0
A15386404,202104,48155,0,0,0,0
A15303203,202104,178227,0,0,13633,0
A15378501,202104,51440,0,0,6781,0
A15370103,202104,530322,0,0,38850,0
