code,date,elect,gas,heat,watercool,waterhot
A15288813,202201,353106,0,0,22718,0
A15288814,202201,681656,0,0,42542,0
A15288809,202201,256178,0,0,12457,0
A15288807,202201,140227,0,0,8004,0
A15288810,202201,245553,0,0,16359,0
A15277302,202201,227915,0,691153,9691,4155
A15288611,202201,187111,0,0,12322,4156
A15286806,202201,148776,0,5289,8211,2589
A15205108,202201,249782,0,0,14689,0
A15286809,202201,698219,0,350184,36916,21665
A15205002,202201,73029,0,0,4769,0
A15283806,202201,79300,0,0,4667,0
A15205104,202201,126095,0,0,7838,0
A15286210,202201,174850,0,0,7999,0
A15205508,202201,101185,0,0,5376,0
A15283807,202201,96087,0,0,5388,0
A15205303,202201,171156,0,0,8618,3842
A15284101,202201,94008,0,0,5276,0
A15205301,202201,69138,0,0,4112,0
A15205001,202201,63463,0,0,3904,0
A15284603,202201,94502,0,0,6704,0
A15205513,202201,366180,0,149290,15254,9991
A15283803,202201,44503,0,0,2533,0
A15285804,202201,173957,0,0,12085,0
A15208204,202201,117256,0,0,6178,0
A15282403,202201,81144,0,0,0,0
A15208201,202201,43950,0,0,2743,0
A15279403,202201,212807,0,0,13302,0
A15283709,202201,291562,0,1020376,16502,6004
A15282810,202201,187322,0,0,28606,0
A15208005,202201,53228,0,0,3432,0
A15208202,202201,74015,0,0,5428,0
A15283704,202201,128041,0,0,4931,0
A15279402,202201,133806,0,460264,8419,3528
A15208003,202201,180025,0,0,0,0
A15282405,202201,2863,0,0,5369,0
A15282105,202201,108970,0,0,6674,0
A15280304,202201,72810,0,0,0,0
A15209206,202201,290724,0,0,19157,0
A15209207,202201,731384,0,0,45646,0
A15209003,202201,38894,0,0,0,0
A15209305,202201,411706,0,0,25136,0
A15209004,202201,209810,0,0,14075,0
A15209303,202201,54177,0,0,3743,0
A15280303,202201,70089,0,0,0,0
A15275101,202201,83692,0,0,6746,0
A15210105,202201,71418,0,0,4334,0
A15210107,202201,271478,0,0,0,0
A15210211,202201,190625,6725,0,12222,0
A15210106,202201,91502,0,0,5223,0
A15210212,202201,187732,0,0,12233,0
A15278301,202201,72910,0,0,0,0
A15210209,202201,114388,0,0,6427,0
A15213004,202201,138972,0,0,9109,0
A10026729,202201,19677,0,0,2017,0
A10026039,202201,34888,0,0,2445,0
A15213003,202201,150798,0,0,8662,0
A15271601,202201,81412,2491,0,5074,0
A10025527,202201,30022,0,78,1785,853
A10025614,202201,308427,0,628,20787,8596
A10025386,202201,21864,0,61,1472,614
A10025858,202201,77244,3211,177,4867,2079
A10025564,202201,30011,0,93,1820,933
A10024849,202201,101943,0,283,6347,2426
A10024927,202201,104724,0,364,5702,2330
A10025193,202201,198300,0,547,11658,5221
A15288805,202202,131444,0,0,7442,0
A15288809,202202,225051,0,0,11072,0
A15288803,202202,89864,0,0,4514,0
A15288804,202202,105988,0,0,0,0
A15288807,202202,126223,0,0,8657,0
A15288810,202202,217537,0,8268,14536,0
A15277302,202202,201968,0,577880,9065,3688
A15288808,202202,95387,0,0,0,0
A15288004,202202,187773,4022,0,7988,0
A15205305,202202,186415,0,0,7285,3504
A15288002,202202,136355,0,0,8475,0
A15286809,202202,642823,0,350184,36790,22059
A15286210,202202,155798,0,0,7172,0
A15205508,202202,103249,0,0,5115,0
A15284101,202202,80740,0,0,5272,0
A15285004,202202,144752,0,0,6996,0
A15283801,202202,47974,0,0,3261,0
A15205301,202202,72365,0,0,4213,1696
A15284603,202202,100655,0,0,8053,0
A15283803,202202,47029,0,0,2453,0
A15284204,202202,32910,0,0,0,0
A15285804,202202,151704,0,0,10485,0
A15286602,202202,2113420,0,0,0,0
