code,date,elect,gas,heat,watercool,waterhot
A15105302,202201,792611,0,0,32678,0
A15178202,202201,88292,0,0,5624,0
A15180705,202201,1093325,0,0,64555,0
A15176202,202201,390576,0,0,24901,0
A15106101,202201,80012,773,0,3387,0
A15105301,202201,67232,0,0,4424,0
A15184101,202201,113810,0,0,0,0
A15105303,202201,737567,0,0,35086,0
A15105005,202201,68943,0,0,0,0
A15105602,202201,140316,0,4512,7721,0
A15105004,202201,214289,0,0,12146,0
A15192202,202201,208224,0,0,9410,0
A15106901,202201,621525,0,0,37763,0
A15105503,202201,363386,0,0,19213,0
A15105006,202201,100417,0,0,6409,0
A15176602,202201,51868,0,0,6559,0
A15105603,202201,563197,0,2025306,18743,8779
A10025428,202201,56787,0,0,2340,0
A10025092,202201,429461,0,0,19627,0
A15176701,202201,222009,0,0,692,0
A15101101,202201,171987,0,0,8686,0
A15179403,202201,186919,0,0,9956,0
A15101506,202201,452609,0,0,24766,0
A15101802,202201,225289,0,0,0,0
A15101504,202201,865422,0,0,53946,0
A15102203,202201,113044,0,0,6381,0
A15101507,202201,50259,0,106433,0,2923
A15102202,202201,69003,0,0,4519,0
A15102902,202201,72667,0,0,0,0
A15101509,202201,41674,0,0,2006,0
A15101903,202201,222031,0,0,13311,0
A15108003,202201,49010,0,0,6553,0
A15106001,202202,58336,0,0,3471,0
A15192201,202202,143078,5554,0,8848,0
A15106103,202202,113493,0,0,5302,0
A15106101,202202,76619,676,0,3283,0
A15105602,202202,139962,0,3973,6910,0
A15105004,202202,213303,0,0,11817,0
A15105006,202202,101927,0,0,5538,0
A15105008,202202,162470,0,0,6756,0
A15178204,202202,154365,0,0,8115,0
A10026710,202202,52068,0,0,0,0
A10025428,202202,52259,0,0,2096,0
A10025092,202202,431933,0,0,19363,0
A10024894,202202,147448,0,0,7194,0
A15186002,202202,98226,0,0,5390,0
A15185201,202202,40356,0,0,4825,0
A15179403,202202,176217,0,0,9728,0
A15101506,202202,477255,0,0,27000,0
A15101505,202202,55812,0,0,2941,0
A15179701,202202,187233,0,0,8622,0
A15102203,202202,104738,0,0,6301,0
A15101507,202202,63103,0,88247,0,2907
A15101903,202202,196144,0,0,12691,0
A15178202,202203,74790,0,0,5192,0
A15180705,202203,935482,0,0,58841,0
A15176202,202203,336245,0,0,22005,0
A15184101,202203,98850,0,0,0,0
A15105005,202203,65505,0,0,0,0
A15105602,202203,123246,0,0,7168,0
A15105008,202203,143721,0,0,6202,0
A15178204,202203,131326,0,0,8659,0
A10025428,202203,54663,0,0,2435,0
A10025092,202203,392516,0,0,17496,0
A10024894,202203,164698,0,0,9198,0
A15177101,202203,42390,0,0,0,1684
A15101503,202203,101932,0,0,7136,0
A15176701,202203,201015,0,0,1229,0
A15186002,202203,89308,0,0,6157,0
A15101501,202203,52359,0,0,5043,0
A15101101,202203,165297,0,0,8791,0
A15179403,202203,148318,0,0,8836,0
A15187101,202203,49755,0,0,3606,0
A15101506,202203,390419,0,0,23230,0
A15101802,202203,219326,0,0,0,0
A15188101,202203,84284,0,0,155170,0
A15102203,202203,92128,0,0,6561,0
A15101702,202203,91424,0,0,6275,0
A15102202,202203,59612,0,0,4582,0
A15101901,202203,52698,2221,0,0,0
A15102902,202203,68993,0,0,0,0
A15101509,202203,34546,0,0,1897,0
A15101903,202203,184834,0,0,10138,0
A15108001,202203,50550,0,0,6279,0
A15106001,202204,53035,0,0,3204,0
A15178203,202204,89135,0,0,6021,0
A15178202,202204,77269,0,0,5667,0
A15180705,202204,942424,0,0,63244,0
A15106101,202204,66140,131,0,3441,0
A15105301,202204,60970,0,0,3988,0
A15184101,202204,97490,0,0,12985,0
A15192202,202204,172578,0,0,9531,0
A15105008,202204,145664,0,0,6681,0
A15178204,202204,141245,0,0,8465,0
A10026710,202204,48820,0,0,0,0
A15177101,202204,42439,0,0,0,0
A15179403,202204,165916,0,0,10377,0
A15187101,202204,51047,0,0,3662,0
A15101506,202204,385628,0,0,25304,0
A15101802,202204,192884,0,0,22776,0
A15188101,202204,86156,0,0,54016,0
A15101504,202204,771060,0,0,53870,0
A15101507,202204,47761,0,78245,0,3369
A15101702,202204,95603,0,0,6148,0
A15102202,202204,63163,0,0,4025,0
A15190705,202204,494166,0,0,26563,0
A15101509,202204,31784,0,0,1952,0
A15101903,202204,190679,0,0,12364,0
A15178203,202205,92145,0,0,5846,0
A15106103,202205,93554,0,0,5299,0
A15178201,202205,518481,0,0,42976,0
A15176202,202205,313728,0,0,22233,0
A15105301,202205,64408,0,0,4519,0
A15105303,202205,616590,0,0,33686,0
A15192202,202205,159609,0,0,8763,0
A15106901,202205,502953,0,0,36644,0
A15105503,202205,289563,0,0,19649,0
A15105008,202205,127665,0,0,6429,0
A15178204,202205,122483,0,0,8447,0
A15177101,202205,41342,0,0,0,0
A15101503,202205,95460,0,0,7140,0
A15186002,202205,79194,0,0,5671,0
A15101501,202205,47851,0,0,5983,0
A15101101,202205,119640,0,0,8623,0
A15185201,202205,37653,0,0,0,0
A15179403,202205,134619,0,0,8693,0
A15101505,202205,47899,0,0,3057,0
A15101508,202205,372241,0,0,23711,5873
A15101504,202205,716147,0,0,55214,0
A15101507,202205,35464,0,25704,0,3117
A15101702,202205,88164,0,0,6337,0
A15102202,202205,57635,0,0,4474,0
A15108001,202205,47110,0,0,6498,0
A15192201,202206,132190,0,0,9285,0
A15178203,202206,85810,0,0,6191,0
