code,date,elect,gas,heat,watercool,waterhot
A14322001,202201,55356,0,0,6273,0
A14320001,202201,67274,0,0,4543,0
A14383205,202201,475512,0,0,29607,0
A14320002,202201,88449,0,0,4912,0
A14382101,202201,98743,0,0,5701,0
A10026874,202201,68983,0,0,3846,0
A14380605,202201,103371,0,0,5596,0
A14381508,202201,138702,0,0,9402,0
A14375301,202201,197563,0,0,10139,0
A14381415,202201,316637,0,0,19143,0
A14380211,202201,491773,0,14376797,12722,3736
A14381513,202201,189352,0,0,0,0
A14381504,202201,108603,3795,0,4738,0
A10026162,202201,59871,0,0,3445,0
A14319305,202201,123236,0,0,4483,0
A14319204,202201,134619,0,0,0,0
A14319203,202201,80519,0,0,4384,0
A14319303,202201,83066,0,0,0,0
A14319301,202201,48653,0,0,0,0
A14319302,202201,61703,0,0,4011,0
A14319006,202201,70056,0,0,4366,0
A14319306,202201,103096,0,0,4676,0
A14319009,202201,94791,0,0,0,0
A14319311,202201,173333,0,0,11547,0
A14386109,202201,97323,0,0,5792,0
A10024132,202201,65411,0,0,2807,0
A14383205,202202,472779,0,0,27992,0
A14320302,202202,100089,0,0,0,0
A14320002,202202,92688,0,0,4148,0
A14383203,202202,156086,0,0,614,0
A14320304,202202,407190,18555,0,20393,9171
A14381512,202202,149380,0,0,10971,0
A14380414,202202,234965,0,0,0,6174
A14381415,202202,308220,0,0,17769,0
A14380211,202202,471037,0,4525044,14677,4385
A14381513,202202,188239,0,0,0,0
A14380409,202202,195039,0,135023,2328,2328
A14381506,202202,93255,0,0,6201,0
A14319305,202202,117803,0,0,4487,0
A14319307,202202,87057,0,0,5830,0
A14386110,202202,119503,0,0,7951,0
A14319010,202202,108132,0,0,13147,0
A14319303,202202,184692,0,0,20820,0
A14376501,202202,50385,0,0,3625,0
A14319012,202202,630420,0,0,27551,0
A14319003,202202,53503,0,0,0,0
A14319301,202202,48687,0,0,6533,0
A14388208,202202,109416,0,0,7162,0
A14319008,202202,115842,0,0,5730,0
A14319302,202202,56002,0,0,4009,0
A14319001,202202,42771,0,0,0,0
A14319006,202202,69986,0,0,4317,0
A14319306,202202,101792,0,0,4851,0
A14319311,202202,157179,0,0,11481,0
A14386109,202202,93570,0,0,5871,0
A10026720,202202,84385,0,0,4642,0
A10024132,202202,67075,0,0,2850,0
A14313001,202202,66531,0,0,0,0
A10025404,202202,56373,0,0,1591,0
A14322001,202203,46735,0,0,5817,0
A14320002,202203,94349,0,0,3168,0
A14383203,202203,1014220,0,0,180,0
A14381512,202203,151025,0,0,11484,0
A14321001,202203,73388,0,0,3093,0
A14380605,202203,86428,0,0,4948,0
A14380414,202203,240876,0,0,0,6427
A14375301,202203,190312,0,0,10149,0
A14381415,202203,272758,0,0,19960,0
A14380211,202203,364374,0,8039265,14540,4331
A14380409,202203,194679,0,93409,2548,2548
A14381506,202203,82960,0,0,8102,0
A14381407,202203,97780,0,0,6499,0
A10026162,202203,49673,0,0,3482,0
A14319305,202203,104354,0,0,4025,0
A14319201,202203,53625,0,0,0,0
A14386110,202203,105952,0,0,7945,0
A14377402,202203,114822,0,0,5515,0
A14319005,202203,53285,0,0,0,0
A14319010,202203,99761,0,0,0,0
A14319303,202203,70035,0,0,0,0
A14376501,202203,53811,0,0,3282,0
A14319012,202203,557997,0,0,25141,0
A14319007,202203,77474,0,0,10885,0
A14387605,202203,123806,0,0,7837,0
A14388204,202203,62519,0,0,4732,0
A14319302,202203,56002,0,0,4009,0
A14319306,202203,89019,0,0,4884,0
A14319009,202203,81830,0,0,0,3780
A14386109,202203,83654,0,0,5766,0
A10024132,202203,62584,0,0,2760,0
A14313001,202203,61146,0,0,0,0
A10025404,202203,48351,0,0,1685,0
A14322001,202204,46014,0,0,0,0
A14320001,202204,62435,0,0,4546,0
A14320002,202204,84836,0,0,4892,0
A14320304,202204,393709,0,0,22067,8981
A10026874,202204,62295,0,0,3673,0
A14381512,202204,158941,0,0,11438,0
A14321001,202204,66074,0,0,3524,0
A14380414,202204,221943,0,0,0,5806
A14381415,202204,278622,0,0,19165,0
A14381513,202204,168261,0,0,0,0
A14380409,202204,165929,0,45773,2208,2208
A14381506,202204,85363,0,0,6748,0
A14381407,202204,99497,0,0,6578,0
A14319201,202204,55928,0,0,0,0
A14319204,202204,122940,0,0,0,0
A14319002,202204,41886,0,0,3248,0
A14386110,202204,108397,0,0,8560,0
A14319303,202204,100572,0,0,10021,0
A14319012,202204,585424,0,0,28211,0
A14388208,202204,100741,0,0,7494,0
A14387605,202204,128542,0,0,8820,0
A14388204,202204,63474,0,0,5224,0
A14319302,202204,59442,0,0,3963,0
A14319306,202204,91977,0,0,4387,0
A14386109,202204,82192,0,0,6037,0
A14313001,202204,61991,0,0,0,0
A10025404,202204,41695,0,0,1847,0
A14322001,202205,45230,0,0,6272,0
A14320001,202205,57589,0,0,4483,0
A14383205,202205,390484,0,0,30286,0
A14320302,202205,82862,0,0,0,0
A14320002,202205,87539,0,0,4596,0
A14383203,202205,129409,0,0,617,0
A10025985,202205,252447,0,0,13827,0
A14321001,202205,63991,0,0,3318,0
A14380414,202205,227865,0,0,0,5298
A14381508,202205,109714,0,0,9029,0
A14381516,202205,291882,0,0,23998,0
A14381513,202205,151595,0,0,0,0
A14380409,202205,163975,0,25507,2029,2029
A14381504,202205,80402,0,0,5044,0
A14319307,202205,72925,0,0,5717,0
A14386802,202205,55116,0,0,4860,0
A14319204,202205,111232,0,0,0,0
A14319002,202205,40217,0,0,3458,0
A14386110,202205,99191,0,0,8217,0
A14319203,202205,65685,0,0,4820,0
A14319010,202205,97166,0,0,0,0
A14319303,202205,67775,0,0,0,0
A14376501,202205,48878,0,0,3461,0
A14319012,202205,558501,0,0,28271,0
A14319003,202205,52183,0,0,0,0
A14319011,202205,136262,0,0,0,0
A14387605,202205,114325,0,0,8463,0
A14388204,202205,58899,0,0,4951,0
A14319009,202205,77451,0,0,0,0
A10026720,202205,82583,0,0,4452,0
A10024132,202205,58565,0,0,2719,0
A14313001,202205,57492,0,0,0,0
A10025404,202205,49081,0,0,1685,0
A14383205,202206,426816,0,0,30173,0
A14383203,202206,136826,0,0,617,0
A14321001,202303,50921,0,0,3145,0
A14387605,202303,120330,0,0,7331,0
A14319003,202102,56231,0,0,0,0
A14319011,202102,162444,0,0,0,0
A14319301,202102,49309,0,0,6361,0
A14387605,202102,149436,0,0,9402,0
A14388204,202102,70264,0,0,5213,0
A14319302,202102,66008,0,0,3701,0
A14319001,202102,44329,0,0,0,0
A14319006,202102,72797,0,0,4321,0
A14319306,202102,101995,0,0,5149,0
A10025404,202102,48190,0,0,1426,0
A14319001,202104,39008,0,0,0,0
A14319006,202104,63333,0,0,4345,0
A14319009,202104,83776,0,0,0,0
A14386109,202104,85745,0,0,6275,0
A10025404,202104,31590,0,0,1374,0
A14320002,202105,91939,0,0,4831,0
A14383203,202105,133325,0,0,786,0
A14320304,202105,416049,0,0,22479,7750
A14321001,202105,53781,0,0,3470,0
A14386110,202107,151128,0,0,9455,0
A14319010,202107,103669,0,0,0,0
A14376501,202107,85452,0,0,3874,0
A14319011,202107,218658,0,0,0,0
A14319301,202107,57578,0,0,0,0
A14319008,202107,120523,0,0,6035,0
A14387605,202107,182316,0,0,9254,0
A14388204,202107,87880,0,0,5441,0
A14319302,202107,61154,0,0,4481,0
A14319001,202107,38686,0,0,0,0
A14319306,202107,140203,0,0,5056,0
A14319311,202107,263713,0,0,12457,0
A14313001,202109,72825,0,0,0,0
A14320001,202110,60090,0,0,4582,0
A14320002,202110,90752,0,0,4352,0
A14383203,202110,135224,0,0,469,0
A14320304,202110,421904,0,0,24638,6723
A14381508,202110,117381,0,0,9364,0
A14381415,202110,278615,0,0,20719,0
A14381516,202110,306824,0,0,25213,0
A14381513,202110,161774,0,0,0,0
A14381504,202110,86111,0,0,5046,0
A14381407,202110,97540,0,0,6799,0
A14388208,202112,101877,0,0,7148,0
A14319302,202112,56279,0,0,4059,0
A14319306,202112,94170,0,0,4856,0
A14319009,202112,86105,0,0,0,0
A14319311,202112,170829,0,0,11381,0
