code,date,elect,gas,heat,watercool,waterhot
A11008001,202202,110214,0,0,0,0
A10027708,202202,52261,0,0,0,0
A10025710,202202,60688,0,0,2833,0
A11052201,202203,145786,0,0,8245,0
A11054301,202203,163285,0,0,433,0
A11077101,202203,277922,0,0,0,0
A11087602,202203,38753,0,0,0,0
A10027118,202203,363331,0,0,20465,0
A11084601,202203,65227,0,0,2922,0
A11081503,202203,256211,0,0,35351,0
A11008001,202203,95758,2780,0,10199,0
A11081302,202203,267092,0,0,16540,0
A10027708,202203,56018,0,0,6506,0
A10025710,202203,55453,0,0,3198,0
A11005401,202204,360740,0,0,14202,0
A11034001,202204,50885,0,0,2163,0
A11041001,202204,94523,0,0,5368,0
A10027162,202204,3014,0,0,0,0
A11052201,202204,149259,0,0,7237,0
A11054301,202204,166073,0,0,0,0
A11077101,202204,240344,0,0,0,0
A11055002,202204,79593,2627,0,5150,0
A11087601,202204,70639,0,0,4174,0
A10026940,202204,46297,0,0,1887,0
A10026946,202204,82212,0,0,5968,0
A11001203,202204,43127,0,0,0,0
A11084601,202204,65886,0,0,2805,0
A11008001,202204,104258,0,0,0,0
A11081302,202204,244502,0,0,16421,0
A10027708,202204,49342,0,0,0,0
A11005401,202205,353031,0,0,13445,0
A11054301,202205,151208,0,0,0,0
A11054101,202205,119085,0,0,8162,0
A11077101,202205,241770,0,0,0,0
A11087602,202205,34669,0,0,0,0
A10026940,202205,46681,0,0,1758,0
A10027105,202205,160135,0,0,10384,0
A11084601,202205,59615,0,0,2848,0
A11081503,202205,235325,0,0,35154,0
A11008001,202205,91079,0,0,11866,0
A11081302,202205,245926,0,0,16246,0
A10025710,202205,54016,0,0,3121,0
A11041001,202206,96859,0,0,5598,0
A10027162,202206,2855,0,0,0,0
A11052201,202206,135205,0,0,15783,0
A11054301,202206,163080,0,0,240,0
A11077101,202206,221439,0,0,0,0
A11055002,202206,80914,3097,0,5075,0
A11087602,202206,34981,0,0,0,0
A10027105,202206,186379,0,0,10810,0
A11001203,202206,42247,0,0,0,0
A11084601,202206,60383,0,0,2885,0
A11081503,202206,247936,0,0,0,0
A11008001,202206,110098,0,0,0,0
A11081302,202206,266569,0,0,15487,0
A10025710,202206,59158,0,0,3045,0
A11005401,202207,626464,0,0,13554,0
A11034001,202207,76521,0,0,2956,0
A11054301,202207,216553,0,0,240,0
A11054101,202207,162734,0,0,8519,0
A11055002,202207,109013,3474,0,5020,0
A11087602,202207,40746,0,0,0,0
A11001203,202207,53718,0,0,0,0
A11084601,202207,74054,0,0,2946,0
A11008001,202207,111897,0,0,11789,0
A11005401,202208,605995,0,0,14679,0
A11007001,202208,87052,0,0,2782,0
A11034001,202208,88200,0,0,2388,0
A11041001,202208,178117,0,0,5528,0
A11052201,202208,206332,0,0,8618,0
A11054101,202208,189916,0,0,8458,0
A11087601,202208,112316,0,0,4252,0
A10027118,202208,541260,0,0,22755,0
A11001203,202208,60087,0,0,0,0
A11084601,202208,82585,0,0,3156,0
A10025710,202208,97685,0,0,3167,0
A11034001,202209,65536,0,0,1876,0
A10027162,202209,3661,0,0,245,0
A11052201,202209,127976,0,0,8791,0
A10027118,202209,364709,0,0,22500,0
A10026946,202209,92773,0,0,6250,0
A11081302,202209,252561,0,0,16157,0
A10027708,202209,51376,0,0,6568,0
A10025710,202209,73152,0,0,3012,0
A11034001,202210,50043,0,0,3047,0
A11041001,202210,97736,0,0,5278,0
A10027162,202210,2337,0,0,0,0
A10023586,202210,39312,0,0,0,0
A11054301,202210,155016,0,0,287,0
A11077101,202210,208546,0,0,0,0
A11084601,202210,59908,0,0,2815,0
A11081503,202210,245378,0,0,0,0
A11005401,202211,371951,0,0,14093,0
A11007001,202211,58433,0,0,2867,0
A11041001,202211,95113,0,0,5042,0
A10027162,202211,2337,0,0,0,0
A11054301,202211,163645,0,0,287,0
A11077101,202211,210036,0,0,0,0
A11055002,202211,79348,2811,0,4867,0
A11087601,202211,71182,0,0,4034,0
A10026946,202211,87088,0,0,5545,0
A11001203,202211,41144,0,0,0,0
A11081503,202211,247138,0,0,34373,0
A11008001,202211,99330,0,0,11864,0
