code,date,elect,gas,heat,watercool,waterhot
A10088101,202201,123422,0,0,0,0
A10072501,202201,125763,0,0,4364,0
A10045403,202201,291970,0,0,17338,0
A10045302,202201,924613,0,0,54535,0
A10045402,202201,113218,0,0,0,0
A10045301,202201,411403,15695,0,22880,0
A10078103,202201,39908,0,0,2415,0
A10025456,202201,114572,0,0,5339,0
A10095502,202201,141063,0,0,5865,0
A10086801,202201,115473,0,0,4846,0
A10027364,202201,84422,0,0,4163,0
A10085903,202201,198670,0,0,13228,0
A10026517,202201,66281,0,0,3434,0
A10072501,202202,112480,0,0,4252,0
A10024327,202202,14783,0,0,637,0
A10045403,202202,277023,0,10456,16537,0
A10045601,202202,294846,0,0,0,0
A10045404,202202,439171,0,0,30308,0
A10078901,202202,272242,0,0,14174,0
A10078902,202202,34293,0,0,2537,0
A10078103,202202,34636,0,0,2193,0
A13302201,202202,68441,0,0,4090,0
A10025456,202202,103612,0,0,5214,0
A10095501,202202,23213,0,0,940,0
A10095502,202202,139770,0,0,5945,0
A10024359,202202,41040,0,0,1454,0
A10085903,202202,181939,0,0,11891,0
A10026517,202202,65615,0,0,3000,0
A10088101,202203,115276,0,0,0,0
A10072501,202203,120229,0,0,3875,0
A10086301,202203,100859,0,0,3989,0
A10028201,202203,42716,0,0,0,0
A10024327,202203,13707,0,0,619,0
A10045302,202203,821381,0,0,53765,0
A10045404,202203,389447,0,0,24559,0
A10078902,202203,36430,0,0,2304,0
A10045301,202203,342314,13454,0,24610,0
A10025372,202203,69611,0,0,2471,0
A10095501,202203,21311,0,0,901,0
A10044001,202203,62841,0,0,4134,0
A10086801,202203,110188,0,0,4314,0
A10024359,202203,32619,0,0,0,0
A10088102,202204,137944,0,11660,5996,2375
A10072501,202204,111306,0,0,4277,0
A10086301,202204,89008,0,0,3892,0
A10045403,202204,252881,0,0,17436,0
A10045601,202204,263993,0,0,0,0
A10045404,202204,399386,0,0,27359,0
A10045402,202204,110723,0,0,0,0
A10078901,202204,257533,0,0,13461,0
A10078902,202204,33396,0,0,2571,0
A10045301,202204,373054,0,0,23081,0
A10078103,202204,33887,0,0,2284,0
A13302201,202204,67325,0,0,4436,0
A10025456,202204,99379,0,0,5484,0
A10023488,202204,74725,0,0,0,0
A10044002,202204,589482,0,0,26695,0
A10044001,202204,62841,0,0,4134,0
A10086801,202204,103275,0,0,4843,0
A10027364,202204,81938,0,0,4258,0
A10026517,202204,61584,0,0,3254,0
A10088101,202205,113485,0,0,0,0
A10086301,202205,89158,0,0,4125,0
A10028201,202205,37458,0,0,0,0
A10024327,202205,14233,0,0,665,0
A10045601,202205,244179,0,0,0,0
A10045404,202205,363529,0,0,26347,0
A10045001,202205,126778,0,0,8185,0
A10045402,202205,116467,0,0,13060,0
A10078902,202205,33932,0,0,2477,0
A10045301,202205,336875,0,0,23852,0
A10078103,202205,35057,0,0,2431,0
A10025456,202205,102031,0,0,5372,0
A10025372,202205,46431,0,0,2522,0
A10023488,202205,71555,0,0,4020,0
A10095501,202205,23529,0,0,919,0
A10044002,202205,554949,0,0,25219,0
A10086801,202205,104971,0,0,4552,0
A10080701,202205,49501,0,0,3523,0
A10026517,202205,58690,0,0,3299,0
A10088101,202206,143176,0,0,7807,0
A10088102,202206,179387,0,0,5466,1708
A10072501,202206,144355,0,0,4325,0
A10045302,202206,817137,0,0,52321,0
A10045402,202206,105613,0,0,0,0
A10078901,202206,241386,0,0,13857,0
A10045301,202206,347808,0,0,23984,0
A10078103,202206,42232,0,0,2480,0
A10095502,202206,132002,0,0,5590,0
A10044002,202206,631940,0,0,27111,0
A10044001,202206,64618,0,0,4053,0
A10027364,202206,84481,0,0,4212,0
A10088101,202207,231313,0,0,0,0
A10072501,202207,234234,0,0,4141,0
A10086301,202207,134649,0,0,4280,0
A10071301,202207,207749,0,0,4584,0
A10028201,202207,53949,0,0,0,0
A10045403,202207,376888,0,0,18585,0
A10025456,202207,190465,0,0,5904,0
A10025372,202207,79994,0,0,2716,0
A10044001,202207,88095,0,0,4023,0
A10086801,202207,219140,0,0,4632,0
A10024359,202207,48195,0,0,0,0
A10085903,202207,256543,0,0,13930,0
A10026517,202207,91479,0,0,3413,0
A10072501,202208,222366,0,0,4161,0
A10086301,202208,116555,0,0,4195,0
A10024327,202208,33182,0,0,810,0
A10045403,202208,373767,0,0,18719,0
A10045601,202208,401357,0,0,0,0
A10045302,202208,1227758,0,0,55838,0
A10045001,202208,199203,0,0,9186,0
A10045402,202208,135204,0,0,0,0
A10078901,202208,404559,0,0,14630,0
A10078902,202208,43674,0,0,2709,0
A10045301,202208,500645,0,0,23897,0
A10078103,202208,46250,0,0,2606,0
A10045002,202208,383005,0,0,14999,0
A13302201,202208,92550,0,0,4715,0
A10025456,202208,176456,0,0,6011,0
A10025372,202208,94458,0,0,2797,0
A10023488,202208,91724,0,0,0,0
A10095501,202208,40696,0,0,813,0
A10095502,202208,275154,0,0,5867,0
A10044002,202208,949215,0,0,26202,0
A10044001,202208,100612,0,0,4055,0
A10086801,202208,201539,0,0,4730,0
A10024359,202208,52675,0,0,1630,0
A10027364,202208,147985,0,0,4044,0
A10085903,202208,254153,0,0,13717,0
A10080701,202208,90890,0,0,3567,0
A10026881,202208,524136,0,0,22320,0
A10026517,202208,101738,0,0,3219,0
A10088101,202209,144242,0,0,0,0
A10088102,202209,177815,0,0,5072,1224
A10072501,202209,146353,0,0,3999,0
A10086301,202209,89356,0,0,4249,0
