code,date,elect,gas,heat,watercool,waterhot
A13120701,202201,55803,0,0,3467,0
A13183202,202201,47864,0,0,0,0
A13183504,202201,162752,0,0,11283,0
A13120403,202201,116734,0,0,7418,0
A13184107,202201,159762,6562,0,10536,0
A13183405,202201,85073,0,0,0,0
A13184502,202201,17346,0,0,0,0
A13120001,202201,61473,0,0,5864,0
A13181201,202201,48110,0,0,2758,0
A10025159,202201,156483,0,0,8257,0
A10024443,202201,74016,0,0,4038,0
A10023835,202201,30798,0,0,0,0
A13185602,202201,144832,0,0,7273,0
A13170401,202201,154381,0,0,8663,0
A13186305,202201,215039,0,631059,15677,4391
A13187501,202201,49464,0,0,0,0
A13187702,202201,544993,977,0,27557,0
A13184804,202201,78199,0,0,3294,0
A13185508,202201,186132,0,0,12037,0
A13185502,202201,44553,0,0,0,0
A13185402,202201,67378,0,0,0,0
A10026469,202201,116945,0,0,5607,0
A13176102,202201,60264,0,0,6631,0
A13123101,202201,54774,0,0,2902,0
A13176902,202201,14228,0,47856,191,1327
A13186502,202201,54236,0,0,3991,0
A13178101,202201,413694,0,99166,18690,9983
A13113003,202201,177752,0,1293,9609,5970
A13113004,202201,235882,0,669319,15817,6088
A13187305,202201,232301,0,71566,15391,5053
A13186907,202201,194020,0,0,0,0
A13113007,202201,577380,0,0,30359,0
A10025397,202201,33397,0,0,2067,0
A13184401,202202,54416,0,0,0,0
A13183504,202202,163015,0,0,10182,0
A13181203,202202,122727,0,0,0,0
A13184107,202202,159547,5691,0,10378,0
A13183405,202202,84710,0,0,10386,0
A13120704,202202,67549,0,0,6640,0
A13184502,202202,51477,0,0,0,0
A13177701,202202,231289,0,0,1,0
A13184208,202202,181960,0,0,0,0
A13183502,202202,62076,0,0,0,0
A13181201,202202,48230,0,0,2876,0
A10028033,202202,89251,0,0,8835,0
A10025159,202202,145958,0,0,7091,0
A10024703,202202,132348,0,0,6629,0
A10023835,202202,27261,0,0,2226,0
A13122002,202202,186660,0,0,9271,0
A13185603,202202,108343,0,0,0,0
A13170401,202202,153565,0,0,8512,0
A13186305,202202,199131,0,574285,11568,6193
A13185607,202202,323687,0,0,0,0
A13122001,202202,149154,0,0,9767,0
A10027670,202202,121868,0,0,4934,0
A13184610,202202,389768,0,1826927,26630,11167
A13185508,202202,197726,0,0,12480,0
A13185507,202202,93566,0,0,0,0
A13185502,202202,42791,0,0,4816,0
A13185402,202202,62042,0,2393,0,0
A13123102,202202,211349,0,0,13275,0
A13123001,202202,54111,0,0,7022,0
A10023816,202202,4039,0,104,1999,667
A10024008,202202,66950,2207,139,3021,1145
A10024018,202202,61194,0,171,3704,1565
A10024214,202202,147054,0,0,8182,3527
A13186503,202202,65266,0,0,0,0
A13113002,202202,79582,0,0,4881,0
A13186502,202202,50530,0,0,3506,0
A13176901,202202,344809,0,69305,20824,6097
A13113003,202202,180273,0,1140,9315,7276
A13186504,202202,75937,0,0,5127,0
A13187406,202202,163191,0,0,10630,0
A13186907,202202,202990,0,0,0,0
A13187201,202202,205898,0,594,11702,5617
A13113008,202202,382598,0,0,24556,0
A10025397,202202,33879,0,0,2088,0
A13183202,202203,45446,0,0,0,0
A13184301,202203,73673,0,0,8621,0
A13183701,202203,57894,0,0,5741,0
A13181203,202203,127686,0,0,0,0
A13120704,202203,52983,0,0,0,2124
A13120001,202203,59476,0,2032,6572,0
A13188406,202203,109537,0,0,0,0
A13184208,202203,166004,0,0,0,0
A13183502,202203,58224,0,0,0,0
A13175103,202203,252424,0,0,0,0
A10028033,202203,77994,0,0,0,0
A10025159,202203,155438,0,0,8404,0
A10024443,202203,71878,0,0,4328,0
A10024741,202203,511630,0,0,23123,0
A13185602,202203,125902,0,0,6066,0
A13185603,202203,119994,0,0,0,0
A13170401,202203,135436,0,0,8602,0
A13185607,202203,287674,0,0,0,0
A13122001,202203,133162,0,0,9784,0
A13187702,202203,410244,997,0,27966,0
A13185508,202203,159919,0,0,11110,0
A13114201,202203,49491,0,0,3537,0
A10026469,202203,111489,0,0,5506,0
A13176102,202203,63309,0,0,6099,0
A13123002,202203,121352,0,0,7161,0
A10024008,202203,62119,2585,69,3538,1496
A10024214,202203,136224,0,175,9202,3941
A13186801,202203,39229,0,0,2608,0
A13186503,202203,65577,0,0,0,0
A13176902,202203,9841,0,32859,191,1328
A13113002,202203,70350,0,0,5192,0
A13113006,202203,64501,0,2974,3749,0
A13113001,202203,54212,0,0,4401,0
A13186502,202203,44943,0,0,3826,0
A13178101,202203,383106,0,69847,18666,9589
A13176901,202203,295475,0,35833,22103,11723
A13113003,202203,159466,0,719,10102,6256
A13186708,202203,277469,0,356822,0,7394
A13187201,202203,184970,0,330,13352,5039
A13184401,202204,49617,0,0,0,0
A13184107,202204,144828,5821,0,10862,0
A13120704,202204,50306,0,0,6693,0
A13183303,202204,44285,0,0,3193,0
A13120001,202204,53662,0,0,0,0
A13177701,202204,208858,0,0,5,0
A13183204,202204,110708,0,0,0,0
A10025159,202204,139550,0,0,7993,0
A10024703,202204,125630,0,0,7023,0
A10024741,202204,464463,0,0,25583,0
A13122002,202204,178861,0,0,9127,0
A13185602,202204,128953,0,0,7221,0
A13170401,202204,138019,0,0,8781,0
A13186305,202204,189319,0,112069,14382,4356
A13122001,202204,139982,0,0,9993,0
A13187501,202204,45513,0,0,0,0
A13176801,202204,42181,0,0,0,0
A13114103,202204,58060,0,0,3427,0
A13184804,202204,55529,0,0,3496,0
A13184609,202204,197013,0,17681,13753,4445
A13184610,202204,361633,0,337345,26945,9732
A13114106,202204,65844,0,0,8375,0
A13185508,202204,166435,0,0,11848,0
A13185501,202204,44226,0,0,6364,0
A13185502,202204,38700,0,0,5181,0
A13114002,202204,161141,0,0,12388,7200
A13114201,202204,49820,0,0,3231,0
A10025855,202204,203805,0,0,25679,0
A10023815,202204,24618,0,1200,1253,568
A13123002,202204,126413,0,0,7845,0
A13123101,202204,51842,0,0,2883,0
A13176902,202204,7398,0,15900,192,1287
A13113002,202204,74321,0,0,5118,0
A13113006,202204,58301,0,2735,4158,0
A13186502,202204,44809,0,0,3822,0
A13113004,202204,206035,0,154859,15829,5535
A13187305,202204,213598,0,19267,16031,5522
A13187203,202204,235393,0,192334,17230,5761
A13113007,202204,507656,0,0,38191,0
A10027775,202204,30383,0,0,1755,0
A13181203,202205,115157,0,0,0,0
A13120403,202205,97741,0,0,7556,0
A13184107,202205,134298,6089,0,9888,0
A13183405,202205,69773,0,0,0,0
A13184502,202205,55833,0,0,0,0
A13188406,202205,97956,0,0,0,0
A13183204,202205,101902,0,0,0,0
A10028033,202205,74697,0,0,0,0
A10024443,202205,72330,0,0,4409,0
A10024741,202205,471783,0,0,24661,0
A13122002,202205,181811,0,0,8633,0
A13185602,202205,117588,0,0,7011,0
A13170401,202205,128844,0,0,8843,0
A13186305,202205,194830,0,25461,15320,3959
A13185607,202205,265167,0,0,0,0
A13122001,202205,127286,0,0,9511,0
A13187501,202205,42280,0,0,0,0
A13187702,202205,459366,394,0,29365,0
A13176801,202205,43663,0,0,6205,0
A13184609,202205,172655,0,5876,14211,4037
A13185508,202205,155972,0,0,11757,0
A13185501,202205,36956,0,0,0,0
A13185507,202205,86092,0,0,9112,0
A13185502,202205,40648,0,0,0,0
A13114201,202205,39786,0,0,3274,0
A10023815,202205,28853,0,0,1211,487
A10023834,202205,18092,0,0,985,0
A13176102,202205,61279,0,0,5936,0
A10023816,202205,154541,0,48,8808,3005
A10024008,202205,61069,2692,4,3795,1302
A10024018,202205,69621,0,3,4766,1571
A13176902,202205,7243,0,6188,191,1224
A13113002,202205,67272,0,0,5185,0
A13186504,202205,69322,0,0,5600,0
A13187406,202205,134110,0,0,10417,0
A13186907,202205,165082,0,0,0,0
A13113007,202205,509441,0,0,30341,0
A13184401,202206,46310,0,0,0,0
A13184301,202206,70557,0,0,0,0
A13183701,202206,54656,0,0,0,0
A13181203,202206,121400,0,0,0,0
A13184107,202206,132765,6408,0,10597,0
A13184502,202206,58335,0,0,0,0
A13183303,202206,42486,0,0,3253,0
A13120001,202206,58284,0,0,0,0
A13183204,202206,109060,0,0,0,0
A10028033,202206,76907,0,0,9303,0
A10024741,202206,528383,0,0,26254,0
A13122002,202206,211353,0,0,9156,0
A13170401,202206,128677,0,0,9704,0
A13186401,202206,119630,0,0,6977,0
A13185607,202206,276053,0,0,0,0
A13187702,202206,487456,131,0,32111,0
A13114103,202206,53956,0,0,3482,0
A13184804,202206,51473,0,0,3598,0
A13184610,202206,410248,0,0,26994,7011
A13114106,202206,61155,0,0,8791,0
A13185501,202206,38970,0,0,6253,0
A13185402,202206,55502,0,0,0,0
A10025855,202206,220644,0,0,26663,0
A10026469,202206,132519,0,0,5272,0
A10023815,202206,36884,0,0,1153,425
A10023834,202206,21022,7842,0,1126,0
A10024008,202206,63827,2760,1,3663,961
A13186503,202206,65807,0,0,0,0
A13113001,202206,53766,0,0,3685,0
A13186502,202206,42988,0,0,3917,0
A13178101,202206,383178,0,0,21745,6482
A13113003,202206,145511,0,94,9726,4060
A13187306,202206,33691,0,8275,64,3583
A13113004,202206,216141,0,1155,15786,4092
A13187305,202206,205462,0,14,15577,4047
A13186907,202206,170079,0,0,0,0
A13186708,202206,266676,0,0,0,4314
A13187201,202206,180519,0,0,13216,3241
A13187203,202206,241574,0,0,17432,4430
A13113008,202206,400419,0,0,25449,0
A13187406,202302,149165,0,0,9653,0
A13113004,202302,199881,0,442829,14756,6186
A13187305,202302,231303,0,47715,16842,8570
A13186708,202302,238524,0,492719,0,6086
A13113008,202302,366391,0,0,23178,0
A10025397,202302,34129,0,0,1980,0
A13120701,202303,43428,0,0,3246,0
A13184301,202303,69076,0,0,7873,0
A13183504,202303,133113,0,0,10584,0
A13183701,202303,52913,0,0,5380,0
A13181203,202303,119761,0,0,0,0
A13184107,202303,129182,5668,0,9284,0
A13183405,202303,68198,0,0,0,0
A13120704,202303,47908,0,0,0,0
A13120001,202303,54077,0,0,5963,0
A13177701,202303,191378,0,0,0,0
A13183204,202303,99810,0,0,0,0
A13184208,202303,154202,0,0,0,0
A13183502,202303,55780,0,0,0,0
A13175103,202303,233629,0,0,0,0
A10028033,202303,73391,0,0,0,0
A10024703,202303,132629,0,0,7193,0
A10024443,202303,73062,0,0,4128,0
A10024741,202303,485817,0,0,22065,0
A13122002,202303,293530,4070,0,10066,0
A13185603,202303,110929,0,0,0,0
A13186401,202303,91650,0,0,5798,0
A13186305,202303,198057,0,195959,13115,4274
A13122001,202303,122842,0,0,8976,0
A13176801,202303,45632,0,0,5694,0
A13184609,202303,173761,0,26184,13726,4828
A13184610,202303,373543,0,696533,26394,10188
A13114106,202303,59141,0,0,0,0
A13185501,202303,41411,0,0,5634,0
A13185507,202303,72557,0,0,9275,0
A13185502,202303,40693,0,0,0,0
A13114002,202303,164880,0,0,11781,0
