code,date,elect,gas,heat,watercool,waterhot
A12175203,202201,1286029,0,0,70448,0
A10027951,202201,45190,0,0,2511,0
A10027906,202201,316153,0,1071,17392,6324
A10027090,202201,161495,0,0,7993,0
A12170601,202201,246482,0,0,10775,0
A12102008,202201,213440,0,0,12938,0
A10024408,202201,112385,0,0,5417,0
A10024626,202201,36187,0,0,2000,0
A12185304,202201,129998,0,0,8362,0
A12179002,202201,67206,0,0,4686,0
A12103002,202201,95572,3511,0,5732,0
A12181406,202201,366773,0,0,20535,6011
A12170401,202201,45731,0,0,2647,0
A12104007,202201,515061,0,0,25614,7217
A12170402,202201,206903,0,0,7237,0
A12181404,202201,269109,0,0,17243,5629
A12187602,202201,126648,0,0,7740,0
A12181103,202201,395262,0,1618,27319,10064
A12172401,202201,197104,0,0,9959,0
A12187403,202201,47390,187,0,705,0
A10026036,202201,266110,9912,0,16026,0
A12172201,202201,76190,0,0,2547,0
A12171201,202201,101375,0,0,6212,0
A12185605,202201,98037,0,0,6434,3986
A12185606,202201,154079,0,0,6637,0
A12185504,202201,78709,0,0,4676,0
A12185603,202201,65318,0,0,3713,0
A10024974,202201,329998,0,808,16638,7316
A12112001,202201,73639,8,0,3490,0
A12177801,202201,99192,0,0,3390,0
A12119006,202201,211195,0,0,12462,0
A12119004,202201,127101,0,0,7560,0
A10025633,202201,93147,0,0,4132,0
A10024425,202201,103198,0,0,4315,0
A12182901,202201,112472,0,0,5305,0
A12170702,202201,164098,0,599,11333,4333
A10028177,202201,128100,0,337,7837,3040
A12115001,202201,217358,0,67237,10193,3795
A12184201,202201,59548,0,0,0,0
A10024891,202201,216004,0,0,6900,0
A10027301,202201,81386,0,0,2898,0
A12182401,202201,89596,0,0,0,0
A10026053,202201,129960,0,0,6284,0
A12186901,202201,141293,0,0,8816,0
A12185004,202201,1142746,0,594159,15280,15280
A12171101,202201,104832,0,0,5568,0
A12125202,202201,240839,0,1154,16064,6077
A10027157,202201,45083,0,0,2066,0
A12187904,202201,116893,0,15432,0,2838
A12187703,202201,87931,0,0,5794,0
A12187905,202201,140484,0,0,8721,0
A12187902,202201,64737,0,0,8440,0
A12127006,202201,244289,0,78379,14501,5693
A12179508,202201,258173,0,67015,17175,5585
A12179501,202201,40314,0,7035,2380,937
A12179505,202201,111335,0,37208,7204,2774
A12101001,202202,55028,0,0,2980,0
A12170601,202202,241773,0,0,11155,0
A12102008,202202,216047,0,0,12995,7109
A12180407,202202,163603,0,0,11032,0
A12170603,202202,250338,0,0,12425,0
A12170602,202202,40739,0,0,2397,0
A12102002,202202,63251,0,0,3558,0
A12180401,202202,46095,0,0,2914,0
A12180506,202202,164691,0,0,10218,6296
A10024408,202202,111726,0,0,5373,0
A12185304,202202,117276,0,0,8515,0
A12179002,202202,75393,0,0,5021,0
A12103002,202202,98118,3122,0,6012,0
A12181403,202202,136661,0,0,7962,0
A12104005,202202,287482,11647,0,0,6049
A12181404,202202,241159,0,0,17620,5753
A12172401,202202,176872,0,0,10204,0
A12181101,202202,51125,1953,0,0,0
A12181102,202202,93668,0,306921,5944,3205
A10025003,202202,345780,0,0,16204,0
A12109001,202202,178216,0,49568,10410,4192
A12187403,202202,46967,434,0,365,0
A10026036,202202,266110,9912,0,16026,0
A10024347,202202,450821,0,0,24126,0
A12172201,202202,69736,0,0,2498,0
A12185605,202202,97662,0,0,5578,3420
A12185606,202202,150412,0,0,5939,3332
A12185504,202202,78827,0,0,4517,0
A12185603,202202,64814,0,0,3899,0
A12112001,202202,75759,45,0,3314,0
A10027714,202202,222685,0,585,12473,4883
A12119007,202202,192020,0,0,0,0
A12188201,202202,67095,0,0,0,0
A12188205,202202,157599,0,0,9493,0
A12188202,202202,70653,0,0,4135,0
A12119004,202202,111898,0,0,7575,0
A12182901,202202,110925,0,0,5365,0
A10028177,202202,126957,0,281,6904,2684
A12184201,202202,60411,1134,0,5936,0
A10024891,202202,210212,0,0,6431,0
A12123001,202202,57390,0,0,8138,0
A12182101,202202,69685,0,0,0,0
A12182401,202202,77255,0,0,10430,0
A10026053,202202,128808,0,0,5784,0
A12185001,202202,41650,0,0,2958,0
A12125001,202202,53845,0,8672,7013,1138
A12185004,202202,775978,0,0,0,21105
A12187901,202202,54337,0,0,3610,0
A12187904,202202,125801,5510,17631,0,2996
A12187703,202202,86207,0,0,5806,0
A12187905,202202,125938,0,0,7917,0
A12127004,202202,167304,0,48837,11137,4578
A12127005,202202,208235,0,84349,13263,5623
A12127001,202202,123817,0,45208,8124,2802
A12179504,202202,267760,10005,68300,34226,5977
A12127002,202202,143309,0,45317,9664,3604
A12127008,202202,194490,0,61719,11527,4443
A12179501,202202,39107,0,6410,2058,822
A12101001,202203,47822,1608,0,3166,0
A10027951,202203,39647,0,0,2266,0
A12102008,202203,192720,0,0,12879,0
A12102002,202203,53917,0,0,3275,0
A10027748,202203,98752,0,0,4932,0
A10024408,202203,101724,0,0,5016,0
A12179001,202203,107897,0,0,0,0
A12179005,202203,58459,0,0,3194,0
A12185303,202203,192233,0,63162,9043,5516
A12179002,202203,70985,0,0,4592,0
A12181406,202203,314821,0,0,17998,5851
A12170401,202203,40155,0,0,2538,0
A12104007,202203,472440,0,0,20879,5938
A12170402,202203,182560,0,0,6958,0
A12181404,202203,260367,0,0,16956,5244
A12181103,202203,348381,0,846,27251,9412
A10024347,202203,486351,0,0,22294,0
A12185602,202203,49917,0,0,3603,0
A12185605,202203,86196,0,0,6309,0
A12185606,202203,128264,0,0,6954,0
A12185504,202203,67683,0,0,5064,0
A12185603,202203,56681,2566,0,3527,0
A12112001,202203,63865,28,0,3506,0
A12119007,202203,168449,0,0,0,0
A12188201,202203,57172,0,0,7961,0
A12188205,202203,167642,0,0,10495,0
A12188202,202203,62082,0,0,4457,0
A12119004,202203,123022,0,0,6993,0
A12177802,202203,53448,1922,0,0,0
A12182901,202203,98433,0,0,4980,0
A10028177,202203,114816,0,155,7902,2913
A12115001,202203,182510,0,35377,11387,4011
A12114001,202203,137565,0,0,9910,0
A12174601,202203,322440,0,0,11207,0
A10027902,202203,84414,0,0,3042,0
A10026053,202203,114976,0,0,6316,0
A12186901,202203,133985,0,4668,7917,0
A12185003,202203,276790,0,70888,0,5751
A10027157,202203,39481,0,0,2026,0
A12187904,202203,124263,0,16008,0,2772
A12187703,202203,75713,0,0,5175,0
A12127007,202203,150768,0,8615,10381,3180
A12127004,202203,147079,0,29330,10260,4055
A12127005,202203,219468,0,61759,14440,5885
A12127001,202203,133212,0,35125,8073,3009
A12127006,202203,235432,0,46042,13727,5635
A12179504,202203,289025,0,43964,0,6347
A12179503,202203,168464,0,26208,11152,3693
A12127008,202203,165914,0,39865,12802,4384
A12179501,202203,35329,0,4680,2319,918
A12101001,202204,49805,0,0,3369,0
A12175203,202204,1220169,0,0,67807,0
A10027951,202204,42522,0,0,2492,0
A10027906,202204,297076,0,116,16478,5337
A10027090,202204,147325,0,0,7656,0
A12102008,202204,201452,0,0,11963,0
A12102002,202204,56326,0,0,3486,0
A12180401,202204,41862,0,0,2774,0
A10027748,202204,90347,0,0,5530,0
A10024626,202204,35488,0,0,2091,0
A12185303,202204,212292,0,22894,10775,6077
A12104007,202204,471904,0,0,24493,6106
A12104005,202204,267705,11531,0,0,5134
A12187602,202204,115314,0,0,7707,0
A10028006,202204,173293,0,59,9392,3514
A12105001,202204,87477,0,0,5475,0
A12181103,202204,365370,0,310,26323,8301
A12172401,202204,171684,0,0,10334,0
A12181101,202204,47642,0,0,0,0
A12181102,202204,89174,0,76759,6624,2293
A10025003,202204,337002,0,0,16899,0
A12109002,202204,158605,0,0,11020,0
A12109001,202204,180803,0,10676,11410,4050
A12172201,202204,66015,0,0,2689,0
A12171201,202204,91284,0,0,6185,0
A12185605,202204,88164,0,0,5895,0
A12185603,202204,59630,0,0,3993,0
A10024974,202204,301069,0,90,15861,6080
A12112001,202204,65316,15,0,3551,0
A12119007,202204,169826,0,0,0,0
A12188202,202204,64538,0,0,4505,0
A12177801,202204,88931,0,0,3444,0
A12177802,202204,48086,0,0,0,0
A10024425,202204,96450,0,0,4925,0
A12170702,202204,134167,0,77,9844,3321
A10028177,202204,121764,0,46,7724,2611
A12114001,202204,142427,0,0,9942,0
A12174601,202204,294990,0,0,11689,0
A10024891,202204,188198,0,0,7102,0
A10027902,202204,77267,0,0,2916,0
A10027301,202204,71239,0,0,2716,0
A12185001,202204,41729,0,0,2868,0
A12185003,202204,301694,0,33569,0,5897
A12127004,202204,145036,0,8016,10936,4052
A12127005,202204,184517,0,22304,13102,5000
A12127001,202204,118799,0,14484,8260,2632
A12127006,202204,212356,0,18580,14517,5001
A12179508,202204,227642,0,14705,17006,4780
A12179504,202204,262482,0,13686,35566,5700
A12179503,202204,152632,0,10881,10894,3420
A12127008,202204,176460,0,16493,12350,3873
A12179505,202204,100280,0,7268,7103,2369
A12175203,202205,1114303,0,0,69484,0
A10027951,202205,40713,0,0,2551,0
A12102008,202205,182483,0,0,13189,0
A12170603,202205,219211,0,0,12327,0
A12102002,202205,53301,0,0,3530,0
A12185304,202205,110419,0,0,8063,0
A12179001,202205,98857,0,0,0,0
A12179005,202205,55655,0,0,3419,0
A12185303,202205,197434,0,0,10234,4873
A12103002,202205,82121,0,0,5536,0
A12181406,202205,297708,0,0,20589,4918
A12104007,202205,305137,0,0,21677,5419
A12170402,202205,272040,0,0,6907,0
A12104001,202205,45165,0,0,0,0
A12187602,202205,108383,0,0,7451,0
A12105001,202205,79257,0,0,5662,0
A10025003,202205,339850,0,0,17722,0
A12109002,202205,143145,0,0,9895,0
A12109001,202205,170774,0,3198,11345,3564
A10026036,202205,230352,11064,0,15380,0
A12185605,202205,79996,0,0,6472,0
A12185606,202205,120890,0,0,6453,0
A12185504,202205,64251,0,0,4619,0
A10027714,202205,230604,0,50,13501,3791
A12119007,202205,158207,0,0,0,0
A12119004,202205,113626,0,0,7277,0
A10025633,202205,80534,0,0,4082,0
