code,date,elect,gas,heat,watercool,waterhot
A13986306,202202,647882,0,293415,0,13599
A13922904,202202,117775,0,0,0,0
A13986012,202202,242972,0,0,0,0
A13986702,202202,62652,0,0,0,0
A13922108,202202,161718,0,638927,6538,4537
A13922003,202202,109190,0,0,5455,0
A13972602,202202,79060,0,2611,4361,0
A13985201,202203,54830,0,0,0,0
A13984813,202203,74591,0,132373,0,10895
A13987501,202203,54579,0,0,2730,0
A13905105,202203,308371,0,0,22767,0
A13987503,202203,47248,0,0,3200,0
A13984004,202203,889112,0,0,54683,0
A13991016,202203,56869,2676,0,4065,0
A13985103,202203,107367,0,25571,6921,2403
A13984003,202203,168050,0,0,0,5923
A13905301,202203,69048,0,0,4574,0
A13991015,202203,40432,0,0,2770,0
A13984005,202203,697120,0,59781,46082,16771
A10027121,202203,89147,3812,0,4461,0
A10027716,202203,152517,0,0,8057,0
A13924003,202203,156094,0,0,10272,0
A13980801,202203,39054,0,0,2517,0
A13980018,202203,138425,0,58968,11861,4652
A13980009,202203,119229,195,0,30,0
A13924004,202203,261831,0,0,14875,0
A13980510,202203,27144,0,26713,15280,5382
A13924205,202203,74322,0,0,4742,0
A13980413,202203,57032,0,0,3965,0
A13980402,202203,59226,0,0,3527,0
A13980108,202203,92530,0,0,5768,0
A13980004,202203,78237,0,10877,5588,1879
A13980706,202203,60342,0,0,3889,0
A13980401,202203,61729,0,0,3562,0
A13980017,202203,100498,0,28958,3970,2320
A10023478,202203,17482,0,0,1694,0
A13987303,202203,328121,0,0,22500,8838
A13993502,202203,164691,0,9739,11898,3656
A13993901,202203,113887,0,13783,7134,2936
A13987301,202203,62488,0,24228,1676,2230
A13982701,202203,130378,0,9413,7811,2586
A13920205,202203,102883,4075,0,7040,0
A13920001,202203,111970,0,0,10365,0
A13983707,202203,85983,0,0,6481,0
A13981405,202203,165653,0,0,9668,3298
A13983608,202203,128689,0,0,6957,0
A13982604,202203,805264,0,50135,0,17545
A13981901,202203,165353,0,17453,0,4739
A13982003,202203,116858,0,14307,4661,2931
A13971501,202203,237090,0,2962,12001,3048
A13989701,202203,197137,0,0,14656,0
A13920803,202203,470886,0,48311,0,9577
A13994302,202203,25393,0,8639,0,3390
A13983709,202203,137259,0,0,10012,0
A13981606,202203,128735,0,0,6143,0
A13983803,202203,62325,0,0,3795,0
A13980903,202203,59192,0,0,0,0
A13982702,202203,160955,0,9174,10363,2890
A13981001,202203,38044,0,0,1892,0
A13982704,202203,444423,0,102830,0,10394
A13982202,202203,324308,0,32579,0,10088
A13983101,202203,27964,0,4206,0,960
A13920202,202203,76249,0,0,0,0
A13981006,202203,177694,0,0,10927,0
A13983811,202203,149500,0,25496,6579,3833
A13971502,202203,472829,0,57253,18632,8797
A13989702,202203,80706,0,0,8087,0
A13983004,202203,390020,0,48222,0,13364
A13983105,202203,481494,0,38323,0,11672
A10027601,202203,129838,0,181,8428,3694
A10024547,202203,305042,0,0,17616,0
A13985402,202203,76865,0,0,0,0
A13985904,202203,83254,0,12639,3927,2517
A13986606,202203,129726,0,0,242,0
A13922102,202203,73998,0,0,4693,0
A13986013,202203,266889,0,0,0,7779
A13922103,202203,76633,0,0,5268,0
A13986302,202203,939819,0,102782,63235,21736
A13985908,202203,225805,0,22010,6070,5210
A13922114,202203,487629,0,45951,0,14394
A13986701,202203,43708,1746,0,0,0
A13986703,202203,95002,0,0,6318,0
A13986012,202203,217436,0,0,0,0
A13986504,202203,430223,0,35126,0,15379
A13922110,202203,194353,0,356801,8214,6001
A13922108,202203,162138,0,318598,6907,4517
A13986201,202203,54731,0,0,3807,0
A13986009,202203,236941,0,24847,8348,5499
A13922901,202203,54896,0,0,0,0
A13991017,202204,61726,0,0,4731,0
A13905208,202204,13025,0,30279,7368,2310
A13905102,202204,63597,0,0,0,0
A13985201,202204,117355,0,0,0,0
A13984813,202204,64480,0,68352,0,7704
A13987503,202204,42814,0,0,3162,0
A13991016,202204,50498,0,0,4087,0
A13985103,202204,95052,0,8711,6846,2137
A13984003,202204,175965,0,0,0,4722
A13905003,202204,143718,0,0,10269,0
A13987502,202204,73271,0,0,4638,0
A13991018,202204,247372,0,0,16457,0
A13905101,202204,49133,0,0,2843,0
