code,date,elect,gas,heat,watercool,waterhot
A13782601,202201,73766,0,29492,4340,1940
A13785302,202201,133510,0,0,0,0
A13706001,202201,98701,0,0,0,0
A13782602,202201,205489,0,0,11504,6654
A13770801,202201,27039,0,0,1471,0
A13783001,202201,172751,0,0,0,0
A13784401,202201,72966,12,0,3373,0
A13771601,202201,188335,0,0,9838,0
A13785004,202201,159456,0,112583,5319,3232
A13785005,202201,139567,0,0,8977,2813
A13785201,202201,128447,0,0,8301,0
A13785001,202201,86131,0,0,4144,1209
A13783802,202201,54605,0,0,3749,0
A10024171,202201,246335,0,780,11349,5067
A13789002,202201,27262,0,0,1461,0
A13713001,202201,71702,0,0,4976,0
A13713002,202201,124724,0,0,7062,0
A13789203,202201,231916,0,0,0,5731
A13790004,202201,135453,0,0,4950,2239
A13778208,202201,55694,1878,0,2558,0
A13778203,202201,98062,0,0,4596,0
A13778202,202201,162488,0,0,10052,0
A13790002,202201,68063,0,0,0,0
A13778204,202201,356679,0,0,20624,0
A13703019,202201,163094,0,867886,10260,3782
A13790828,202201,400437,0,0,0,5430
A13703011,202201,150417,0,406,5704,2070
A13703027,202201,295110,0,0,20349,0
A13790709,202201,58994,0,0,3329,1502
A13790717,202201,73117,0,0,2591,1478
A13790929,202201,573961,0,2711000,0,18278
A13790706,202201,54957,0,0,2481,1079
A13790707,202201,75742,2396,23561,2658,2094
A13790604,202201,40611,0,0,1521,0
A13790902,202201,21181,0,0,0,0
A13790722,202201,163614,0,26157,7603,3803
A13790612,202201,120023,0,0,0,2172
A10026004,202201,182446,0,637,11315,4879
A13790721,202201,94453,0,0,4843,2184
A10024913,202201,253265,0,784,13680,5995
A10027439,202201,318964,6277,920,17379,7365
A10023971,202201,94617,0,605,3347,1644
A13704404,202201,459663,0,0,26592,10211
A13776510,202201,165691,0,565,8638,3814
A13780402,202201,56862,0,0,3465,1304
A13704101,202201,78099,0,12861,3513,1106
A13704104,202201,1392851,0,4450075,72094,28007
A10027205,202201,663714,0,1863,33381,13223
A10026015,202201,273981,0,632145,14196,5616
A13770608,202201,126945,0,32709,0,1176
A13707203,202201,39179,0,0,1526,0
A13788203,202201,168621,0,61957,3610,3610
A13788002,202201,118344,0,0,7454,2215
A13792001,202201,739035,0,210686,29667,19480
A13770607,202201,76844,0,0,3552,0
A13707006,202201,76757,0,0,2631,0
A13785604,202201,184967,0,0,10557,3839
A13788206,202201,690854,0,1323,16880,6210
A13786704,202201,62093,0,0,4105,0
A13788003,202201,96199,0,38719,6670,2333
A13770611,202201,78556,0,0,4155,0
A13786601,202201,66231,0,26389,3842,1587
A13707010,202201,84590,0,0,3776,0
A13770609,202201,321712,0,73288,12598,3909
A13788201,202201,50095,0,15721,2885,1257
A13707009,202201,125821,0,461,7532,2866
A13787102,202201,17266,0,0,0,0
A10026941,202201,340378,0,797,16045,6488
A10026411,202201,211835,0,542,10820,4560
A10027221,202201,148990,0,422,8729,3592
A10024574,202201,113622,0,0,5332,0
A10024240,202201,435234,0,1341,22752,9974
A10028021,202201,283276,0,0,14763,0
A13716002,202201,185563,6840,0,9602,0
A13782601,202202,72750,0,24462,4370,1961
A13706001,202202,99121,0,0,10283,0
A13785203,202202,178153,0,0,11696,0
A13785301,202202,218885,0,0,10519,0
A13783001,202202,172928,0,0,8874,0
A13784401,202202,64987,15,0,3319,0
A13784102,202202,94408,0,0,3896,0
A13782803,202202,215641,0,0,7553,0
A13785001,202202,84695,0,0,4222,1233
A13782804,202202,404977,0,0,14203,4866
A13771001,202202,283740,0,0,13660,0
A10024171,202202,225321,0,709,10363,4698
A13713001,202202,71706,2513,0,4214,0
A13789201,202202,59197,1731,0,0,0
A13789203,202202,239615,0,0,0,5619
A13790004,202202,136206,3946,0,5486,2520
A13778201,202202,129117,0,0,7119,0
A13778210,202202,123320,0,0,6720,0
A13778205,202202,397523,0,14113,23856,0
A13778203,202202,106685,0,0,3653,0
A13790002,202202,67711,0,0,0,0
A13703019,202202,161253,0,723808,10096,3821
A13703011,202202,150301,0,336,5132,1826
A13703027,202202,291768,0,0,18204,0
A13790709,202202,59857,0,0,3346,1517
A13790929,202202,513014,0,2267200,0,23042
A13790707,202202,73452,2280,21937,2689,2064
A13790604,202202,42262,0,0,1598,0
A13790722,202202,146245,0,23293,7416,3952
A13790701,202202,41488,0,0,0,873
A13790910,202202,69227,0,297,2887,1733
A13790612,202202,119345,0,0,0,2075
A13790713,202202,104479,0,0,6797,0
A13790620,202202,117647,0,24874,2792,2792
A13790714,202202,94773,0,0,4241,3066
A13790721,202202,95818,0,0,4831,2233
A10025418,202202,164153,0,430,8544,3417
A10024913,202202,244886,0,709,11031,4642
A10027439,202202,286482,0,792,17036,6592
A10023971,202202,89542,0,507,3610,1752
A13776301,202202,375942,0,969,21432,8838
A13704101,202202,75764,0,11059,3275,1081
A13704104,202202,1305479,0,3804154,66480,25877
A10027205,202202,660780,0,1596,32977,11976
A10026051,202202,333262,3768,706,12507,5119
A10024254,202202,254862,0,595,13459,5671
A13770608,202202,127001,0,30059,6227,1157
A13785705,202202,156989,0,86838,2976,2976
A13788002,202202,116097,0,0,7351,2219
A13792001,202202,703480,0,199802,31194,19651
A13785607,202202,448275,0,1312,17817,7282
A13787105,202202,82164,0,0,4577,0
A13707006,202202,69111,0,0,2249,0
A13786606,202202,115678,0,0,0,0
A13788206,202202,656177,0,1061,14940,5653
A13786704,202202,64761,0,0,3811,0
A13788003,202202,96455,0,36162,5910,2347
A13770611,202202,70013,0,0,3682,0
A13770609,202202,317868,0,83902,13144,4582
A13786901,202202,64271,0,0,2985,0
A13775102,202202,210744,0,0,3695,0
A13786803,202202,35064,0,0,1700,0
A13787102,202202,15268,0,0,0,0
A13792306,202202,150314,0,0,4539,0
A10026941,202202,295720,0,646,14522,5837
A10024574,202202,103020,0,0,4781,0
A10024240,202202,456605,3185,1121,20680,9095
A10028021,202202,253737,0,0,14779,0
A10028105,202202,139932,0,0,7265,0
A13716002,202202,164229,4944,0,8329,0
A13785302,202203,135268,0,0,0,0
A13785301,202203,81844,0,0,5820,0
A13784907,202203,153928,0,0,0,3118
A13783001,202203,151307,0,0,0,0
A13782902,202203,79431,0,0,4738,0
A13784401,202203,68194,16,0,3185,0
A13784102,202203,81825,0,0,3944,0
A13782803,202203,191821,0,0,6303,0
A13785008,202203,201759,0,0,11881,0
A13785005,202203,113467,0,0,7714,2254
A13785201,202203,117007,0,0,8237,0
A13771001,202203,303998,0,0,12459,0
A13713001,202203,64433,2680,0,4300,0
A13789201,202203,50560,1889,0,0,0
A13713002,202203,113873,0,0,7378,0
A13789203,202203,212394,0,0,0,5810
A13790004,202203,120240,0,0,5485,2300
A13778212,202203,210618,0,0,10046,0
A13778201,202203,115283,0,0,8021,0
A13778208,202203,48503,0,0,2313,0
A13778210,202203,110528,0,0,6035,0
A13778205,202203,352608,0,12693,19201,0
A13778203,202203,93728,0,0,4265,0
A13778202,202203,145099,0,0,9721,0
A13778211,202203,189046,0,0,9113,0
A13778214,202203,22357,0,0,1506,0
A13703019,202203,144933,0,445465,9333,3351
A13790828,202203,371654,0,0,0,10272
A13703027,202203,260837,0,0,20155,0
A13790717,202203,66491,0,0,2231,1438
A13790929,202203,529873,0,1675400,0,19782
A13790707,202203,63648,0,12349,2510,1836
A13790604,202203,36360,0,0,1568,0
A13790902,202203,18482,0,0,0,0
A13790701,202203,37979,0,0,0,935
A13790910,202203,64147,0,173,3079,1752
A13790716,202203,85002,2684,2728,3553,2684
A13790713,202203,94716,0,0,6096,0
A13790714,202203,95470,0,0,4059,2564
A10026004,202203,182240,0,311,11125,4554
A10026227,202203,201424,0,287,10781,3821
A13790721,202203,98316,0,0,3126,3572
A10025418,202203,182085,766,231,9350,3616
A13790726,202203,63588,0,0,0,1650
A10027439,202203,316846,5750,446,15478,7025
A10023971,202203,88604,0,352,3438,1628
A13704404,202203,384457,0,0,23786,8721
A13776510,202203,167242,0,265,8331,3815
A13780402,202203,49712,0,0,3784,1394
A13776509,202203,953283,0,1977,54615,19422
A10027205,202203,600106,0,843,30034,12783
A10024254,202203,283101,4131699,333,15110,6062
A13788208,202203,532120,0,767,25491,9471
A13770610,202203,145532,0,0,3093,0
A13788002,202203,104117,0,0,7060,1996
A13785607,202203,485248,0,849,19944,7760
A13787105,202203,70349,0,0,4484,0
A13786606,202203,88157,0,0,0,0
A13788206,202203,605391,0,587,16197,5794
A13788003,202203,84247,0,19187,5474,2247
A13775101,202203,367261,0,1513,11827,4961
A13786901,202203,58336,0,0,2680,0
A13775102,202203,188204,0,0,3520,0
A13707009,202203,124834,0,212,7571,2804
A10028146,202203,111739,0,162,5184,1934
A13787102,202203,15092,0,0,0,0
A13792306,202203,136683,0,0,4114,0
A10027221,202203,134486,0,191,8758,3492
A10024574,202203,109586,0,0,5400,0
A10024240,202203,415577,0,634,23394,9772
A10028021,202203,272212,0,0,13198,0
A10028105,202203,147709,0,0,8076,0
A13716002,202203,163611,5303,0,8826,0
A13785302,202204,123082,0,0,0,0
A13706302,202204,114142,0,0,6757,0
A13706001,202204,92111,0,0,9388,0
A13785203,202204,165774,0,0,12639,0
A13782803,202204,191417,0,0,6433,0
A13785004,202204,112032,0,39811,6672,3224
A13785008,202204,217781,0,0,13461,0
A13785005,202204,117898,0,0,8455,2315
A13706303,202204,101301,0,0,0,0
A13782804,202204,322243,0,0,13759,4132
A13771001,202204,278105,0,0,13855,0
A10025927,202204,107013,0,54,5980,2358
A13789002,202204,24835,0,0,1868,0
A13713001,202204,67443,0,0,4616,0
A13789201,202204,51828,0,0,0,0
A13713002,202204,120766,0,0,7080,0
A13790004,202204,126868,0,0,5403,1895
A13778212,202204,224950,0,0,11244,0
A13778201,202204,121545,0,0,7777,0
A13778208,202204,51255,0,0,2576,0
A13778210,202204,116444,0,0,6783,0
A13778205,202204,368564,0,0,21966,0
A13778211,202204,204696,0,0,10301,0
A13790002,202204,62207,0,0,0,0
A13703019,202204,153046,0,132972,10184,3434
A13790828,202204,355008,0,0,0,5472
A13790717,202204,61057,0,0,2765,1490
A13790706,202204,52417,0,0,2875,1094
A13790707,202204,64944,0,5864,2937,1834
A13790604,202204,25804,0,0,1438,0
A13790902,202204,19569,0,0,0,0
A13790722,202204,143137,0,7447,7844,3647
A13790910,202204,65910,0,55,3126,1455
A13790713,202204,98281,0,0,7009,0
A13790620,202204,106827,0,4720,2757,2462
A13790714,202204,86795,0,0,4581,2295
A10026227,202204,188162,0,63,10207,3266
A13790721,202204,89346,0,0,4019,2151
A13790726,202204,58237,0,0,0,514
A10024913,202204,240365,0,100,12039,4626
A10027439,202204,293521,0,134,16888,6076
A13780403,202204,128474,0,0,8195,1941
A13776301,202204,374669,0,177,21605,7872
