code,date,elect,gas,heat,watercool,waterhot
A12070201,202201,23186,0,0,-276,0
A10024966,202201,68554,0,0,2998,0
A12070101,202201,264772,0,0,10059,0
A12079601,202201,90165,0,0,0,0
A10024719,202201,360476,0,0,19792,0
A12009001,202201,21844,0,0,1376,0
A12078707,202201,85268,0,0,5276,0
A12009201,202201,59307,0,0,3366,0
A12085303,202201,310641,0,0,17527,0
A12009203,202201,259567,0,0,0,0
A12078705,202201,190791,0,0,12979,0
A10027681,202201,94523,0,0,5446,0
A12017001,202201,220553,0,0,0,0
A12071101,202201,181614,0,0,11516,0
A12071104,202201,18886,0,0,966,0
A12071103,202201,70887,0,0,4320,0
A12011002,202201,162283,0,0,10508,0
A12010103,202201,93386,0,3803,0,0
A12010104,202201,476345,0,0,0,0
A12071003,202201,80892,0,0,4905,0
A12010203,202201,147850,0,0,0,0
A12071002,202201,66177,0,0,3329,0
A12084302,202201,71995,0,0,4666,0
A10026604,202201,179719,0,0,8622,0
A10025166,202201,151997,0,0,7054,0
A12010101,202201,37211,0,0,2389,0
A10024532,202201,79661,0,0,4260,0
A12081703,202201,227279,0,841,12882,4419
A12081602,202201,71040,0,0,4328,0
A12013202,202201,170097,0,783,10882,3936
A12013002,202201,101482,0,23437,6643,2777
A12012101,202201,155890,0,0,8155,0
A10027817,202201,1414655,0,4551,82482,31711
A10025130,202201,291423,0,776,17138,7239
A12070101,202202,265251,0,0,9550,0
A12007001,202202,267131,0,0,13953,0
A12008001,202202,56439,0,0,3315,0
A12079501,202202,224127,0,0,14650,8059
A10026370,202202,500882,16916,0,28110,0
A10024719,202202,360555,0,0,17994,0
A12009001,202202,26067,0,0,1376,0
A12078704,202202,304846,0,0,18395,0
A12009305,202202,205670,0,0,14287,0
A12009102,202202,195368,6987,0,12414,0
A12086001,202202,63115,0,0,2966,0
A12009101,202202,54381,0,0,3062,0
A12078706,202202,64878,0,0,3550,0
A12009203,202202,255072,0,0,0,0
A12078705,202202,196093,0,0,11627,0
A12078201,202202,39620,0,0,2330,0
A10025767,202202,273699,0,0,14347,0
A10027681,202202,85491,0,0,4890,0
A10023959,202202,195151,0,0,9239,0
A12017001,202202,211850,0,0,0,0
A12071101,202202,177270,6030,0,10179,0
A12071104,202202,17373,0,0,964,0
A12011002,202202,157713,0,0,9937,0
A12071102,202202,54560,0,0,3334,0
A10025822,202202,115580,0,0,5808,0
A12010103,202202,79414,0,3208,0,0
A12071001,202202,82368,0,0,4264,0
A12010001,202202,64172,0,0,3673,0
A12084504,202202,143481,0,0,8827,0
A10026604,202202,160592,0,0,8080,0
A12010101,202202,35444,0,0,2388,0
A10024532,202202,80847,0,0,3979,0
A12081703,202202,202176,0,708,11236,4085
A12013201,202202,68122,0,0,3945,0
A12013003,202202,957525,0,3023,59806,22142
A12013202,202202,170874,0,662,12205,4439
A12013002,202202,99901,0,19830,5826,2465
A12012201,202202,68481,2073,0,3685,0
A12072801,202202,126760,0,405,7639,2721
A12072802,202202,52623,0,0,3424,0
A10027817,202202,1392291,0,3819,74595,28560
A12003001,202203,50136,0,0,3055,0
A12005001,202203,57631,0,0,3860,0
A12070101,202203,238528,0,0,10388,0
A12007001,202203,233958,0,0,15754,0
A12008003,202203,485710,0,14336,23172,8403
A10026370,202203,543695,17456,0,31478,0
A12009303,202203,60966,0,0,4511,0
A12009202,202203,103782,0,0,6364,0
A12009001,202203,26022,0,0,1376,0
A12078704,202203,335394,0,0,19890,0
A12078707,202203,80550,0,0,4517,0
A12009201,202203,48892,0,0,2783,0
A12009102,202203,203980,7643,0,13596,0
A12009101,202203,47722,0,1805,2879,0
A12078705,202203,195698,0,0,13079,0
A10027681,202203,86833,0,0,5725,0
A10023959,202203,276120,0,0,14391,0
A12017001,202203,185092,0,0,0,0
A12071104,202203,19475,0,0,939,0
A12071102,202203,47118,0,0,3221,0
A12010103,202203,83143,0,3408,0,0
A12071001,202203,70447,0,3123,4941,0
A12010104,202203,401534,0,0,0,0
A12010202,202203,96177,0,0,7025,0
A12084504,202203,148833,0,0,9717,6145
A12071003,202203,78922,0,0,4467,0
A12010203,202203,140173,0,0,0,0
A12071002,202203,62994,0,0,3496,0
A12084302,202203,62332,0,0,4203,0
A10025166,202203,132284,0,0,6714,0
