code,date,elect,gas,heat,watercool,waterhot
A13606002,202101,120495,0,0,6803,0
A13606106,202101,142822,0,0,8552,0
A13606005,202101,94766,0,0,7463,1416
A10027227,202101,206244,0,0,11375,0
A10028001,202101,154084,0,0,8290,0
A13603701,202101,161859,0,0,8275,0
A13603501,202101,103944,0,0,8152,0
A13672101,202101,293889,0,0,16207,0
A13604301,202101,76117,0,0,3905,0
A13607302,202101,73832,0,0,3843,0
A13608401,202101,89955,0,0,0,0
A10027189,202101,348505,0,0,20292,0
A13608301,202101,127337,0,0,8251,0
A13677401,202101,152334,0,0,8892,0
A13676501,202101,76757,1981,0,3443,0
A13685104,202101,135608,0,0,16710,0
A13684306,202101,224650,0,0,14207,0
A13610003,202101,76221,0,0,4890,0
A13684605,202101,164715,0,0,11263,0
A13676605,202101,152800,0,0,8571,0
A13677807,202101,72461,0,0,7849,0
A13610107,202101,234898,0,0,0,0
A13610202,202101,129650,0,0,7415,0
A13610301,202101,81252,0,0,0,0
A13610103,202101,149160,0,0,7103,0
A13676504,202101,117939,0,0,7116,0
A13676703,202101,235648,0,0,15405,0
A13676702,202101,207633,0,0,24983,0
A13610201,202101,53291,0,0,3316,0
A13611011,202101,392385,0,0,17974,0
A13611201,202101,177314,0,0,11382,0
A13611005,202101,314728,0,0,18034,0
A13611006,202101,671680,0,0,35325,0
A13680701,202101,86649,0,0,0,0
A13611103,202101,343438,0,0,22208,0
A13679403,202101,178639,0,0,9180,0
A13611004,202101,193682,0,0,0,0
A13611010,202101,24445,0,0,1325,0
A13611009,202101,19604,0,0,821,0
A13611008,202101,562874,0,0,27718,0
A10025638,202101,697643,0,0,34088,0
A13609001,202101,56567,0,0,3486,0
A13671210,202101,84837,0,0,5508,0
A13671209,202101,411938,0,0,19337,0
A13671203,202101,56372,0,0,3621,0
A13671208,202101,313075,0,0,17704,0
A13671213,202101,143891,0,0,7040,0
A13613011,202101,315996,0,0,10977,0
A13613004,202101,93252,0,0,5418,0
A13613201,202101,113981,0,0,0,0
A13613003,202101,59191,0,0,3892,0
A13613007,202101,438401,0,0,28914,0
A13613002,202101,34219,0,0,2500,0
A13613006,202101,346496,0,0,15169,0
A13612001,202101,68207,0,0,0,0
A13614001,202101,226463,0,0,12347,0
A13614301,202101,57092,0,0,4186,0
A10025259,202101,33699,0,0,0,0
A13676103,202101,64922,0,0,3474,0
A13676101,202101,200086,0,0,11946,0
A13615002,202101,130191,0,0,8775,0
A10025283,202101,351642,0,0,16059,0
A13606002,202102,110642,0,0,6067,0
A13606101,202102,157924,0,0,0,0
A13681303,202102,176909,0,0,21305,0
A13606107,202102,336339,0,0,21919,0
A13606102,202102,138186,0,0,0,0
A13681304,202102,141872,0,0,8459,0
A10027227,202102,178517,0,0,10347,0
A13603401,202102,121234,182,0,6136,0
A13603701,202102,138638,0,0,8192,0
A13603702,202102,66102,0,0,3472,0
A13672102,202102,119754,0,0,6563,0
A13607301,202102,81249,0,0,0,0
A13607302,202102,73589,0,0,4002,0
A13608401,202102,90180,0,0,6700,0
A13608301,202102,109573,0,0,7527,0
A13677401,202102,144024,0,0,8728,0
A13610007,202102,548376,0,0,34535,0
A13685104,202102,116232,0,0,0,0
A13684701,202102,90709,0,0,0,0
A13677101,202102,163316,0,0,11056,0
A13684605,202102,155979,0,0,10953,0
A13676703,202102,201417,0,0,13717,0
A13676702,202102,206028,0,0,0,0
A13610005,202102,162447,0,0,9757,0
A13610201,202102,45978,0,0,2937,0
A13676704,202102,85063,0,0,3276,0
A13610102,202102,85970,0,0,4908,0
A13611007,202102,633462,0,0,44568,0
A13680701,202102,93370,0,0,0,0
A13679403,202102,169405,0,0,7980,0
