code,date,elect,gas,heat,watercool,waterhot
A13373301,202201,345472,0,0,18368,0
A13385705,202201,173490,0,0,8223,0
A13302001,202201,333432,0,0,14279,0
A13377301,202201,38168,0,0,1789,0
A13302206,202201,231191,0,0,14685,0
A10027920,202201,717920,0,0,28304,0
A10026900,202201,187808,0,0,10755,0
A13370801,202201,107580,0,0,6164,0
A13305006,202201,119130,0,0,5177,2295
A13305005,202201,92456,0,0,6194,0
A13381601,202201,46067,0,0,3021,0
A13305003,202201,88728,0,0,5682,0
A13305007,202201,197956,0,0,0,2885
A13381608,202201,306428,0,0,0,0
A13307202,202201,165526,0,0,11651,0
A13377903,202201,137467,0,0,8440,0
A13307201,202201,65387,0,0,4090,0
A13307101,202201,151677,0,0,9148,0
A13373101,202201,29061,0,0,1958,0
A13377901,202201,110581,0,0,6134,0
A10026207,202201,315896,0,0,15673,0
A10024464,202201,37899,14135,0,1661,0
A13385303,202201,118798,0,0,7892,0
A13309101,202201,57406,0,0,3648,0
A13380302,202201,299970,0,0,14471,0
A13380301,202201,190025,0,0,0,0
A10027602,202201,337023,0,0,20040,0
A13380303,202201,75113,0,0,4576,0
A13380602,202201,92763,0,0,5384,0
A13380703,202201,330660,0,0,0,0
A13309301,202201,127422,441,0,5815,0
A13379001,202201,125274,0,0,13716,0
A13378102,202201,207777,0,0,11038,0
A13378103,202201,27052,0,0,1517,0
A13375907,202201,486823,0,0,27486,0
A13375901,202201,189115,0,0,9701,3180
A13310004,202201,307503,0,0,0,4239
A13384403,202201,130415,0,0,0,2879
A13376702,202201,137314,0,0,9628,3517
A13375902,202201,277824,0,116062,12714,6316
A13375908,202201,74699,0,0,5499,0
A10026748,202201,629622,0,0,29211,0
A13372102,202201,214223,0,0,0,0
A13379401,202201,178937,0,0,5211,0
A13372101,202201,84177,0,0,10877,0
A13376405,202201,105863,0,0,0,0
A13381902,202201,62396,0,0,0,0
A13382104,202201,97928,0,0,6414,0
A13382106,202201,120235,0,0,4776,0
A10024503,202201,160521,4104,699,4866,1762
A13383301,202201,67250,0,0,3979,0
A13312101,202201,61551,0,0,3518,0
A13316001,202201,91629,0,0,4692,0
A13302203,202202,112623,0,0,7562,0
A13385705,202202,134804,0,0,8814,0
A13385802,202202,86927,0,0,0,0
A13377301,202202,33033,0,0,2375,0
A13388001,202202,86702,0,0,4451,0
A10026900,202202,169378,0,0,9606,0
A13305005,202202,90743,0,0,6552,0
A13381601,202202,46426,0,0,3120,0
A13305002,202202,81066,0,0,5183,0
A13305007,202202,193078,0,0,0,2940
A13381608,202202,284615,0,0,0,0
A13307202,202202,154349,0,0,10720,0
A13377903,202202,139926,0,0,8288,0
A13307201,202202,57416,0,0,4110,0
A13377703,202202,631599,0,0,37079,0
A13386702,202202,564503,0,0,24295,0
A13307002,202202,150748,0,0,8079,0
A10024464,202202,41851,14445,0,2045,0
A13385202,202202,108939,0,0,0,0
A13308004,202202,183623,0,0,11601,0
A13385303,202202,117519,0,0,6982,4533
A13308005,202202,240013,0,0,0,5449
A13380104,202202,451133,0,0,28019,0
A13309103,202202,249218,0,0,0,0
A13309102,202202,154673,0,0,10089,0
A13309101,202202,49667,0,0,3512,0
A13380303,202202,66009,0,0,3808,0
A13380602,202202,94650,0,0,5412,0
A13378101,202202,87932,0,0,6341,0
A13378102,202202,178826,0,0,10529,0
A13309402,202202,67277,0,0,3851,0
A10026470,202202,184147,0,0,9530,0
A13378103,202202,23414,0,0,1442,0
A13375907,202202,438199,0,0,27960,0
A13375906,202202,101722,0,0,5486,0
A13310004,202202,284116,0,0,0,4198
A13375903,202202,87410,0,0,10406,0
A13375908,202202,65829,0,0,5621,0
A10026748,202202,574166,0,0,26559,0
A13382502,202202,10137,0,0,0,0
A13311101,202202,67706,0,0,0,0
A13379401,202202,159507,0,0,4781,0
A13372101,202202,84878,0,0,0,0
A13392307,202202,179846,0,0,10446,0
A13384303,202202,82387,0,0,4433,0
A13382104,202202,104676,0,0,6390,0
A13382106,202202,117981,0,0,4735,0
A13378001,202202,210408,0,0,8962,0
A13383301,202202,58254,0,0,4160,0
A13382802,202202,55784,0,0,3392,0
A13383702,202202,122249,0,0,6995,0
A10024886,202202,16407,0,0,1895,0
A13373301,202203,306295,0,0,18137,0
A13302204,202203,121819,0,0,7876,0
A13385802,202203,76873,0,0,0,0
A13302206,202203,214660,0,0,14717,0
A10027920,202203,678547,0,0,27497,0
A10026900,202203,182041,0,0,10646,0
A13370801,202203,92202,0,0,6345,0
A13305006,202203,103937,0,0,5636,2315
A13305005,202203,79481,0,0,5398,0
A13381601,202203,41041,0,0,2675,0
A13305003,202203,80542,0,0,5928,0
A13305007,202203,167450,0,0,0,3611
A13381608,202203,315973,0,0,0,0
A13381604,202203,135005,0,0,6620,0
A13307201,202203,60643,0,0,3722,0
A13377703,202203,559097,0,0,39865,0
A13307003,202203,119541,0,0,-233,0
A10024464,202203,37954,10992,0,1959,0
A13385202,202203,95538,0,0,0,0
A13308005,202203,214950,0,0,0,4936
A13309102,202203,162015,0,0,11196,0
A10026418,202203,386889,0,0,22151,0
A10027602,202203,326024,0,0,18340,0
A13380703,202203,295589,0,0,0,0
A13378101,202203,94199,0,0,5689,0
A13380803,202203,241793,0,0,14692,9610
A13378102,202203,190607,0,0,10211,0
A13309404,202203,317634,0,14389,22101,0
A10026470,202203,197186,0,0,8712,0
A13375907,202203,474291,0,0,26633,0
A13375904,202203,47166,0,0,0,0
A13375901,202203,158305,0,0,9072,2962
A13310004,202203,231529,0,0,0,5615
A13384403,202203,80466,0,0,7766,2817
A13375905,202203,55636,0,0,2698,0
