code,date,elect,gas,heat,watercool,waterhot
A13822002,202201,1205620,0,338172,78142,30755
A13822004,202201,2405885,0,507359,124529,47424
A13822902,202201,229433,0,38933,3346,3346
A13822702,202201,1084474,10358,0,67888,24306
A13822301,202201,618928,0,1416,12875,4737
A13872502,202201,230139,0,553370,8470,3352
A13824005,202201,1572348,0,399010,0,19659
A13824006,202201,2275068,0,566086,149183,54298
A13824001,202201,130010,0,0,3671,0
A13872504,202201,60858,4034,0,579,0
A13804206,202201,274742,0,0,0,0
A13887302,202201,232545,0,0,13705,0
A13887405,202201,202746,0,649298,6454,3373
A13804003,202201,129786,0,0,0,0
A13887702,202201,94924,3866,10104,0,1817
A13804001,202201,101753,0,25868,6489,2100
A13887901,202201,59535,0,0,3464,0
A13885306,202201,358858,0,50664,10766,6097
A13817001,202201,245596,0,809,16710,6383
A13877501,202201,283065,0,1176102,11082,6914
A13885301,202201,68923,0,0,0,0
A13819001,202201,119672,0,0,7210,0
A13880407,202201,245132,0,1069,16831,6426
A13881103,202201,204735,0,48153,12581,4421
A13880701,202201,106738,0,16134,0,2897
A13816101,202201,92912,0,0,4143,0
A13816202,202201,191217,7808,0,0,3321
A13881005,202201,274032,14019,1133,18169,7533
A13816002,202201,91127,0,490,5449,1950
A13880603,202201,74003,3217,0,4370,1195
A13880201,202201,48604,0,0,0,0
A13820006,202201,575927,0,3310,34850,14294
A13820201,202201,1369777,16066,6619068,70018,29903
A13820007,202201,225613,0,66455,0,4583
A13882401,202201,48077,0,0,2964,0
A13820005,202201,168388,0,27016,0,4145
A13821004,202201,159352,0,0,10475,0
A13876112,202201,65000,0,0,3968,0
A13876110,202201,202506,0,0,11646,0
A13876113,202201,297327,0,468211,17887,6904
A13821003,202201,159591,0,0,9351,0
A13876111,202201,93031,0,0,5115,0
A10028086,202201,224409,0,595,11548,4913
A10026682,202201,470294,0,943,30737,12732
A10027632,202201,142145,0,449,7187,3027
A10027553,202201,189802,0,558,9570,4293
A13805001,202201,209232,0,38021,0,3281
A13883602,202201,224262,0,50939,15494,5588
A13813010,202201,559632,0,116349,17023,8526
A13813006,202201,57922,0,0,3463,1324
A13886009,202201,174986,0,47991,7659,3701
A13813004,202201,76890,0,17134,2645,1270
A10026734,202201,146729,52954,0,8528,0
A10026249,202201,229415,0,0,13056,0
A10026362,202201,83140,0,0,3965,0
A13881302,202201,89651,0,0,0,0
A13881603,202201,137662,0,39163,6337,3504
A10023887,202201,179847,0,1322,8905,3841
A10024085,202201,245574,0,782,9239,3078
A10024577,202201,194879,0,456,13312,5009
A13812001,202201,52849,0,0,3091,0
A13822902,202202,220448,0,34799,3769,3769
A13822301,202202,548922,0,1158,11123,4295
A13822701,202202,476862,0,174787,23664,8306
A13822001,202202,812772,0,3308,50849,20197
A13872503,202202,118893,0,153,5343,2220
A13824002,202202,107624,0,0,4314,0
A13872502,202202,203472,0,434870,7470,2959
A13824006,202202,2273715,0,465960,143421,49339
A13824001,202202,115116,0,0,4076,0
A13887301,202202,63630,0,19508,2257,1591
A13804002,202202,113683,0,0,8697,0
A13804003,202202,128129,0,0,0,0
A13887403,202202,83342,0,333446,4100,2384
A13804001,202202,101748,0,19348,6067,2374
A13804004,202202,187085,0,0,8437,5182
A13887901,202202,59473,0,2045,3579,0
A10025185,202202,189755,3696,512,10555,0
A13885306,202202,327579,0,43434,12487,7031
A13817001,202202,223417,0,681,15125,5894
A13877501,202202,255105,0,1036712,10485,6619
A13885303,202202,125526,0,44896,4472,2514
A13819001,202202,118287,0,0,6505,4946
A10027881,202202,83606,0,0,2191,0
A13880407,202202,243883,0,948,15598,5952
A13880701,202202,113783,0,13500,0,3002
A13816101,202202,92300,0,0,4214,0
A13895503,202202,22336,0,0,0,0
A13816202,202202,174845,6785,0,0,2962
A13881005,202202,248289,12206,955,16463,6827
A13816002,202202,81593,0,418,5043,1794
A13880603,202202,65268,2843,0,3967,1100
A13880602,202202,46095,0,0,0,0
A13880204,202202,121151,0,20857,0,2523
A13895502,202202,94335,0,0,8748,0
A13820006,202202,509613,12523,2805,31334,12893
A13820001,202202,45020,0,0,2956,0
