code,date,elect,gas,heat,watercool,waterhot
A15807316,202201,191341,0,64907,7304,5490
A15886504,202201,119562,0,25162,7397,2942
A15885306,202201,83721,0,294858,0,2391
A15807205,202201,76299,0,314,5793,2228
A15807311,202201,162429,0,54096,10568,4089
A15807706,202201,451699,0,1778,0,12465
A15807703,202201,341424,0,1481,21715,8282
A15876401,202201,94715,0,14401,0,2267
A15886402,202201,50399,0,0,0,0
A15807603,202201,151919,0,596,7822,3028
A15807002,202201,289798,0,89303,15975,5834
A15886512,202201,132210,0,36414,8207,3417
A15886505,202201,118132,0,22333,7711,2876
A15807210,202201,190145,0,46121,7847,4883
A15807605,202201,642645,0,2627,0,17285
A15886508,202201,104514,0,28093,7023,2554
A15807315,202201,276374,0,0,17109,0
A15885514,202201,277304,0,0,27390,0
A15807702,202201,98642,0,324,6910,2745
A15879501,202201,134522,0,17773,4468,2081
A15807705,202201,352979,0,1395,0,11356
A15807606,202201,734781,0,2040,0,17900
A15873701,202201,584174,0,2923,12099,12099
A15886501,202201,43450,0,7394,2997,1089
A15807204,202201,62899,0,205,0,1581
A15876402,202201,83367,0,32305,4021,1652
A15884901,202201,45374,0,182596,0,1059
A15807601,202201,202871,0,249727,3556,1582
A15807202,202201,67661,0,19528,4574,1802
A15873902,202201,111221,0,0,5605,0
A10027396,202201,131244,0,246,8365,3549
A10025649,202201,76013,0,194,4813,2276
A15805301,202201,109065,0,505,3537,2851
A15805504,202201,569643,0,229937,0,15153
A15875102,202201,481347,0,2127,0,12360
A15805102,202201,53527,0,0,3484,0
A15875101,202201,517797,0,228766,0,14713
A15805114,202201,255226,0,87946,11418,4434
A15805115,202201,642451,0,2274,25844,14068
A15805111,202201,494778,0,74186,14258,5499
A15805403,202201,120965,0,36909,7770,3178
A15805101,202201,50327,0,0,0,0
A15805503,202201,337643,0,1418,0,8140
A15881702,202201,52725,0,0,7108,0
A15882010,202201,76064,0,324772,5224,1721
A15881701,202201,44531,0,113,2967,1123
A15875103,202201,322940,0,63600,8773,8773
