code,date,elect,gas,heat,watercool,waterhot
A15005301,202202,117025,0,0,0,0
A15005603,202202,79720,0,0,4097,0
A15086004,202202,109967,0,0,7945,4921
A10025070,202202,616224,12957,0,25699,0
A15081107,202202,258138,0,0,0,5683
A15007002,202202,76694,0,0,4267,0
A15004406,202203,118850,0,0,7613,0
A15009401,202203,65644,0,0,3697,0
A15088802,202204,42399,0,2074,2835,888
A15080002,202204,119104,0,0,0,0
A15004101,202204,37314,0,0,4874,0
A15004202,202204,223327,0,0,13711,0
A15080204,202204,77641,0,0,5514,0
A15080205,202204,138831,0,0,9502,0
A15080501,202204,68688,0,0,4454,0
A15072201,202204,130076,0,0,6257,0
A15004502,202204,30503,0,0,1888,0
A15004506,202204,115761,0,0,8775,0
A10024789,202204,233590,0,0,12527,0
A15081001,202204,127303,453,0,429,0
A15076702,202204,267621,0,0,14170,0
A15009201,202204,77993,0,0,5520,0
A15083603,202204,322075,0,0,18934,0
A15083601,202204,64111,0,0,0,0
A15009401,202204,58709,0,0,4032,0
A15009504,202204,76142,0,0,5441,0
A15009607,202204,68149,0,0,4787,0
A15009602,202204,43218,0,0,0,0
A15009604,202204,68321,0,0,0,0
A15009603,202204,58710,0,0,0,0
A15086202,202204,97018,0,0,6950,0
A15086201,202204,45090,0,0,0,0
A15010303,202204,51671,0,0,3420,0
A15010307,202204,190891,0,0,14392,0
A15010306,202204,206282,0,0,10371,0
A15010301,202204,45281,0,0,0,0
A15086601,202204,114333,0,0,13534,0
A15010501,202204,49555,0,0,0,0
A15010601,202204,50240,0,0,4009,0
A15005301,202204,103166,0,0,0,0
A15085404,202204,107197,0,0,0,0
A15005102,202204,39879,0,0,2484,0
A15083703,202204,92571,0,0,6361,0
A15005302,202204,84854,0,0,6292,0
A15096001,202204,65886,0,0,3926,0
A15085805,202204,57668,0,0,0,0
A15083701,202204,24390,0,0,0,0
A15005602,202204,48719,0,0,3030,0
A15005501,202204,97066,0,0,5342,0
A15086006,202204,228576,200,0,0,0
A15005603,202204,70263,0,0,4933,0
A10025024,202204,392633,0,0,15687,0
A10025562,202204,170905,0,0,9605,0
A10025070,202204,580114,0,0,26408,0
A10024615,202204,570203,0,0,19657,0
A15081201,202204,56594,0,0,3830,0
A15081802,202204,64008,0,0,4073,0
A15007101,202204,11120,0,0,3199,0
A15081604,202204,126398,0,0,8440,0
A15081105,202204,116341,0,0,8130,0
A15095002,202204,63377,0,0,3448,0
A10027935,202204,42536,0,0,1645,0
A10027381,202204,73292,0,0,4139,0
A15003001,202205,65706,0,0,0,0
A10024490,202205,20370,0,0,0,0
A10024567,202205,50369,0,0,3299,0
A15003801,202205,121295,0,0,8372,0
A15089307,202205,141244,0,1260,14157,1261
A15089421,202205,419334,0,0,24379,6302
A15001020,202205,205926,0,0,15128,4246
A15088717,202205,168804,0,229,10004,2699
A15001016,202205,143257,0,0,10070,2499
