,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A10071301,,,,,0,0,,,446290,4393910
1,A10023352,,,,,,,,,,
2,A10026849,,,,,,,,,,
3,A10023356,,,,,,,,,,
4,A10023343,,,,,,,,,,
5,A10045403,,,,,0,0,,,3346000,17547190
6,A10045401,,,,,0,0,9214300,0,4423300,0
7,A10045601,,,,,0,0,,,89395,0
8,A10045302,,,,,0,0,35940578,97363000,0,51054250
9,A10045404,0,0,0,0,0,0,,,5160320,32852340
10,A10045001,0,0,0,0,0,0,11621080,21489920,1069140,8518200
11,A10045402,,,214970,0,0,0,,,10964270,0
12,A10078901,,,0,0,0,0,,,-1983470,15252770
13,A10078902,,,0,0,0,0,,,0,2572860
14,A10045301,0,0,0,0,0,0,7856300,37361100,1549300,18193200
15,A10078103,217940,0,,,0,0,,,0,2148630
16,A10078102,,,,,,,,,,
17,A10045002,0,0,0,0,0,0,,,1057330,14457470
18,A13302201,,,,,0,0,,,67130,4026420
19,A10025456,0,0,,,0,0,3334800,10674240,907470,4950290
20,A10025372,,,0,0,0,0,2845740,6066450,360740,2249440
21,A10044002,,,0,0,0,0,38161752,82816380,2318940,24607360
22,A10044001,0,0,,,0,0,,,0,3725620
23,A10027364,,,,,0,0,7987714,13332630,76724,4435450
24,A10024756,,,,,,,,,,
25,A10085902,0,0,,,0,0,2365576,0,526320,0
26,A10085903,0,0,,,0,0,,,775860,11227170
27,A10080701,0,0,0,0,0,0,,,0,3918023
28,A10026881,0,0,,,0,0,,,3949310,17827140
29,A10026517,0,0,0,0,0,0,,,1015670,2760190
