,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13120701,0,0,0,0,0,0,2457395,6992370,0,3501190
1,A13184401,0,0,,,,,,,0,0
2,A13183202,,,,,,,1086690,0,,
3,A13184301,0,0,,,0,0,3292810,11404170,,
4,A13183504,0,0,0,0,0,0,,,,
5,A13183701,0,0,0,0,,,1162835,8022490,,
6,A13181203,0,0,0,0,0,0,,,181770,0
7,A13120403,0,0,,,0,0,,,0,7535260
8,A13184107,,,,,0,0,11367690,19011310,,
9,A13183405,0,0,0,0,0,0,2180927,13140870,10630040,0
10,A13120704,,,0,0,0,0,,,195670,6639110
11,A13184502,0,0,,,,,7089920,7058850,0,0
12,A13183303,,,,,,,,,,
13,A13120001,,,,,0,0,,,,
14,A13188406,0,0,148040,0,0,0,5331999,20843150,,
15,A13177701,0,0,0,0,0,0,,,,
16,A13183204,0,0,0,0,,,2717477,19010903,,
17,A13184208,47630,0,,,,,6058196,22309730,1043730,0
18,A13183502,,,161270,0,,,,,0,0
19,A13181201,0,0,,,0,0,,,,
20,A13175103,,,0,0,,,,,,
21,A13175102,,,,,,,,,,
22,A10028033,0,0,,,0,0,,,328740,9172160
23,A10025159,,,0,0,,,11026580,24232590,-164520,8304940
24,A13120003,,,,,,,,,,
25,A10024703,0,0,0,0,0,0,11265366,21163780,452430,7447570
26,A10023384,,,,,,,,,,
27,A10024443,0,0,,,0,0,6728971,15105870,,
28,A10024741,0,0,,,,,,,256400,25480720
29,A10024366,,,,,,,,,,
30,A10023606,,,,,,,,,,
31,A13185602,0,0,0,0,0,0,,,302070,7179330
32,A13185603,,,,,,,5684940,18445840,,
33,A13170401,,,,,,,7525656,24010750,0,9274920
34,A13186306,43819090,0,,,,,5364630,0,,
35,A13186401,,,,,0,0,5341585,14644350,0,7001470
36,A13122104,,,,,,,35602207,0,,
37,A13186305,,,0,0,,,7972423,35173650,,
38,A13185607,0,0,,,,,,,1849310,0
39,A13122001,0,0,0,0,0,0,,,,
40,A13187501,,,0,0,0,0,1091800,6674360,0,0
41,A13187702,0,0,957650,0,,,,,3306340,26710290
42,A10026046,,,,,,,,,,
43,A13176801,0,0,,,,,,,,
44,A13114103,0,0,,,,,564346,9755800,908470,2894100
45,A13184804,,,0,0,0,0,,,,
46,A13184609,,,0,0,0,20306240,1085650,29614850,373930,13868530
47,A13184610,33035530,239443110,0,0,,,25720582,64290800,,
48,A13114106,0,0,,,,,4384399,8812250,,
49,A13185508,0,0,0,0,,,,,12476860,0
50,A13185501,,,,,0,0,1868640,6842100,0,7156080
51,A13185507,,,0,0,,,,,,
52,A13185502,0,0,,,0,0,1161400,7244280,,
53,A13114002,0,0,0,0,0,924480,1593801,33186630,719910,12945850
54,A13185402,,,227800,0,,,,,0,0
55,A13114201,0,0,,,0,0,,,,
56,A10025855,0,0,,,,,,,0,26280820
57,A10025187,,,,,,,,,,
58,A10026469,,,0,0,0,0,9742227,24350750,,
59,A13123102,,,,,,,,,,
60,A13176102,,,0,0,,,0,5417770,,
61,A13123002,0,0,0,0,,,3973400,18712520,,
62,A13123001,0,0,,,0,0,11512760,0,,
63,A13123101,,,0,0,0,0,1290790,7469740,,
64,A13176101,,,,,,,,,,
65,A10027498,,,,,,,,,,
66,A10023816,5259720,21902060,,,0,19661400,,,510990,7231900
67,A10024008,8622700,18942090,-315230,315230,,,5654740,10995350,,
68,A10024018,2012876,19761520,0,0,,,5127112,12521200,-20,4801450
69,A10024214,8138280,40449730,,,,,,,,
70,A10023952,,,0,0,,,,,,
71,A13186801,0,0,,,,,,,748941,3056379
72,A13186503,,,0,0,,,,,,
73,A13176902,,,,,,,1868230,0,,
74,A13113002,0,0,0,0,,,2103601,12503940,157380,5166180
75,A13113006,-276250,271950,0,0,0,0,,,0,3715740
76,A13186905,,,,,0,300870,2395310,0,,
77,A13113001,0,0,0,0,,,2496085,8134150,31640,3974210
78,A13186502,,,0,0,0,0,,,,
79,A13178101,,,,,,,,,,
80,A13176901,16541071,118783800,,,,,,,,
81,A13113003,,,0,0,,,,,1026900,9147010
82,A13187306,-240,73899590,,,340,25060350,6825020,0,,
83,A13186504,,,,,0,0,4402865,13613030,,
84,A13187406,0,0,,,0,0,6779386,20783680,,
85,A13113004,10237300,114607220,,,0,12878400,7195908,38631032,,
86,A13187302,1830590,63779480,,,,,3150560,0,,
87,A13187305,,,0,0,,,,,248720,16437960
88,A13186907,0,0,0,0,,,2278090,29379910,805000,0
89,A13187004,,,,,0,0,39304990,33417110,2003500,0
90,A13186708,133164750,124632350,,,,,51497594,39024860,,
91,A13187201,10336747,63170953,0,0,,,7374263,27436480,373990,13855900
92,A13187203,,,0,0,,,21276605,43015810,,
93,A13113008,0,0,,,,,,,,
94,A13113007,0,0,,,0,0,,,,
95,A10025397,,,,,0,0,1578640,4314740,0,1960090
96,A10027297,,,,,,,,,,
97,A10027775,,,,,0,0,2296960,1598430,82150,600780
98,A10025137,5988340,0,,,,,,,,
