,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A12101001,,,,,0,0,,,189980,3364940
1,A12175203,,,0,0,,,,,,
2,A10027951,0,0,,,,,3679730,4453170,0,2081460
3,A10027906,-1653760,138822500,0,0,,,,,595380,16741870
4,A10027090,0,0,0,0,,,,,,
5,A10023508,,,,,,,,,,
6,A12170601,,,0,0,,,,,160,11273670
7,A12102008,0,0,101430,0,0,0,6799682,27932490,740,12159130
8,A12102005,0,0,0,0,,,5528058,14761920,,
9,A12180404,108170,0,0,0,0,0,5690710,0,2176970,0
10,A12180407,513740,0,,,0,0,0,27757060,,
11,A12170603,,,0,0,0,0,9933711,41769290,,
12,A12170602,,,0,0,0,0,1848940,3621080,35610,2362290
13,A12102002,270670,0,,,0,0,3513320,9190550,,
14,A12180401,,,,,0,0,,,,
15,A12180506,,,92380,0,,,,,,
16,A10024408,0,0,,,0,0,7195690,19669810,117000,5781970
17,A10024626,,,0,157650,,,4254650,5032640,,
18,A12185304,,,,,0,0,,,450800,8299930
19,A12179001,,,,,0,0,,,,
20,A12179005,0,0,,,,,,,,
21,A12179004,,,8341080,0,0,0,,,,
22,A12185303,,,746190,0,,,,,0,9221100
23,A12179002,,,,,,,3893750,5785470,443830,3886350
24,A12179003,,,,,,,,,,
25,A12103002,,,0,0,0,0,5631740,14196050,,
26,A10027504,,,,,,,,,,
27,A12179006,,,,,,,,,,
28,A12181406,0,157562040,0,0,0,23764000,14153256,37281100,2573650,19719130
29,A12170401,0,0,0,0,,,1888680,5619830,0,2740610
30,A12104007,0,168643510,0,0,,,,,5420180,22076620
31,A12181403,,,0,0,,,1515840,9005480,0,6038100
32,A12104005,,,,,5467470,21443810,11648170,40947290,0,0
33,A12104001,0,0,,,,,,,,
34,A12181404,,,,,,,,,,
35,A12187602,,,0,0,,,,,509720,7552990
36,A10028006,23808880,27820120,,,-16372040,16328750,9405490,32422200,,
37,A12187501,2786370,44273800,,,,,10647580,29787700,,
38,A12106001,5164800,37666200,0,0,0,14180600,,,,
39,A12105001,,,0,0,0,0,5976815,12465430,,
40,A10025672,,,,,,,,,,
41,A12181103,,,0,0,,,21290864,60016350,,
42,A12172401,,,,,0,0,11861990,27723290,,
43,A12181101,0,0,0,0,0,0,,,6878920,0
44,A12181102,,,,,0,6478600,1033757,10737363,1382270,5951410
45,A10025003,,,,,,,27605882,60340800,433670,18653010
46,A12109002,,,0,0,,,4518461,23664180,,
47,A12109001,3543740,56772890,,,,,,,,
