,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13991017,0,0,,,,,,,495520,3732780
1,A13905208,,,0,0,-5775000,5775000,,,,
2,A13905202,,,0,0,0,0,,,,
3,A13985107,,,0,0,0,10930500,,,-41250,8127330
4,A13984604,0,0,0,0,,,27399870,22261000,500000,0
5,A13984411,,,0,0,,,,,1391720,8987250
6,A13905102,,,0,0,,,2808650,6862100,0,0
7,A13984603,0,0,,,0,0,2385548,7992280,,
8,A13905204,,,,,8542500,0,,,5695310,0
9,A13985201,0,0,,,0,0,,,,
10,A13985106,,,0,0,,,,,,
11,A13984813,61851215,0,,,0,32685000,,,,
12,A13987501,0,0,0,0,0,0,,,0,3006260
13,A13905105,0,0,0,0,0,0,,,,
14,A13987503,,,,,0,0,223839,7109670,,
15,A13984814,,,,,0,0,12048990,0,0,0
16,A13984004,0,0,0,0,,,3034730,138090670,,
17,A13991016,,,,,,,,,0,4588990
18,A13985103,5523980,21538620,0,0,0,11774700,,,717980,7143870
19,A13985105,,,0,0,0,9366400,,,85120,7033530
20,A13984409,,,,,,,,,2353765,0
21,A13984003,-845570,44086700,0,0,,,,,,
22,A13995602,,,,,,,0,0,,
23,A13905003,0,0,0,0,,,,,-6020,8945270
24,A13905301,,,,,0,0,,,570,5404310
25,A13987502,0,0,,,,,,,20140,5294680
26,A13991018,,,0,0,,,,,,
27,A13905302,5057200,17320500,,,,,3817790,0,3194535,0
28,A13991015,,,,,,,,,,
29,A13905101,,,0,0,,,603089,6572200,0,3649620
30,A13984005,,,0,0,,,,,13473490,47107440
31,A10027121,,,0,0,,,4517741,10578770,,
32,A10027716,0,0,,,0,0,5993700,19432590,,
33,A10025097,0,0,331390,0,,,,,,
34,A10024636,,,,,,,,,,
35,A10024812,,,,,,,,,,
36,A13980513,,,0,0,0,0,460708,55843170,,
37,A13924003,,,,,,,4732280,19402440,0,11655610
38,A13994501,0,0,0,0,0,0,2852926,6139896,225000,0
39,A13980801,,,,,0,0,,,-14180,2655580
40,A13980010,,,-796430,783290,0,11116800,,,56360,9339510
41,A13980415,,,0,0,,,,,,
42,A13980018,,,,,0,11533460,,,,
43,A13980107,,,,,,,,,-747020,7424740
44,A13980509,1777310,11861100,0,0,0,12854880,3203930,0,,
45,A13980009,0,0,,,0,0,604784,13236420,41900,0
46,A13980014,21951370,39666610,0,0,-26613600,26613600,6691270,28930210,5635620,8426160
47,A13980012,,,,,0,9530400,4403830,13544530,,
48,A13924004,,,,,0,0,,,,
49,A13980510,1157860,17670910,,,,,,,,
50,A13924205,0,0,,,0,0,3349560,8667280,0,5666500
51,A13980102,0,0,0,0,,,771022,4705180,155590,2859370
52,A13980604,,,0,0,,,,,0,3601210
53,A13980413,0,0,,,0,0,,,0,4247280
54,A13980511,3626710,18313780,0,0,0,11033400,,,,
55,A13980105,,,,,,,855980,8256130,,
56,A13980402,,,0,0,,,,,,
57,A13980108,0,0,,,0,0,3165220,11120020,,
58,A13980407,,,,,0,6771200,,,,
59,A13980803,,,0,0,,,,,,
60,A13980004,,,0,0,-6764400,6764400,,,,
61,A13980706,0,0,0,0,,,,,211350,4027370
62,A13980403,,,,,,,2212940,7324520,70,3787560
63,A13980401,,,0,0,0,0,,,599610,3777180
64,A13980017,-13869260,16373630,0,0,,,,,7008710,3159950
65,A13980512,,,,,0,13527500,,,,
66,A13980411,,,0,0,,,2349940,17441320,,
67,A13980019,4054650,58752730,,,0,30467500,11453450,39854840,-660,22957490
68,A10026289,,,,,,,,,,
69,A13980006,1857080,12668110,,,0,8981700,5646944,10498610,-90,6316280
70,A10023991,0,0,0,0,,,17044830,59836790,,
71,A10023990,,,0,0,,,,,20800,1957280
72,A13987305,,,0,0,12887250,27824320,19364040,49562150,,
73,A13987303,145364040,0,0,0,,,,,-149090,23783190
74,A13993502,,,0,0,0,10968000,8401560,27459610,,
75,A13923104,,,,,-16259200,16246400,5387114,20402070,,
76,A13923106,,,,,0,20961500,,,,
