,kaptCode,Elec_Con
0,A13203302,0.0
1,A13203303,0.0
2,A13295201,0.0
3,A13286107,0.0
4,A13287801,0.0
5,A13286203,1.0
6,A13286109,0.0
7,A13203403,0.0
8,A13286110,0.0
9,A13287503,0.0
10,A13203202,1.0
11,A13286304,0.0
12,A13286106,0.0
13,A13203408,0.0
14,A13286904,1.0
15,A13203002,0.0
16,A13203102,0.0
17,A13286105,0.0
18,A13203001,0.0
19,A13203401,0.0
20,A13286002,0.0
24,A13202306,0.0
25,A13285503,1.0
26,A13282510,0.0
27,A13276416,0.0
28,A13202302,0.0
29,A13285406,0.0
30,A13283405,1.0
31,A13202308,0.0
32,A13276414,1.0
33,A13202102,0.0
34,A13276415,0.0
35,A13285507,0.0
36,A13202103,1.0
37,A13202002,0.0
38,A13285401,0.0
39,A13202304,0.0
40,A13272102,0.0
41,A13283611,0.0
42,A13276417,0.0
43,A13202312,0.0
44,A13285305,1.0
45,A13285601,0.0
49,A10024822,1.0
50,A13204506,0.0
51,A13204502,0.0
52,A13204501,0.0
53,A13204505,0.0
54,A13290404,0.0
55,A13204503,0.0
56,A13204402,0.0
57,A13204510,1.0
58,A13292002,0.0
59,A13204409,0.0
60,A13204508,0.0
61,A13204408,0.0
62,A13272201,0.0
63,A13204507,0.0
64,A13204302,1.0
65,A13204001,1.0
66,A13204406,1.0
67,A13204105,0.0
68,A13290105,0.0
69,A13290003,0.0
70,A13290809,0.0
71,A13204204,0.0
72,A13204002,1.0
73,A13290107,0.0
74,A13292701,0.0
75,A13204201,0.0
76,A13204103,0.0
77,A13204104,0.0
78,A13204301,0.0
79,A13204205,0.0
80,A13204203,0.0
83,A13292501,0.0
84,A13204404,0.0
86,A13201207,0.0
87,A13201202,0.0
88,A13201206,0.0
89,A13201201,0.0
90,A13201203,0.0
91,A13275302,0.0
92,A13293505,0.0
93,A13281802,0.0
95,A13281201,0.0
96,A13201208,0.0
98,A13201209,0.0
99,A13201001,0.0
100,A13201002,0.0
101,A13280104,0.0
102,A10027136,0.0
