,kaptCode,Date,electC,electComb
0,A13203302,202101.0,13881.476658476658,58992.262899262896
0,A13203302,202102.0,9306.660933660934,50390.22358722359
0,A13203302,202103.0,8730.995085995086,39737.23587223587
0,A13203302,202104.0,9073.004914004914,43056.149877149874
0,A13203302,202105.0,8855.936117936119,40827.53316953317
0,A13203302,202106.0,9524.628992628992,43468.707616707616
0,A13203302,202107.0,7361.4299754299755,46652.87960687961
0,A13203302,202108.0,12279.009828009828,82597.3144963145
0,A13203302,202109.0,7507.995085995086,42415.12039312039
0,A13203302,202110.0,7362.9312039312035,42217.62407862408
0,A13203302,202111.0,10290.818181818182,45254.47911547912
0,A13203302,202112.0,9165.0,47061.28992628992
0,A13203302,202201.0,9167.321867321867,52903.685503685505
0,A13203302,202202.0,9733.641277641278,51860.02948402948
0,A13203302,202203.0,9081.43488943489,43076.39803439804
0,A13203302,202204.0,9427.928746928746,47003.43243243243
0,A13203302,202205.0,10544.06633906634,42596.91646191646
0,A13203302,202206.0,10405.845208845209,43918.7199017199
0,A13203302,202207.0,9704.683046683047,59204.1425061425
0,A13203302,202208.0,12947.137592137593,71059.88943488944
0,A13203302,202209.0,9052.142506142507,49315.28746928747
0,A13203302,202210.0,12384.995085995086,46682.88206388206
0,A13203302,202211.0,12739.481572481573,51317.29484029484
0,A13203302,202212.0,12322.687960687961,53658.11793611794
1,A13203303,202101.0,8921.788834951456,39523.29368932039
1,A13203303,202102.0,8323.287621359223,36219.08859223301
1,A13203303,202103.0,5592.669902912621,27340.15776699029
1,A13203303,202104.0,6381.6820388349515,29340.18932038835
1,A13203303,202105.0,4593.007281553398,27074.46359223301
1,A13203303,202106.0,4913.5764563106795,29150.748786407767
1,A13203303,202107.0,6082.757281553398,36962.50242718447
1,A13203303,202108.0,160.55461165048544,42362.35072815534
1,A13203303,202109.0,3432.4053398058254,28483.716019417476
1,A13203303,202110.0,4420.9623786407765,28056.023058252427
1,A13203303,202111.0,5916.157766990291,31667.54126213592
1,A13203303,202112.0,6998.758495145631,33486.804611650485
1,A13203303,202201.0,9148.595873786408,38512.2609223301
1,A13203303,202202.0,8366.400485436894,37730.06553398058
1,A13203303,202203.0,5886.044902912621,29799.103155339806
1,A13203303,202204.0,5509.686893203883,31693.764563106797
1,A13203303,202205.0,4177.888349514563,27491.723300970873
1,A13203303,202206.0,4763.023058252427,29313.605582524273
1,A13203303,202207.0,3438.105582524272,38034.25849514563
1,A13203303,202208.0,3155.0315533980583,44283.320388349515
1,A13203303,202209.0,3472.4429611650485,31407.68567961165
1,A13203303,202210.0,4845.243932038835,30853.593446601943
1,A13203303,202211.0,6144.459951456311,35034.59344660194
1,A13203303,202212.0,9297.10072815534,40587.270631067964
2,A13295201,202101.0,19524.76129032258,61193.01935483871
2,A13295201,202102.0,11652.948387096774,50891.2064516129
2,A13295201,202103.0,9579.258064516129,41117.903225806454
2,A13295201,202104.0,9879.825806451612,43703.180645161294
2,A13295201,202105.0,9498.329032258065,40680.78064516129
2,A13295201,202106.0,9178.374193548387,44129.85806451613
2,A13295201,202107.0,15393.445161290323,62673.05806451613
2,A13295201,202108.0,9770.922580645161,71991.56774193549
2,A13295201,202109.0,8657.290322580646,43497.8064516129
2,A13295201,202110.0,9335.2,42009.90967741935
2,A13295201,202111.0,10483.354838709678,46091.22580645161
2,A13295201,202112.0,10372.090322580645,47345.96129032258
2,A13295201,202201.0,18976.877419354838,61720.10322580645
2,A13295201,202202.0,53797.50322580645,53797.50322580645
2,A13295201,202203.0,43180.33548387097,43180.33548387097
2,A13295201,202204.0,47065.2064516129,47065.2064516129
2,A13295201,202205.0,9945.922580645161,42743.14838709677
2,A13295201,202206.0,10328.303225806452,46450.04516129032
2,A13295201,202207.0,9442.406451612904,62656.14838709677
2,A13295201,202208.0,14816.193548387097,74309.03225806452
2,A13295201,202209.0,9274.845161290323,47258.329032258065
2,A13295201,202210.0,12872.025806451613,49366.993548387094
2,A13295201,202211.0,11402.896774193548,52697.86451612903
2,A13295201,202212.0,15380.225806451614,57052.93548387097
3,A13286107,202101.0,1008.7113402061856,49890.53264604811
3,A13286107,202102.0,995.4123711340206,41356.202749140895
3,A13286107,202103.0,953.659793814433,33297.42268041237
3,A13286107,202104.0,934.639175257732,36895.13745704467
3,A13286107,202105.0,914.0721649484536,33530.58419243986
3,A13286107,202106.0,956.1340206185567,37755.257731958765
3,A13286107,202107.0,881.4432989690722,38289.518900343646
3,A13286107,202108.0,953.659793814433,72289.36426116839
3,A13286107,202109.0,940.0515463917526,36964.62199312715
3,A13286107,202110.0,838.6082474226804,38046.80412371134
3,A13286107,202111.0,897.2164948453608,41011.92439862543
3,A13286107,202112.0,733.6082474226804,39667.182130584195
3,A13286107,202201.0,698.5051546391752,48398.00687285223
3,A13286107,202202.0,699.2783505154639,46538.9175257732
3,A13286107,202203.0,608.9690721649484,38729.75945017182
3,A13286107,202204.0,621.6494845360825,39896.39175257732
3,A13286107,202205.0,763.4536082474227,40456.42611683849
3,A13286107,202206.0,724.639175257732,39561.75257731959
3,A13286107,202207.0,710.8762886597938,47663.3676975945
3,A13286107,202208.0,747.3711340206186,65036.58075601375
3,A13286107,202209.0,722.9381443298969,43541.44329896907
3,A13286107,202210.0,770.2577319587629,41554.15807560137
3,A13286107,202211.0,774.1237113402062,43666.18556701031
3,A13286107,202212.0,736.8556701030927,48038.41924398625
4,A13287801,202101.0,6063.90243902439,48742.26480836237
4,A13287801,202102.0,6556.613240418118,47569.29616724739
4,A13287801,202103.0,6646.989547038327,39285.07317073171
4,A13287801,202104.0,6005.540069686411,40366.16724738676
4,A13287801,202105.0,5396.121951219512,36979.3275261324
4,A13287801,202106.0,4869.038327526132,37941.05923344948
4,A13287801,202107.0,3845.0,36455.8362369338
4,A13287801,202108.0,7521.543554006968,71082.10104529616
