,kaptCode,Elec_Con
0,A13007002,0.0
1,A13070302,0.0
2,A13007004,0.0
3,A10028080,1.0
4,A13070301,0.0
5,A13007001,1.0
8,A13006001,0.0
9,A13086101,0.0
10,A13006101,0.0
11,A13006003,0.0
12,A13006002,0.0
13,A13077201,0.0
14,A13084802,0.0
15,A13084803,0.0
16,A13071302,1.0
17,A13002002,1.0
18,A13084804,0.0
19,A13085901,0.0
20,A13071301,0.0
21,A13085902,0.0
22,A13085301,0.0
23,A10026180,0.0
24,A13075402,0.0
25,A13003406,0.0
26,A13003404,0.0
27,A13080801,0.0
28,A13003202,1.0
29,A13003201,0.0
30,A13075404,0.0
31,A13080201,0.0
32,A13080702,0.0
33,A13075405,1.0
34,A13075403,0.0
35,A13003005,0.0
36,A13003002,0.0
37,A13003402,1.0
38,A13003405,0.0
39,A13003003,0.0
40,A10026232,0.0
41,A10025754,1.0
42,A13003007,0.0
43,A10026104,1.0
44,A10027089,1.0
46,A13010006,0.0
47,A13010004,1.0
48,A13084701,1.0
49,A13010003,1.0
50,A13010005,1.0
51,A13084101,0.0
52,A13010001,0.0
53,A10025227,0.0
55,A13086703,0.0
56,A13086704,0.0
57,A13086705,0.0
58,A13086802,0.0
59,A13086701,0.0
60,A13071201,1.0
61,A13070101,1.0
62,A13087201,0.0
63,A13009001,0.0
64,A13009206,1.0
65,A13009202,0.0
66,A13077703,0.0
67,A13009101,0.0
68,A13087405,0.0
69,A13087401,0.0
70,A13078301,0.0
71,A13009002,0.0
72,A13077702,1.0
73,A13087407,0.0
74,A13009003,0.0
75,A10025410,1.0
80,A10025015,0.0
81,A13082702,0.0
82,A13082703,0.0
83,A13076801,0.0
84,A13082502,0.0
85,A13083102,1.0
86,A13079401,0.0
87,A13082704,0.0
88,A13008001,1.0
89,A13079402,0.0
90,A13079403,0.0
91,A13082805,0.0
92,A13082501,0.0
