,kaptCode,Date,electC,electComb
0,A13007002,202101.0,1430.367816091954,29831.97701149425
0,A13007002,202102.0,1138.9195402298851,24360.919540229886
0,A13007002,202103.0,1314.4597701149426,26473.540229885057
0,A13007002,202104.0,1105.1494252873563,24061.931034482757
0,A13007002,202105.0,1145.3103448275863,25918.505747126437
0,A13007002,202106.0,1033.2183908045977,30243.379310344826
0,A13007002,202107.0,1320.5747126436781,54157.862068965514
0,A13007002,202108.0,628.0,37403.10344827586
0,A13007002,202109.0,1211.1954022988505,30120.22988505747
0,A13007002,202110.0,1214.2758620689656,27469.632183908045
0,A13007002,202111.0,1246.0919540229886,27154.712643678162
0,A13007002,202112.0,1293.2413793103449,30500.183908045976
0,A13007002,202201.0,1351.3103448275863,30353.011494252874
0,A13007002,202202.0,1135.3793103448277,26162.7816091954
0,A13007002,202203.0,1281.0344827586207,29327.931034482757
0,A13007002,202204.0,1202.8275862068965,27044.873563218393
0,A13007002,202205.0,1220.8275862068965,28783.103448275862
0,A13007002,202206.0,1082.5977011494253,36238.55172413793
0,A13007002,202207.0,358.0689655172414,49446.89655172414
0,A13007002,202208.0,586.0229885057471,41757.97701149425
0,A13007002,202209.0,1323.8620689655172,31845.379310344826
0,A13007002,202210.0,1323.5172413793102,30924.850574712644
0,A13007002,202211.0,1336.1149425287356,31721.333333333332
0,A13007002,202212.0,1641.2413793103449,35238.85057471264
1,A13070302,202101.0,4770.0,29353.95238095238
1,A13070302,202102.0,6140.0,26031.666666666668
1,A13070302,202103.0,6180.0,27697.666666666668
1,A13070302,202104.0,5870.0,25438.190476190477
1,A13070302,202105.0,6000.0,26459.380952380954
1,A13070302,202106.0,4230.0,26628.380952380954
1,A13070302,202107.0,2700.0,50022.90476190476
1,A13070302,202108.0,3500.0,29563.190476190477
1,A13070302,202109.0,4260.0,27173.428571428572
1,A13070302,202110.0,4820.0,26589.904761904763
1,A13070302,202111.0,5200.0,26411.333333333332
1,A13070302,202112.0,3800.0,28134.095238095237
1,A13070302,202201.0,2020.0,26224.04761904762
1,A13070302,202202.0,4920.0,24412.761904761905
1,A13070302,202203.0,3620.0,25995.095238095237
1,A13070302,202204.0,4270.0,24896.809523809523
1,A13070302,202205.0,3640.0,25022.52380952381
1,A13070302,202206.0,2080.0,31864.619047619046
1,A13070302,202207.0,1160.0,40404.857142857145
1,A13070302,202208.0,2480.0,32886.90476190476
1,A13070302,202209.0,9250.380952380952,34953.47619047619
1,A13070302,202210.0,9978.857142857143,35301.28571428572
1,A13070302,202211.0,11065.52380952381,37068.95238095238
1,A13070302,202212.0,16306.714285714286,45128.04761904762
2,A13007004,202101.0,10245.172279792747,40644.136010362694
2,A13007004,202102.0,4092.1761658031087,32010.82901554404
2,A13007004,202103.0,9182.253886010363,33811.73575129534
2,A13007004,202104.0,6893.160621761658,30510.80310880829
2,A13007004,202105.0,6723.211139896373,31492.110103626943
2,A13007004,202106.0,6734.7474093264245,32618.15414507772
2,A13007004,202107.0,13239.979274611398,58910.497409326425
2,A13007004,202108.0,1699.7150259067357,41928.52331606218
2,A13007004,202109.0,4143.558290155441,30759.38730569948
2,A13007004,202110.0,9880.102331606218,33432.99093264249
2,A13007004,202111.0,4899.510362694301,33067.062176165804
2,A13007004,202112.0,9000.498704663212,37806.31476683938
2,A13007004,202201.0,9934.511658031088,39577.25777202073
2,A13007004,202202.0,7850.892487046632,33934.998704663216
2,A13007004,202203.0,7886.211139896373,36127.41580310881
2,A13007004,202204.0,8908.623056994818,33413.19559585492
2,A13007004,202205.0,5739.990932642487,32832.23186528497
2,A13007004,202206.0,7136.781088082902,36210.317357512955
2,A13007004,202207.0,3883.502590673575,51637.220207253886
2,A13007004,202208.0,6545.538860103627,47117.520725388604
2,A13007004,202209.0,7360.0077720207255,36497.11917098446
2,A13007004,202210.0,8396.248704663212,38138.90414507772
2,A13007004,202211.0,8610.988341968912,37837.49093264249
2,A13007004,202212.0,12109.516839378239,44769.581606217616
3,A10028080,202101.0,29342.282958199357,76370.51446945338
3,A10028080,202102.0,27519.292604501607,71782.5080385852
3,A10028080,202103.0,17307.39549839228,52074.69453376206
3,A10028080,202104.0,17585.787781350482,55740.289389067526
3,A10028080,202105.0,14840.932475884245,52696.20578778135
3,A10028080,202106.0,23983.63344051447,62848.906752411574
3,A10028080,202107.0,21099.1961414791,69449.26045016077
3,A10028080,202108.0,25021.54340836013,113160.86816720257
3,A10028080,202109.0,18351.382636655948,61862.4115755627
3,A10028080,202110.0,14821.038585209004,54570.845659163984
3,A10028080,202111.0,16540.89389067524,55848.73954983923
3,A10028080,202112.0,17208.33762057878,57959.14147909968
3,A10028080,202201.0,35644.360128617365,80803.84565916398
3,A10028080,202202.0,32715.46623794212,78172.15434083602
3,A10028080,202203.0,24174.790996784566,61961.51125401929
3,A10028080,202204.0,21294.051446945337,62416.59163987138
3,A10028080,202205.0,19360.932475884245,56433.440514469454
3,A10028080,202206.0,18126.848874598072,58079.00321543408
3,A10028080,202207.0,23534.765273311896,85569.4919614148
3,A10028080,202208.0,24804.237942122185,102389.09324758842
3,A10028080,202209.0,19803.05466237942,71902.73311897107
3,A10028080,202210.0,17821.02893890675,61088.58520900321
3,A10028080,202211.0,18977.459807073956,62839.710610932474
3,A10028080,202212.0,19512.797427652735,63556.01286173634
4,A13070301,202101.0,23796.078199052132,72086.42180094786
4,A13070301,202102.0,13628.77962085308,52397.87914691943
4,A13070301,202103.0,18936.44549763033,61105.355450236966
4,A13070301,202104.0,11701.990521327014,50176.528436018954
