,kaptCode,Elec_Con
0,A15605103,1.0
1,A15676701,0.0
2,A15605002,1.0
3,A15605003,0.0
4,A15603205,0.0
5,A15603401,0.0
6,A15603002,0.0
7,A15603008,0.0
8,A15603003,0.0
9,A15683601,0.0
10,A15603004,0.0
11,A15603206,0.0
12,A15603502,0.0
13,A15603006,1.0
14,A15671801,1.0
15,A15683901,0.0
16,A15678101,0.0
17,A15683402,1.0
18,A15603204,0.0
19,A15678103,1.0
20,A15603001,0.0
21,A15603203,0.0
23,A15603007,1.0
24,A15678102,0.0
25,A10027472,0.0
26,A10027633,0.0
27,A10025768,1.0
28,A10027424,0.0
30,A15606006,0.0
31,A15606002,0.0
32,A15606007,1.0
33,A15606001,0.0
34,A15605102,1.0
35,A15606004,1.0
36,A15676702,0.0
37,A15606003,0.0
38,A15606005,0.0
40,A15679103,0.0
41,A15679109,1.0
42,A15679104,0.0
43,A15679108,1.0
44,A15607001,1.0
45,A15679105,1.0
46,A15685702,0.0
47,A15679107,1.0
48,A10025770,1.0
49,A10025867,1.0
51,A15608002,0.0
52,A15608003,1.0
53,A15608001,0.0
56,A15609305,0.0
57,A15609003,0.0
58,A15681802,0.0
59,A15677204,0.0
60,A15609502,0.0
61,A15609303,0.0
62,A15609001,1.0
63,A15681501,0.0
64,A15609401,0.0
65,A15609002,0.0
66,A15681503,0.0
67,A15609005,0.0
68,A15681502,0.0
69,A15609301,0.0
70,A15677501,1.0
71,A15609501,0.0
72,A15609006,1.0
73,A15609007,0.0
74,A15609306,0.0
75,A10026299,1.0
79,A10025013,1.0
81,A15681103,1.0
82,A15681106,0.0
83,A15681104,0.0
84,A15602007,0.0
85,A15602002,1.0
86,A15676512,0.0
87,A15681110,0.0
88,A15602001,0.0
89,A15681108,0.0
90,A15681105,1.0
91,A15601102,0.0
92,A15672001,0.0
93,A15670001,1.0
94,A15601201,0.0
95,A15685201,0.0
96,A15601104,0.0
97,A15685503,0.0
98,A15601105,0.0
99,A15685206,0.0
100,A15601003,1.0
101,A15601103,0.0
102,A15183001,0.0
