,kaptCode,Date,electC,electComb
0,A15605103,202101.0,14988.095518867925,58849.693396226416
0,A15605103,202102.0,12393.94162735849,45827.83903301887
0,A15605103,202103.0,6041.537735849057,42137.77004716981
0,A15605103,202104.0,4757.267688679245,37836.14740566038
0,A15605103,202105.0,2557.2688679245284,37869.72169811321
0,A15605103,202106.0,3074.382075471698,38632.82547169811
0,A15605103,202107.0,494.01591981132077,70858.80955188679
0,A15605103,202108.0,0.0,49300.67806603773
0,A15605103,202109.0,0.0,37575.77830188679
0,A15605103,202110.0,2255.115566037736,40287.74528301887
0,A15605103,202111.0,5884.407429245283,42165.72818396227
0,A15605103,202112.0,7603.423349056604,48767.98702830189
0,A15605103,202201.0,7453.403891509434,50308.2741745283
0,A15605103,202202.0,6490.59375,43411.37794811321
0,A15605103,202203.0,6289.400353773585,44732.41922169811
0,A15605103,202204.0,7765.7169811320755,40677.90448113208
0,A15605103,202205.0,3691.871462264151,40092.231132075474
0,A15605103,202206.0,5569.476415094339,44140.84433962264
0,A15605103,202207.0,2375.5536556603774,57317.08077830189
0,A15605103,202208.0,3955.3142688679245,53187.06544811321
0,A15605103,202209.0,7453.403891509434,50308.2741745283
0,A15605103,202210.0,7075.177476415094,46215.4133254717
0,A15605103,202211.0,7601.602594339623,46168.63679245283
0,A15605103,202212.0,14623.778301886792,55855.21698113208
1,A15676701,202101.0,11683.152432432433,30140.655135135134
1,A15676701,202102.0,8700.363243243244,26260.97945945946
1,A15676701,202103.0,319.2691891891892,18324.825945945948
1,A15676701,202104.0,5653.502702702703,20440.054054054053
1,A15676701,202105.0,15893.816216216217,15893.816216216217
1,A15676701,202106.0,17914.37837837838,17914.37837837838
1,A15676701,202107.0,-9895.264864864865,18200.962162162163
1,A15676701,202108.0,27116.17837837838,27116.17837837838
1,A15676701,202109.0,642.2518918918919,16660.987027027026
1,A15676701,202110.0,-1268.3632432432432,-1268.3632432432432
1,A15676701,202111.0,466.9264864864865,16336.656216216215
1,A15676701,202112.0,3029.1783783783785,20899.43783783784
1,A15676701,202201.0,6811.452972972973,6811.452972972973
1,A15676701,202202.0,6324.047567567568,19868.51243243243
1,A15676701,202203.0,4668.953513513514,20664.985945945948
1,A15676701,202204.0,3960.7675675675678,3960.7675675675678
1,A15676701,202205.0,623.1675675675675,623.1675675675675
1,A15676701,202206.0,-560.6810810810811,-560.6810810810811
1,A15676701,202207.0,130.19027027027028,130.19027027027028
1,A15676701,202208.0,-1115.8335135135135,-1115.8335135135135
1,A15676701,202209.0,-450.91675675675674,18819.82918918919
1,A15676701,202210.0,6811.452972972973,6811.452972972973
1,A15676701,202211.0,3595.797837837838,21981.18162162162
1,A15676701,202212.0,7634.298378378378,24309.15243243243
2,A15605002,202101.0,25962.874583795783,66710.82130965593
2,A15605002,202102.0,19466.739178690343,52634.53052164262
2,A15605002,202103.0,13677.708102108769,39840.47169811321
2,A15605002,202104.0,13132.97114317425,42349.63041065483
2,A15605002,202105.0,10426.27192008879,39549.213096559375
2,A15605002,202106.0,11528.950055493895,42607.28523862375
2,A15605002,202107.0,11558.956714761376,55570.48834628191
