,kaptCode,Elec_Con
0,A12287204,0.0
1,A12287203,0.0
2,A12287202,0.0
3,A12209001,1.0
4,A10024828,0.0
6,A12283603,1.0
7,A12283602,0.0
8,A12283601,1.0
9,A10027816,0.0
10,A10025836,1.0
11,A10025846,0.0
13,A12284701,0.0
14,A12285703,0.0
15,A12204002,1.0
16,A12204004,0.0
17,A12204006,0.0
18,A12204001,0.0
19,A12204003,1.0
20,A12204102,1.0
21,A12275201,1.0
22,A12275202,1.0
23,A10028056,0.0
30,A12281801,0.0
31,A12281702,0.0
32,A12205001,0.0
33,A12281701,0.0
35,A12282201,1.0
36,A12282203,0.0
37,A12282102,1.0
38,A12205004,1.0
39,A12205003,0.0
40,A12276901,0.0
42,A12284501,1.0
44,A12201101,0.0
45,A12201103,1.0
46,A12201001,1.0
47,A12201102,0.0
48,A12201301,0.0
49,A12293002,0.0
50,A12201002,1.0
51,A12290901,1.0
52,A12201003,1.0
53,A12201005,1.0
54,A12201004,0.0
55,A10025310,1.0
56,A10025683,1.0
58,A10026834,0.0
60,A10024947,0.0
62,A10024831,0.0
64,A12289501,0.0
65,A12289401,1.0
66,A12208001,1.0
67,A12208203,0.0
68,A12208205,0.0
69,A12208103,1.0
70,A12208204,0.0
71,A12208002,0.0
72,A12208102,1.0
73,A12208104,0.0
74,A12289402,1.0
75,A12208101,0.0
76,A12208105,0.0
77,A10025659,0.0
78,A12294102,1.0
82,A41279902,1.0
83,A12220002,1.0
84,A41279917,1.0
85,A41279927,0.0
86,A41279924,1.0
87,A41279915,0.0
88,A41279925,1.0
89,A41279922,1.0
90,A12220005,1.0
91,A41279910,0.0
92,A12220003,0.0
94,A41279913,1.0
95,A41279905,1.0
96,A41279916,0.0
97,A41279923,1.0
98,A41279912,0.0
99,A41279920,0.0
100,A12220004,0.0
101,A41279908,0.0
102,A41279931,0.0
103,A41279918,1.0
104,A41279904,0.0
105,A41279929,1.0
106,A41279914,0.0
107,A41279906,1.0
108,A41279911,1.0
109,A41279909,1.0
110,A41279930,0.0
111,A41279903,0.0
112,A41279907,0.0
113,A12220001,0.0
114,A41279928,0.0
115,A41279901,0.0
116,A41279932,1.0
118,A41279921,0.0
119,A10025677,1.0
120,A10025765,1.0
121,A10026376,1.0
