,kaptCode,Date,electC,electComb
0,A12287204,202101.0,2986.0450819672133,48495.75819672131
0,A12287204,202102.0,3293.8934426229507,38475.184426229505
0,A12287204,202103.0,3567.151639344262,40293.13524590164
0,A12287204,202104.0,3342.9815573770493,35785.30737704918
0,A12287204,202105.0,3107.407786885246,37150.05122950819
0,A12287204,202106.0,3372.684426229508,37376.82377049181
0,A12287204,202107.0,3479.436475409836,64183.17622950819
0,A12287204,202108.0,3564.9180327868853,45316.73155737705
0,A12287204,202109.0,3536.434426229508,38031.30122950819
0,A12287204,202110.0,3384.2110655737706,40128.04303278688
0,A12287204,202111.0,3747.8586065573772,40640.53278688525
0,A12287204,202112.0,3488.340163934426,46239.18032786885
0,A12287204,202201.0,3141.465163934426,47432.63319672131
0,A12287204,202202.0,3784.0881147540986,40839.354508196724
0,A12287204,202203.0,3219.098360655738,43320.20491803279
0,A12287204,202204.0,3079.7028688524592,39086.00409836065
0,A12287204,202205.0,3209.8668032786886,38825.04098360656
0,A12287204,202206.0,3761.7315573770493,41986.56762295082
0,A12287204,202207.0,3627.0081967213114,56313.934426229505
0,A12287204,202208.0,3617.5430327868853,52253.38319672131
0,A12287204,202209.0,3759.68237704918,41701.024590163935
0,A12287204,202210.0,3522.3360655737706,44429.87704918033
0,A12287204,202211.0,4175.379098360656,44859.45696721312
0,A12287204,202212.0,5301.0963114754095,53991.16803278688
1,A12287203,202101.0,6328.060344827586,22958.64224137931
1,A12287203,202102.0,5496.810344827586,20601.03448275862
1,A12287203,202103.0,3297.7586206896553,13148.146551724138
1,A12287203,202104.0,2412.237068965517,13168.14224137931
1,A12287203,202105.0,3054.612068965517,12075.775862068966
1,A12287203,202106.0,2404.331896551724,12523.146551724138
1,A12287203,202107.0,3241.9008620689656,13528.646551724138
1,A12287203,202108.0,-1481.0172413793102,19737.73275862069
1,A12287203,202109.0,2760.646551724138,14777.60775862069
1,A12287203,202110.0,1446.573275862069,13291.724137931034
1,A12287203,202111.0,3148.9655172413795,13884.353448275862
1,A12287203,202112.0,2500.0862068965516,15152.284482758621
1,A12287203,202201.0,6136.573275862069,21514.59051724138
1,A12287203,202202.0,20884.849137931036,38101.099137931036
1,A12287203,202203.0,4616.814655172414,14813.818965517241
1,A12287203,202204.0,1764.8318965517242,14366.211206896553
1,A12287203,202205.0,1985.5689655172414,13519.491379310344
1,A12287203,202206.0,2152.002155172414,13641.377155172413
1,A12287203,202207.0,3150.2780172413795,17975.38577586207
1,A12287203,202208.0,2179.012931034483,18919.400862068964
1,A12287203,202209.0,3064.853448275862,16657.28879310345
1,A12287203,202210.0,1229.125,14886.775862068966
1,A12287203,202211.0,3062.135775862069,16513.859913793105
1,A12287203,202212.0,3732.7844827586205,18968.021551724138
2,A12287202,202101.0,4520.607142857143,47946.642857142855
2,A12287202,202102.0,4623.857142857143,39589.78571428572
2,A12287202,202103.0,3923.8928571428573,40720.53571428572
2,A12287202,202104.0,3592.1428571428573,36968.357142857145
2,A12287202,202105.0,3579.5714285714284,38782.71428571428
2,A12287202,202106.0,4169.964285714285,38675.17857142857
2,A12287202,202107.0,7269.928571428572,63876.07142857143
2,A12287202,202108.0,2095.4285714285716,45267.46428571428
2,A12287202,202109.0,2581.1428571428573,38712.42857142857
2,A12287202,202110.0,2631.214285714286,38340.642857142855
2,A12287202,202111.0,5298.464285714285,39612.0
2,A12287202,202112.0,6470.107142857143,48954.25
2,A12287202,202201.0,5120.678571428572,41112.75
2,A12287202,202202.0,3468.3214285714284,39523.28571428572
2,A12287202,202203.0,2276.25,40959.392857142855
2,A12287202,202204.0,3761.785714285714,37707.53571428572
2,A12287202,202205.0,38795.42857142857,73176.53571428571
2,A12287202,202206.0,41267.25,77992.53571428571
2,A12287202,202207.0,6081.75,54412.28571428572
2,A12287202,202208.0,4112.357142857143,50726.82142857143
2,A12287202,202209.0,3419.714285714286,41257.42857142857
2,A12287202,202210.0,3490.6428571428573,43421.03571428572
2,A12287202,202211.0,4026.4285714285716,43914.21428571428
2,A12287202,202212.0,4490.642857142857,51601.92857142857
3,A12209001,202101.0,12399.030612244898,55532.65306122449
3,A12209001,202102.0,10704.234693877552,44767.142857142855
3,A12209001,202103.0,7537.397959183673,43589.69387755102
3,A12209001,202104.0,6252.551020408163,40031.37755102041
3,A12209001,202105.0,6547.7040816326535,43047.397959183676
3,A12209001,202106.0,12673.520408163266,45366.47959183674
3,A12209001,202107.0,10346.020408163266,82941.88775510204
3,A12209001,202108.0,8882.551020408164,57233.163265306124
3,A12209001,202109.0,8252.602040816326,44524.0306122449
3,A12209001,202110.0,7936.428571428572,44649.489795918365
3,A12209001,202111.0,8308.622448979591,46555.15306122449
3,A12209001,202112.0,13124.489795918367,52232.704081632655
3,A12209001,202201.0,9434.132653061224,56490.510204081635
