,kaptCode,Elec_Con
0,A14280502,0
1,A14272304,1
2,A14272303,0
3,A14282301,0
4,A14210001,0
5,A14272311,0
6,A14272306,1
7,A14272308,0
8,A14272305,0
9,A14272313,0
10,A14272310,0
11,A14272307,0
12,A14210002,0
13,A14277601,1
14,A14272309,0
15,A14272314,0
16,A10026947,1
18,A10025241,1
19,A14206303,0
20,A14206307,0
21,A14206202,0
22,A14206306,0
23,A14270301,0
24,A14206302,1
25,A14206001,0
26,A14286104,1
27,A14206002,1
28,A14206003,0
29,A14206305,0
30,A14206310,0
31,A14286203,0
32,A14286108,0
33,A14206301,0
34,A14276311,0
35,A14206201,1
37,A14278101,0
38,A14207203,1
39,A14207201,0
40,A14207202,0
43,A14209001,1
44,A14287102,0
