,kaptCode,Elec_Con
0,A13407204,1.0
1,A13407104,0.0
2,A13478601,1.0
3,A13407002,0.0
4,A13482706,0.0
5,A13482801,1.0
6,A13407201,0.0
7,A13407202,0.0
8,A13482603,0.0
9,A13482505,1.0
10,A10025415,1.0
12,A13483002,0.0
13,A13480401,0.0
14,A13408003,1.0
16,A13480403,0.0
17,A10027207,1.0
18,A10025263,1.0
19,A13483803,0.0
20,A13472701,0.0
21,A13409001,0.0
22,A10026403,1.0
23,A10025112,1.0
24,A10025104,1.0
26,A10024420,1.0
27,A10024473,1.0
28,A10025010,1.0
29,A10024412,1.0
30,A13481305,1.0
31,A13480803,1.0
32,A13488104,0.0
34,A13470101,0.0
35,A13481001,0.0
37,A10024932,1.0
38,A13470503,0.0
39,A13406204,1.0
40,A13406003,0.0
41,A13406002,0.0
42,A13470502,0.0
43,A13406005,0.0
44,A13406205,1.0
45,A13481802,0.0
46,A13406201,0.0
47,A13470504,0.0
48,A13485401,0.0
49,A13405002,0.0
50,A13405201,0.0
51,A13471501,0.0
52,A13405003,1.0
53,A13485302,0.0
54,A13485301,1.0
55,A10025174,0.0
56,A13484501,1.0
57,A13403001,1.0
58,A13484102,1.0
59,A13403002,0.0
60,A13403101,0.0
61,A13484201,1.0
62,A13484003,0.0
63,A10027354,0.0
64,A13402103,0.0
65,A13402304,0.0
66,A13402002,1.0
67,A13486703,0.0
68,A13486102,0.0
69,A13486504,1.0
70,A13486401,0.0
71,A13402202,0.0
72,A13486705,0.0
73,A13486601,0.0
74,A13402305,0.0
75,A13402204,0.0
76,A13486701,0.0
77,A13472201,0.0
79,A10026852,1.0
83,A13410012,0.0
84,A13410005,0.0
85,A13410002,0.0
86,A13410008,0.0
87,A13410001,1.0
88,A13410011,0.0
89,A13410003,0.0
90,A13410007,0.0
91,A13410006,0.0
92,A13410004,0.0
93,A13410010,0.0
94,A13410009,0.0
95,A10027638,0.0
96,A10024410,1.0
97,A10024422,1.0
99,A10024468,1.0
100,A10024440,0.0
101,A10024421,0.0
