,kaptCode,Date,electC,electComb
0,A13407204,202101.0,21209.171929824563,76010.7245614035
0,A13407204,202102.0,20185.752631578947,68288.01228070176
0,A13407204,202103.0,12586.594736842106,49522.40701754386
0,A13407204,202104.0,11049.791228070175,53186.433333333334
0,A13407204,202105.0,9183.368421052632,49680.55438596491
0,A13407204,202106.0,12408.089473684211,56315.85263157895
0,A13407204,202107.0,14908.457894736843,83071.02456140351
0,A13407204,202108.0,11842.131578947368,96776.75789473685
0,A13407204,202109.0,9281.487719298246,54437.82456140351
0,A13407204,202110.0,10574.761403508772,52277.07894736842
0,A13407204,202111.0,16541.254385964912,60772.83859649123
0,A13407204,202112.0,19203.44210526316,66222.65438596491
0,A13407204,202201.0,21631.091228070174,73925.2754385965
0,A13407204,202202.0,21893.48245614035,71605.59824561403
0,A13407204,202203.0,13428.0,53748.70350877193
0,A13407204,202204.0,12173.335087719299,56550.645614035086
0,A13407204,202205.0,10469.550877192982,50013.80877192983
0,A13407204,202206.0,13202.478947368421,58094.05263157895
0,A13407204,202207.0,13821.138596491228,83921.43157894736
0,A13407204,202208.0,13598.366666666667,98317.19122807018
0,A13407204,202209.0,10437.361403508772,57561.88771929825
0,A13407204,202210.0,11367.49298245614,55679.563157894736
0,A13407204,202211.0,16712.182456140352,65068.86666666667
0,A13407204,202212.0,22669.498245614035,75367.2350877193
1,A13407104,202101.0,7432.237083333333,41494.60375
1,A13407104,202102.0,5984.3775,31509.1275
1,A13407104,202103.0,5974.079583333333,34079.20458333333
1,A13407104,202104.0,2466.55875,30571.68375
1,A13407104,202105.0,4013.7791666666667,31653.145833333332
1,A13407104,202106.0,3600.31625,32544.407916666667
1,A13407104,202107.0,5036.815,58057.90666666667
1,A13407104,202108.0,4569.57125,43120.03791666667
1,A13407104,202109.0,423.5991666666667,29834.9075
1,A13407104,202110.0,8155.820833333333,37476.2375
1,A13407104,202111.0,8420.327083333334,36905.68125
1,A13407104,202112.0,12448.214166666667,44704.4725
1,A13407104,202201.0,13478.219583333334,45921.11541666667
1,A13407104,202202.0,10130.033333333333,38088.77916666667
1,A13407104,202203.0,7602.675,38813.77916666667
1,A13407104,202204.0,7541.45,35602.0125
1,A13407104,202205.0,-159.30041666666668,28875.27875
1,A13407104,202206.0,-237.1375,32996.979166666664
1,A13407104,202207.0,2265.610833333333,51065.46083333333
1,A13407104,202208.0,635.19625,49435.04625
1,A13407104,202209.0,7335.015416666667,38966.43625
1,A13407104,202210.0,10938.65,44169.525
1,A13407104,202211.0,12567.189166666667,44672.535
1,A13407104,202212.0,20469.88625,58797.190416666665
2,A13478601,202101.0,20667.624045801527,74930.54389312977
2,A13478601,202102.0,18967.230916030534,69546.88740458015
2,A13478601,202103.0,11571.347328244276,51195.545801526714
2,A13478601,202104.0,10715.221374045801,54201.80534351145
2,A13478601,202105.0,9662.18320610687,51074.79770992367
2,A13478601,202106.0,12474.32824427481,58786.103053435116
2,A13478601,202107.0,15305.246183206107,87135.16984732824
2,A13478601,202108.0,12355.868320610687,100407.83396946565
2,A13478601,202109.0,10305.767175572519,58409.908396946565
