,kaptCode,Elec_Con
0,A13508012,0.0
1,A13579501,1.0
2,A13592604,0.0
3,A13508009,0.0
4,A13508004,1.0
5,A13508003,0.0
6,A13579506,1.0
7,A13508006,0.0
8,A13508011,1.0
9,A13592601,0.0
10,A13592706,0.0
11,A13579505,1.0
12,A13508005,1.0
13,A13579503,0.0
14,A13592605,1.0
15,A13591402,1.0
16,A10027474,1.0
20,A13599303,0.0
21,A13594007,0.0
22,A13580602,0.0
23,A13524004,0.0
24,A13599402,0.0
25,A13524005,0.0
26,A13593908,0.0
27,A13580001,0.0
28,A13524006,1.0
29,A13593901,1.0
30,A13524009,0.0
31,A13580002,0.0
32,A13599301,0.0
33,A10025203,1.0
34,A10025675,1.0
36,A10024564,1.0
38,A13510003,0.0
39,A13510001,0.0
40,A13510201,1.0
41,A13510203,0.0
42,A13510102,0.0
43,A13510006,0.0
44,A13510103,0.0
45,A13510202,0.0
46,A13576201,0.0
47,A13510005,1.0
48,A13510009,0.0
49,A13510007,1.0
53,A13509001,0.0
54,A13570501,1.0
55,A13550701,1.0
56,A13509005,1.0
57,A13509004,0.0
58,A13509010,1.0
59,A13509006,0.0
60,A13509003,0.0
61,A13509012,0.0
62,A13509007,1.0
65,A13509101,0.0
66,A13509009,1.0
68,A10026350,1.0
73,A13528102,1.0
74,A13528103,1.0
75,A13528004,0.0
76,A13583604,0.0
77,A13583701,1.0
78,A13528003,1.0
79,A13528007,1.0
80,A13528105,0.0
81,A13584101,1.0
82,A13583507,0.0
83,A13583403,0.0
84,A13583404,1.0
85,A13583402,0.0
86,A10027800,1.0
91,A10026924,1.0
97,A13501004,0.0
98,A13501001,1.0
99,A13582002,1.0
102,A13583301,0.0
103,A13501006,1.0
105,A10024501,1.0
106,A13590204,0.0
107,A13589802,0.0
108,A13511201,0.0
109,A13551103,0.0
110,A13590602,0.0
111,A13511001,1.0
112,A13511004,1.0
113,A13511101,0.0
114,A13511003,0.0
115,A13519002,0.0
116,A13519006,0.0
117,A13519007,0.0
118,A13519004,0.0
119,A13519005,0.0
120,A13519003,0.0
121,A13519001,0.0
122,A10028172,1.0
123,A13519008,0.0
124,A13520003,1.0
125,A13520004,0.0
126,A10027985,0.0
127,A13520002,1.0
129,A13520001,0.0
130,A10027909,0.0
131,A10027912,0.0
132,A13594702,1.0
133,A13523005,1.0
134,A13523004,0.0
135,A13594701,0.0
136,A13593802,1.0
137,A13523003,0.0
138,A13594402,0.0
139,A13593801,0.0
140,A13594203,0.0
141,A13594403,0.0
142,A10027571,0.0
143,A10025823,1.0
145,A13522003,0.0
146,A13522008,0.0
147,A13522004,0.0
148,A13588402,0.0
149,A13522007,0.0
150,A13522006,0.0
151,A13552001,0.0
152,A13552002,1.0
153,A13588601,1.0
155,A10027446,1.0
156,A13550502,1.0
157,A13527004,0.0
158,A13585404,0.0
159,A13527002,1.0
160,A13527008,0.0
161,A13527013,0.0
162,A13527203,0.0
163,A13585401,0.0
164,A13586102,0.0
165,A13585804,0.0
166,A13527007,1.0
167,A13527016,0.0
168,A13550403,0.0
169,A13586101,0.0
170,A13527010,0.0
171,A13527019,0.0
172,A13527006,0.0
173,A10027319,1.0
175,A10024793,0.0
