,kaptCode,Date,electC,electComb
0,A13508012,202101.0,20540.413625304136,78592.7493917275
0,A13508012,202102.0,22066.47201946472,74998.44282238443
0,A13508012,202103.0,15957.664233576643,59199.53771289538
0,A13508012,202104.0,16153.722627737227,66925.64476885645
0,A13508012,202105.0,15690.194647201946,62398.734793187345
0,A13508012,202106.0,14944.233576642337,70931.65450121654
0,A13508012,202107.0,4932.871046228711,85499.95133819952
0,A13508012,202108.0,14150.048661800487,130037.66423357664
0,A13508012,202109.0,14393.45498783455,77034.5498783455
0,A13508012,202110.0,12004.355231143552,68655.01216545013
0,A13508012,202111.0,17756.03406326034,68622.04379562044
0,A13508012,202112.0,19631.216545012165,69711.0705596107
0,A13508012,202201.0,25135.255474452555,79647.68856447689
0,A13508012,202202.0,25020.413625304136,79206.61800486618
0,A13508012,202203.0,18917.73722627737,65172.141119221415
0,A13508012,202204.0,18792.992700729927,72552.99270072993
0,A13508012,202205.0,16471.89781021898,65057.39659367396
0,A13508012,202206.0,15870.14598540146,70909.56204379562
0,A13508012,202207.0,9620.778588807785,105304.08759124088
0,A13508012,202208.0,16947.06019253147,76414.11721146725
0,A13508012,202209.0,13788.734793187348,84152.31143552311
0,A13508012,202210.0,18407.980535279807,72466.27737226278
0,A13508012,202211.0,19225.96107055961,74474.06326034063
0,A13508012,202212.0,20309.805352798052,75974.50121654502
1,A13579501,202101.0,21226.807228915663,92986.0843373494
1,A13579501,202102.0,19514.451807228917,74901.13855421687
1,A13579501,202103.0,15317.563253012047,79036.2078313253
1,A13579501,202104.0,13782.671686746988,72857.06927710843
1,A13579501,202105.0,13716.801204819278,76898.3373493976
1,A13579501,202106.0,16517.27108433735,91837.60240963855
1,A13579501,202107.0,14700.481927710844,181561.3253012048
1,A13579501,202108.0,14838.253012048193,130784.00602409638
1,A13579501,202109.0,10672.081325301206,80644.4608433735
1,A13579501,202110.0,13643.698795180722,79408.03614457832
1,A13579501,202111.0,18991.93674698795,79611.09337349398
1,A13579501,202112.0,20722.15361445783,87554.20180722892
1,A13579501,202201.0,21522.599397590362,88616.21385542168
1,A13579501,202202.0,19512.753012048193,76241.90963855422
1,A13579501,202203.0,15209.2078313253,80216.01506024097
1,A13579501,202204.0,27506.62951807229,76382.20180722892
1,A13579501,202205.0,26655.295180722893,76834.90361445783
1,A13579501,202206.0,19182.069277108432,83721.64759036145
1,A13579501,202207.0,21358.71686746988,128652.81325301205
1,A13579501,202208.0,25642.051204819276,118467.47289156627
1,A13579501,202209.0,21522.599397590362,88616.21385542168
1,A13579501,202210.0,29712.843373493975,84279.22891566265
1,A13579501,202211.0,31088.126506024095,84410.14457831325
1,A13579501,202212.0,37859.635542168675,97039.51506024097
2,A13592604,202101.0,11589.705962059621,52361.982384823845
2,A13592604,202102.0,11722.617886178861,49824.96205962059
2,A13592604,202103.0,9983.436314363144,40697.32520325203
2,A13592604,202104.0,10071.18563685637,44700.39972899729
2,A13592604,202105.0,9594.4972899729,42324.5108401084
2,A13592604,202106.0,10105.552845528455,47944.0216802168
2,A13592604,202107.0,11301.426829268292,59616.223577235774
2,A13592604,202108.0,16401.752032520326,98727.74119241192
2,A13592604,202109.0,11328.747967479674,53454.28997289973
2,A13592604,202110.0,10499.986449864498,47068.40108401084
2,A13592604,202111.0,11316.681571815718,46887.58943089431
2,A13592604,202112.0,11198.482384823848,46874.376693766935
2,A13592604,202201.0,12034.113821138211,50814.23577235772
2,A13592604,202202.0,12278.231707317073,49897.60840108401
2,A13592604,202203.0,8743.584010840108,42850.21002710027
2,A13592604,202204.0,13261.298102981029,48486.75880758808
2,A13592604,202205.0,12042.838753387534,45360.128726287265
2,A13592604,202206.0,12097.238482384824,49133.24119241192
2,A13592604,202207.0,15504.168021680216,76213.38211382114
2,A13592604,202208.0,16839.059620596207,87282.51490514904
2,A13592604,202209.0,12034.113821138211,50814.23577235772
2,A13592604,202210.0,13564.348238482386,51816.28590785908
2,A13592604,202211.0,9733.59214092141,48753.09078590786
2,A13592604,202212.0,13811.9972899729,53085.20867208672
3,A13508009,202101.0,27092.53234750462,74632.03327171903
3,A13508009,202102.0,22609.426987060997,60423.21626617375
3,A13508009,202103.0,23891.73752310536,66504.38077634011
3,A13508009,202104.0,19401.903881700553,61108.09611829944
3,A13508009,202105.0,22964.52865064695,65443.807763401106
3,A13508009,202106.0,20855.58225508318,76166.19223659889
3,A13508009,202107.0,8656.229205175601,129016.48798521257
3,A13508009,202108.0,16227.264325323475,102866.87615526802
3,A13508009,202109.0,18645.17560073937,70766.70979667283
3,A13508009,202110.0,22090.60998151571,67562.4214417745
3,A13508009,202111.0,21367.670979667284,63593.36414048059
3,A13508009,202112.0,25870.60998151571,72056.11829944547
3,A13508009,202201.0,29352.07024029575,74764.95378927911
3,A13508009,202202.0,23773.752310536045,62299.20517560074
3,A13508009,202203.0,23776.025878003697,68424.82439926063
3,A13508009,202204.0,15269.186691312385,57281.90388170056
3,A13508009,202205.0,14995.157116451017,58371.92236598891
3,A13508009,202206.0,17819.944547134935,74667.96672828097
3,A13508009,202207.0,15656.894639556376,116209.50092421442
3,A13508009,202208.0,18179.27911275416,108518.83548983364
3,A13508009,202209.0,29352.07024029575,74764.95378927911
3,A13508009,202210.0,23871.146025878003,71092.77264325324
3,A13508009,202211.0,18027.81885397412,63333.67837338262
3,A13508009,202212.0,31818.59519408503,81810.97966728281
4,A13508004,202101.0,18356.844660194176,62283.73786407767
4,A13508004,202102.0,17781.844660194176,58998.1067961165
4,A13508004,202103.0,13418.883495145632,45559.563106796115
4,A13508004,202104.0,10280.922330097088,47401.45631067961
4,A13508004,202105.0,8670.922330097088,44500.2427184466
4,A13508004,202106.0,8670.922330097088,48299.611650485436
4,A13508004,202107.0,12710.922330097088,61508.398058252424
4,A13508004,202108.0,10535.922330097088,102963.54368932039
4,A13508004,202109.0,9890.922330097088,54167.912621359224
4,A13508004,202110.0,7757.961165048544,47425.23300970874
4,A13508004,202111.0,11705.922330097088,50949.8640776699
4,A13508004,202112.0,15583.883495145632,53010.145631067964
4,A13508004,202201.0,18081.844660194176,60517.912621359224
4,A13508004,202202.0,18406.844660194176,58220.53398058253
4,A13508004,202203.0,13248.883495145632,47284.7572815534
4,A13508004,202204.0,12173.883495145632,50448.446601941745
4,A13508004,202205.0,9570.922330097088,47845.48543689321
4,A13508004,202206.0,10776.213592233009,49267.669902912625
4,A13508004,202207.0,12712.087378640777,73408.73786407767
4,A13508004,202208.0,14456.514563106795,62692.970873786406
4,A13508004,202209.0,18081.844660194176,60517.912621359224
4,A13508004,202210.0,9114.325242718447,51816.946601941745
4,A13508004,202211.0,16173.344660194174,57535.43203883495
4,A13508004,202212.0,19047.626213592233,61639.85922330097
5,A13508003,202101.0,21294.880952380954,21294.880952380954
5,A13508003,202102.0,15522.619047619048,15522.619047619048
5,A13508003,202103.0,17564.345238095237,17564.345238095237
5,A13508003,202104.0,16763.690476190477,16763.690476190477
5,A13508003,202105.0,19409.285714285714,19409.285714285714
5,A13508003,202106.0,33693.45238095238,33693.45238095238
5,A13508003,202107.0,63228.869047619046,63228.869047619046
5,A13508003,202108.0,52453.80952380953,52453.80952380953
5,A13508003,202109.0,34304.107142857145,34304.107142857145
5,A13508003,202110.0,22892.380952380954,22892.380952380954
5,A13508003,202111.0,17905.238095238095,17905.238095238095
5,A13508003,202112.0,17954.285714285714,17954.285714285714
5,A13508003,202201.0,20082.678571428572,20082.678571428572
5,A13508003,202202.0,16627.440476190477,16627.440476190477
5,A13508003,202203.0,19166.071428571428,19166.071428571428
5,A13508003,202204.0,20718.988095238095,20718.988095238095
5,A13508003,202205.0,25536.904761904763,25536.904761904763
5,A13508003,202206.0,38852.02380952381,38852.02380952381
5,A13508003,202207.0,64760.05952380953,64760.05952380953
5,A13508003,202208.0,28364.19254658385,28364.19254658385
5,A13508003,202209.0,38220.892857142855,38220.892857142855
5,A13508003,202210.0,26127.97619047619,26127.97619047619
5,A13508003,202211.0,22614.285714285714,22614.285714285714
5,A13508003,202212.0,26682.14285714286,26682.14285714286
6,A13579506,202101.0,23821.541666666668,107372.66666666667
6,A13579506,202102.0,20470.041666666668,86473.04166666667
6,A13579506,202103.0,16625.845833333333,93546.3875
6,A13579506,202104.0,15539.483333333334,87429.85833333334
6,A13579506,202105.0,10702.345833333333,88092.97083333334
6,A13579506,202106.0,16777.4375,113739.52083333333
6,A13579506,202107.0,20112.691666666666,237975.35833333334
6,A13579506,202108.0,18154.5625,175811.02083333334
6,A13579506,202109.0,12279.016666666666,101630.85
6,A13579506,202110.0,14173.05,92899.50833333333
6,A13579506,202111.0,20135.925,92548.05
6,A13579506,202112.0,22148.379166666666,101999.54583333334
6,A13579506,202201.0,22755.0625,103222.27083333333
6,A13579506,202202.0,20553.483333333334,87343.60833333334
6,A13579506,202203.0,15719.3125,94231.35416666667
6,A13579506,202204.0,15435.016666666666,88498.89166666666
6,A13579506,202205.0,14456.308333333332,89553.30833333333
6,A13579506,202206.0,20531.741666666665,119194.24166666667
6,A13579506,202207.0,22160.2375,193838.07083333333
6,A13579506,202208.0,21759.55,181970.55
6,A13579506,202209.0,22755.0625,103222.27083333333
6,A13579506,202210.0,16861.733333333334,98012.31666666667
6,A13579506,202211.0,22264.65,98771.06666666667
6,A13579506,202212.0,28755.0625,114021.89583333333
7,A13508006,202101.0,20379.902777777777,108425.21527777778
7,A13508006,202102.0,16941.215277777777,108649.93055555556
7,A13508006,202103.0,20209.4375,89215.47916666667
7,A13508006,202104.0,16224.409722222223,95741.04166666667
7,A13508006,202105.0,16586.086805555555,88162.61458333333
7,A13508006,202106.0,14558.479166666666,93560.07638888889
7,A13508006,202107.0,7101.232638888889,101846.61458333333
7,A13508006,202108.0,2733.6458333333335,162828.92361111112
7,A13508006,202109.0,6610.315972222223,133765.52430555556
7,A13508006,202110.0,15293.493055555555,101539.43055555556
7,A13508006,202111.0,18374.59375,97250.18402777778
7,A13508006,202112.0,18730.322916666668,96170.18402777778
7,A13508006,202201.0,25455.090277777777,111908.94444444444
7,A13508006,202202.0,20220.07638888889,113873.79166666667
7,A13508006,202203.0,28651.385416666668,95878.19097222222
7,A13508006,202204.0,17185.92361111111,99818.11111111111
7,A13508006,202205.0,13534.190972222223,92446.58680555556
7,A13508006,202206.0,22237.20486111111,95448.76736111111
7,A13508006,202207.0,14172.194444444445,110080.66666666667
7,A13508006,202208.0,38619.07638888889,152281.33333333334
7,A13508006,202209.0,25455.090277777777,111908.94444444444
7,A13508006,202210.0,20108.368055555555,105839.96527777778
7,A13508006,202211.0,22778.729166666668,105737.44444444444
7,A13508006,202212.0,30032.135416666668,104642.34375
8,A13508011,202101.0,24087.616379310344,98845.80603448275
8,A13508011,202102.0,23811.65948275862,95599.59051724138
8,A13508011,202103.0,18882.400862068964,76133.8448275862
8,A13508011,202104.0,15373.183189655172,82453.52801724138
8,A13508011,202105.0,15598.336206896553,78797.84051724138
8,A13508011,202106.0,19329.478448275862,92004.09051724138
8,A13508011,202107.0,20081.577586206895,108518.06465517242
8,A13508011,202108.0,21619.84698275862,168877.2823275862
8,A13508011,202109.0,17082.071120689656,98127.11422413793
8,A13508011,202110.0,14511.144396551725,83695.6702586207
8,A13508011,202111.0,18571.640086206895,85024.05387931035
8,A13508011,202112.0,20836.97198275862,86713.97629310345
8,A13508011,202201.0,23970.46120689655,94519.44827586207
8,A13508011,202202.0,23981.411637931036,92796.88577586207
8,A13508011,202203.0,16961.745689655174,75789.35344827586
8,A13508011,202204.0,16830.97198275862,83819.63577586207
8,A13508011,202205.0,15308.605603448275,76074.25215517242
8,A13508011,202206.0,19631.01077586207,87749.9547413793
8,A13508011,202207.0,23644.933189655174,131362.3254310345
