,kaptCode,Elec_Con
0,A15786116,0.0
1,A15704015,1.0
2,A15786118,0.0
3,A15786426,0.0
4,A15704025,0.0
5,A15776001,1.0
6,A15786321,0.0
7,A15786314,0.0
8,A15704006,1.0
9,A15786222,0.0
10,A15786420,0.0
11,A15786111,0.0
12,A15786405,0.0
13,A15786424,1.0
14,A15786104,0.0
15,A15786510,0.0
16,A15704028,0.0
17,A15704009,0.0
18,A15786312,0.0
19,A15704007,0.0
20,A15704023,0.0
21,A15704017,0.0
22,A15786227,0.0
23,A15704003,0.0
24,A15704002,1.0
25,A15704001,1.0
26,A15786213,0.0
27,A15786408,0.0
30,A15785919,1.0
31,A10025600,0.0
32,A10027541,1.0
34,A15783907,0.0
35,A15783703,0.0
36,A15703004,0.0
37,A15703304,1.0
38,A15703303,1.0
39,A15703301,0.0
40,A15784008,0.0
42,A15703302,1.0
44,A15703002,1.0
45,A15703005,1.0
46,A15703309,0.0
47,A15703307,0.0
48,A15776916,0.0
49,A15703001,0.0
50,A15784402,0.0
51,A15776414,0.0
52,A15703308,0.0
53,A15783806,1.0
54,A15776617,0.0
55,A15783905,0.0
56,A15703318,1.0
57,A15703204,0.0
58,A15703313,0.0
59,A15783902,0.0
60,A15776715,0.0
61,A15783701,0.0
62,A15784003,0.0
63,A15703306,0.0
64,A15784201,1.0
67,A15701004,0.0
68,A15701601,0.0
69,A15788302,0.0
70,A15788901,0.0
71,A15792602,0.0
72,A15701602,1.0
73,A15770801,0.0
74,A15701002,0.0
75,A15701003,0.0
76,A15788203,0.0
77,A15770101,0.0
78,A15701007,1.0
83,A15780604,1.0
84,A15780605,0.0
85,A15780905,0.0
86,A15780002,0.0
87,A15781002,0.0
88,A15780701,1.0
89,A15780806,0.0
90,A15780705,0.0
91,A15720101,0.0
92,A15780703,1.0
93,A15774708,0.0
94,A15780401,0.0
95,A15780904,0.0
96,A15780602,1.0
97,A15780603,0.0
98,A15780704,0.0
99,A15720001,0.0
100,A15781003,0.0
104,A15721001,0.0
105,A15721003,0.0
106,A15721005,1.0
107,A15722010,1.0
108,A15721006,0.0
109,A15728011,1.0
110,A15721007,1.0
111,A15721004,0.0
112,A15721010,1.0
113,A15721009,1.0
114,A15721008,0.0
115,A15722009,1.0
116,A10027433,1.0
117,A10027452,1.0
118,A10027403,0.0
119,A10026879,1.0
120,A10027687,1.0
121,A10027371,0.0
123,A15721011,0.0
124,A15728002,0.0
125,A15728006,0.0
126,A15728009,0.0
127,A15728005,0.0
128,A15728010,1.0
129,A15728007,0.0
130,A15728003,0.0
131,A15782501,0.0
133,A15728008,0.0
134,A15728004,0.0
135,A15779704,1.0
137,A15781201,1.0
138,A15722005,0.0
139,A15784601,0.0
140,A15722106,0.0
141,A15722314,0.0
142,A15785711,0.0
143,A15785709,0.0
144,A15785703,0.0
145,A15722304,0.0
146,A15777501,0.0
147,A15722108,0.0
148,A15722201,1.0
149,A15785608,0.0
150,A15785002,0.0
151,A15785005,0.0
152,A15722004,0.0
153,A15722203,1.0
155,A15785507,0.0
156,A15722204,1.0
157,A15785612,1.0
158,A15722102,0.0
159,A15785605,1.0
160,A15778101,0.0
161,A15785601,1.0
162,A15722307,0.0
164,A15722003,1.0
165,A15773501,0.0
166,A15722007,0.0
167,A15785710,1.0
169,A15722104,0.0
171,A15722306,0.0
173,A15722001,0.0
174,A10024505,1.0
