,kaptCode,Date,electC,electComb
0,A15786116,202101.0,2067.2758620689656,46988.06896551724
0,A15786116,202102.0,4607.827586206897,43860.51724137931
0,A15786116,202103.0,4350.241379310345,35085.03448275862
0,A15786116,202104.0,4533.793103448276,37760.65517241379
0,A15786116,202105.0,3926.551724137931,33667.51724137931
0,A15786116,202106.0,3279.862068965517,36882.793103448275
0,A15786116,202107.0,1361.0344827586207,40549.06896551724
0,A15786116,202108.0,-1675.655172413793,72015.20689655172
0,A15786116,202109.0,-863.2413793103449,39422.0
0,A15786116,202110.0,2861.862068965517,38294.34482758621
0,A15786116,202111.0,3443.137931034483,38263.51724137931
0,A15786116,202112.0,4074.9310344827586,39873.44827586207
0,A15786116,202201.0,4272.896551724138,46193.0
0,A15786116,202202.0,4250.3448275862065,45272.93103448276
0,A15786116,202203.0,4510.068965517241,39073.379310344826
0,A15786116,202204.0,3609.7586206896553,40471.24137931035
0,A15786116,202205.0,3823.8275862068967,36109.724137931036
0,A15786116,202206.0,3168.2758620689656,37790.0
0,A15786116,202207.0,241.9655172413793,49562.862068965514
0,A15786116,202208.0,-935.6206896551724,54801.0
0,A15786116,202209.0,549.7586206896551,42795.1724137931
0,A15786116,202210.0,3887.4827586206898,39949.0
0,A15786116,202211.0,4842.448275862069,42931.8275862069
0,A15786116,202212.0,5356.689655172414,44865.34482758621
1,A15704015,202101.0,22904.11971830986,73173.23943661971
1,A15704015,202102.0,24207.5,74476.61971830986
1,A15704015,202103.0,20363.38028169014,59637.18309859155
1,A15704015,202104.0,21693.87323943662,64255.457746478874
1,A15704015,202105.0,13736.654929577464,52495.91549295775
1,A15704015,202106.0,18940.035211267605,59751.126760563384
1,A15704015,202107.0,21817.676056338027,61196.65492957747
1,A15704015,202108.0,22040.49295774648,106789.3661971831
1,A15704015,202109.0,13358.274647887323,82439.3309859155
1,A15704015,202110.0,19199.718309859156,64141.05633802817
1,A15704015,202111.0,20487.147887323943,63429.68309859155
1,A15704015,202112.0,20471.971830985916,61583.52112676056
1,A15704015,202201.0,25152.359154929578,72018.2042253521
1,A15704015,202202.0,25922.11267605634,73788.55633802817
1,A15704015,202203.0,22017.359154929578,62716.05633802817
1,A15704015,202204.0,22940.49295774648,67812.04225352113
1,A15704015,202205.0,14929.084507042253,56231.93661971831
1,A15704015,202206.0,15111.478873239437,56617.535211267605
1,A15704015,202207.0,25797.74647887324,70101.37323943662
1,A15704015,202208.0,25115.035211267605,99322.14788732394
1,A15704015,202209.0,16181.232394366198,91183.80281690141
1,A15704015,202210.0,19885.105633802817,67013.1690140845
1,A15704015,202211.0,17108.23943661972,62789.542253521126
1,A15704015,202212.0,17629.049295774646,62303.45070422535
2,A15786118,202101.0,8596.648484848485,48075.527272727275
2,A15786118,202102.0,9151.251515151514,45449.009090909094
2,A15786118,202103.0,7737.754545454545,36856.20909090909
2,A15786118,202104.0,8323.857575757576,39510.49393939394
2,A15786118,202105.0,6965.333333333333,35636.36363636364
2,A15786118,202106.0,7975.936363636363,38465.3
2,A15786118,202107.0,8357.639393939395,41990.48787878788
2,A15786118,202108.0,14700.224242424243,76541.67878787879
2,A15786118,202109.0,4532.451515151515,40557.90606060606
2,A15786118,202110.0,3951.39696969697,38037.60909090909
2,A15786118,202111.0,6756.4,39841.18787878788
2,A15786118,202112.0,18233.333333333332,51247.51515151515
2,A15786118,202201.0,11085.863636363636,47196.40909090909
2,A15786118,202202.0,10495.645454545454,46793.40303030303
2,A15786118,202203.0,7751.966666666666,39580.14848484848
2,A15786118,202204.0,8011.806060606061,42342.624242424245
2,A15786118,202205.0,7298.615151515151,37644.79696969697
2,A15786118,202206.0,7955.036363636364,40291.52121212121
2,A15786118,202207.0,8227.860606060605,52941.527272727275
2,A15786118,202208.0,12895.442424242425,67409.95757575758
2,A15786118,202209.0,5046.439393939394,46885.98484848485
2,A15786118,202210.0,8248.906060606061,43029.3606060606
2,A15786118,202211.0,11337.59696969697,46681.29393939394
2,A15786118,202212.0,10559.330303030303,48622.90606060606
3,A15786426,202101.0,1702.4116465863453,51923.315261044176
3,A15786426,202102.0,1677.706827309237,48895.97991967871
3,A15786426,202103.0,1570.5381526104418,38427.82730923695
3,A15786426,202104.0,1648.562248995984,41588.8032128514
3,A15786426,202105.0,1545.5321285140562,38333.805220883536
3,A15786426,202106.0,1587.4136546184739,40389.96385542169
3,A15786426,202107.0,1575.7289156626507,44342.97791164659
3,A15786426,202108.0,2083.614457831325,84697.0281124498
3,A15786426,202109.0,1507.5481927710844,44514.67670682731
3,A15786426,202110.0,1625.2811244979919,41290.100401606425
3,A15786426,202111.0,1739.0642570281125,41836.353413654615
3,A15786426,202112.0,1646.367469879518,42376.50803212851
3,A15786426,202201.0,1559.5502008032129,47529.389558232935
3,A15786426,202202.0,1753.793172690763,47151.92570281125
3,A15786426,202203.0,1512.5883534136547,39944.05421686747
3,A15786426,202204.0,1753.1646586345382,43942.96385542169
3,A15786426,202205.0,1682.6144578313254,38837.63453815261
3,A15786426,202206.0,1760.7690763052208,41618.54016064257
3,A15786426,202207.0,1593.0060240963855,56192.32329317269
3,A15786426,202208.0,1715.0823293172691,69588.1345381526
3,A15786426,202209.0,1792.2449799196788,50744.534136546186
3,A15786426,202210.0,1831.078313253012,43508.3875502008
3,A15786426,202211.0,1906.2791164658634,42350.77710843374
3,A15786426,202212.0,1923.2530120481927,46522.590361445786
4,A15704025,202101.0,10370.953846153847,62002.64615384615
4,A15704025,202102.0,4267.145054945055,44715.1010989011
4,A15704025,202103.0,2967.6505494505495,47450.88131868132
4,A15704025,202104.0,3888.410989010989,43062.03736263736
4,A15704025,202105.0,2748.564835164835,45120.05934065934
4,A15704025,202106.0,3279.573626373626,45082.51868131868
4,A15704025,202107.0,3351.624175824176,85562.63516483517
4,A15704025,202108.0,0.0,62066.61538461538
4,A15704025,202109.0,1804.0,45364.26373626374
4,A15704025,202110.0,2487.7934065934064,45478.276923076926
4,A15704025,202111.0,3220.589010989011,46772.58901098901
4,A15704025,202112.0,3019.9736263736263,52291.358241758244
4,A15704025,202201.0,3234.0835164835166,53657.75384615385
4,A15704025,202202.0,4276.481318681319,47013.36043956044
4,A15704025,202203.0,2582.375824175824,50305.87032967033
4,A15704025,202204.0,5049.395604395604,46945.153846153844
4,A15704025,202205.0,4506.030769230769,46938.624175824174
4,A15704025,202206.0,3251.1406593406596,50363.514285714286
4,A15704025,202207.0,6288.681318681319,76697.2967032967
4,A15704025,202208.0,264.9956043956044,70212.02857142857
4,A15704025,202209.0,3414.2153846153847,49354.12747252747
4,A15704025,202210.0,5638.369230769231,52809.46813186813
4,A15704025,202211.0,5891.507692307692,51733.70549450549
4,A15704025,202212.0,5757.962637362637,59413.32527472528
5,A15776001,202101.0,12585.981707317073,78874.8231707317
5,A15776001,202102.0,11981.024390243903,81225.17073170732
5,A15776001,202103.0,10361.103658536585,63431.16463414634
5,A15776001,202104.0,5971.432926829269,64916.73780487805
5,A15776001,202105.0,4794.213414634146,58821.83536585366
5,A15776001,202106.0,4857.798780487805,60745.54268292683
5,A15776001,202107.0,10179.524390243903,69873.85365853658
5,A15776001,202108.0,12631.05487804878,138616.11585365853
5,A15776001,202109.0,12743.908536585366,100671.16463414633
5,A15776001,202110.0,6806.8109756097565,65434.98170731707
5,A15776001,202111.0,6677.579268292683,66296.05487804877
5,A15776001,202112.0,9345.225609756097,70225.28658536586
5,A15776001,202201.0,15020.292682926829,85162.9756097561
5,A15776001,202202.0,15196.335365853658,87350.23780487805
5,A15776001,202203.0,13252.451219512195,73861.71951219512
5,A15776001,202204.0,9253.585365853658,73375.41463414633
5,A15776001,202205.0,9023.542682926829,65861.28658536586
5,A15776001,202206.0,8452.207317073171,64857.45121951219
5,A15776001,202207.0,13532.567073170732,81327.3231707317
5,A15776001,202208.0,16693.530487804877,127857.00609756098
5,A15776001,202209.0,17405.560975609755,111700.43902439025
5,A15776001,202210.0,9851.353658536585,73075.5
5,A15776001,202211.0,10818.835365853658,74733.53048780488
5,A15776001,202212.0,15261.365853658537,78455.87804878049
6,A15786321,202101.0,243.05714285714285,47569.28571428572
6,A15786321,202102.0,1188.3428571428572,44916.31428571429
6,A15786321,202103.0,2014.057142857143,35799.05714285714
6,A15786321,202104.0,579.4857142857143,37913.45714285714
6,A15786321,202105.0,1096.6857142857143,35093.6
6,A15786321,202106.0,1086.4571428571428,38334.91428571429
6,A15786321,202107.0,1065.3428571428572,42368.74285714285
6,A15786321,202108.0,-7636.0,80210.54285714286
6,A15786321,202109.0,-2314.457142857143,39927.45714285714
6,A15786321,202110.0,468.51428571428573,38634.514285714286
6,A15786321,202111.0,1297.5428571428572,40076.28571428572
